1. 下列地形图数字比例尺中，属于中比例尺的是{{c1::（）}}。［2012年6月真题］	1∶500<br>1∶5000<br>1∶50000<br>1∶500000	C	地形图比例尺分为三类：①1∶500、1∶1000、1∶2000、1∶5000、1∶10000为大比例尺；②1∶25000、1∶50000、1∶100000为中比例尺；③1∶250000、1∶500000、1∶1000000为小比例尺。
2. 下列关于土坝施工放样水准点设置的说法中，正确的是{{c1::（）}}。［2016年真题］	永久性水准点、临时性水准点均应设在施工范围内<br>永久性水准点、临时性水准点均应设在施工范围外<br>永久性水准点设在施工范围外、临时性水准点均应设在施工范围内<br>永久性水准点设在施工范围内、临时性水准点均应设在施工范围外	C	用于土坝施工放样的高程控制，除在施工范围外布设三等或四等精度的永久性水准点外，还应在施工范围内设置临时性水准点。临时性水准点直接用于坝体的高程放样，应布置在施工范围内不同高度的地方，以便安置1～2次仪器就能放出需要的高程点。临时水准点应根据施工进度及时设置，并与永久水准点构成附合或闭合水准路线，按等外精度施测，并要根据永久水准点定期进行检测。
3. 国家{{c1::（）}}等水准测量是普通水准测量。［2011年真题］	一、二<br>二、三<br>三、四<br>二、三、四	C	水准测量是利用水准仪提供的一条水平视线，借助于带有分划的尺子，测量出两地面点之间的高差，然后根据测得的高差和已知点的高程，推算出另一个点的高程。普通水准仪用于国家三、四等水准及普通水准测量，精密水准仪用于国家一、二等精密水准测量。
4. 使用经纬仪进行照准操作时，正确步骤是{{c1::（）}}。［2015年真题］	目镜调焦→粗瞄目标→物镜调焦→准确瞄准目标<br>粗瞄目标→物镜调焦→目镜调焦→准确瞄准目标<br>物镜调焦→粗瞄目标→目镜调焦→准确瞄准目标<br>粗瞄目标→目镜调焦→物镜调焦→准确瞄准目标	A	经纬仪的使用包括对中、整平、照准和读数四个操作步骤。其中，照准操作的步骤为：①目镜调焦。将望远镜对向明亮的背景，转动目镜调焦螺旋，使十字丝清晰。②粗瞄目标。松开望远镜水平、竖直制动螺旋，通过望远镜上的粗瞄器对准目标，然后拧紧制动螺旋。③物镜调焦。转动望远镜物镜调焦螺旋，使目标成像清晰。注意消除视差现象。④准确瞄准目标。转动水平微动及竖直微动螺旋，使十字丝竖丝与目标成像单线平分或双丝夹准，并且使十字丝交点部分对准目标的底部。
6. 图2F311020－1所示的断层类型是{{c1::（）}}。<br/><p style="text-align:center"><img border="0" height="156" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-31/834374a2-1869-4c1a-a276-2008d71a2967.jpg" style="width:280px;height:156px;" title="1.jpg" vspace="0" width="280"/></p>	正断层<br>逆断层<br>平移断层<br>错位断层	A	断层是指岩体受力断裂后，在断裂层两侧的岩块发生了显著位移。处于断层面两侧相互错动的两个断块中位于断层面之上的称为上盘，位于断层面之下的称为下盘。如按断块之间的相对错动的方向来划分，上盘下降，下盘上升的断层，称正断层；反之，上盘上升，下盘下降的断层称逆断层；如两断块水平互错，则称为平移断层。
7. 产状要素可以用地质罗盘测得，测量结果150∠60表示{{c1::（）}}。	倾角为150°，倾向为60°<br>倾向为150°，倾角为60°<br>倾向为150°，走向为60°<br>走向为150°，倾向为60°	B	产状有三个要素，即走向、倾向和倾角，产状要素可以用地质罗盘测得，测量结果以倾向的方位角（从正北开始顺时针方向量至倾斜线）和倾角表示出来，如150∠60表示：倾向为150°（即南偏东30°），倾角为60°。
8. 使岩层层面的倾斜方向和倾角发生变化的地质构造是{{c1::（）}}。	正断层<br>逆断层<br>节理<br>褶皱构造	D	不同的构造形态，对水工建筑物的影响是不同的。如岩层的断裂，破坏了岩体的完整性，降低了岩体的稳定性，增大了岩体的透水性，故对水工建筑物产生了不良影响。而褶皱构造，使岩层层面的倾斜方向和倾角发生变化，从而改变了岩体的稳定条件和渗漏条件。
9. 边坡岩体主要在重力作用下沿贯通的剪切破坏面发生滑动破坏的现象称为{{c1::（）}}。	松弛张裂<br>滑坡<br>崩塌<br>蠕动变形	B	边坡岩体主要在重力作用下沿贯通的剪切破坏面发生滑动破坏的现象，称为滑坡。在边坡的破坏形式中，滑坡是分布最广、危害最大的一种。它在坚硬或松软岩层、陡倾或缓倾岩层以及陡坡或缓坡地形中均可发生。
10. 软土基坑开挖的管井降水适用条件是，第四系含水层厚度应大于{{c1::（）}}m。	3.0<br>4.0<br>4.5<br>5.0	D	软土基坑开挖的管井降水的适用条件有：①第四系含水层厚度大于5.0m；②基岩裂隙和岩溶含水层，厚度可小于5.0m；③含水层渗透系数K宜大于1.0m/d。
11. 我国自1988年1月1日起开始采用{{c1::（）}}作为高程起算的统一基准。	1985国家高程基准<br>1952国家高程基准<br>1959国家高程基准<br>1979国家高程基准	A	我国自1959年开始，全国统一采用1956年黄海高程系。后来利用1952～1979年期间青岛验潮站的验潮结果计算确定了新的黄海平均海面，称为“1985国家高程基准”。我国自1988年1月1日起开始采用1985国家高程基准作为高程起算的统一基准。
12. 中、小型土坝的坝轴线的放样，通常由工程设计人员和{{c1::（）}}在现场选定。	监理人员<br>承包人<br>勘测人员<br>发包人	C	直线坝型土坝坝顶中心线即为坝轴线。对于中、小型土坝的坝轴线的放样，通常由工程设计人员和勘测人员根据坝址的地质和地形情况，经过方案比较在现场选定。现场选定的坝轴线，可作为土坝施工控制网内的一条边；放样时可先在图上根据施工坐标计算出坝轴线的放样数据，然后通过施工控制点，采用交会法或极坐标法，将坝轴线放样到地面上。
