1. 铲运机按卸土方式可分为{{c1::（）}}。［2014年真题］	回转式<br>强制式<br>半强制式<br>自由式<br>自行式	B|C|D	铲运机是利用装在轮轴之间的铲运斗，在行驶中顺序进行铲削、装载、运输和铺卸土作业的铲土运输机械。其分类如下：①按行走方式，可分为拖式和自行式两种；②按操纵方式，可分为液压操纵和机械操纵两种；③按卸土方式，可分为强制式、半强制式和自由式三种；④按装载方式，可分为普通式和链板式两种；⑤按铲斗容量，可分为小、中、大三种。铲斗少于6m<sup>3</sup>为小型；6～15m<sup>3</sup>为中型；15m<sup>3</sup>以上为大型。
2. 砂石按照其密实程度可分为{{c1::（）}}的砂土。	密实<br>中密<br>固结<br>稍密<br>松散	A|B|D|E	砂土可分为砾砂、粗砂、中砂、细砂和粉砂；按照其密实程度又有密实、中密、稍密和松散的砂土。
3. 对于正铲挖掘机的挖土特点描述正确的有{{c1::（）}}。	向前向上<br>强制切土<br>主要挖掘停机面以上的掌子<br>有侧向开挖和正向开挖两种方式<br>侧向开挖时，挖掘机回转角度大，生产效率较低	A|B|C|D	正铲挖掘机的挖土特点是：向前向上，强制切土，主要挖掘停机面以上的掌子。按其与运输工具相对停留位置的不同，有侧向开挖和正向开挖两种方式，采用侧向开挖时，挖掘机回转角度小，生产效率高。
4. 对于反铲挖掘机的挖土特点描述正确的有{{c1::（）}}。	一般斗容量较正铲小<br>向后向下强制切土<br>主要挖掘停机面以上的掌子<br>开挖方式分沟端开挖和沟侧开挖<br>工作循环时间比正铲长8%～30%	A|B|D|E	反铲挖掘机是正铲挖掘机的一种换用装置，一般斗容量较正铲小，工作循环时间比正铲长8%～30%。其稳定性及挖掘力均比正铲小，适用于Ⅰ～Ⅲ类土。反铲挖土特点是向后向下，强制切土。主要挖掘停机面以下的掌子，多用于开挖深度不大的基槽和水下石渣。其开挖方式分沟端开挖和沟侧开挖两种。
5. 为了提高推土机的生产效率，可采取以下{{c1::（）}}措施。	槽形开挖<br>下坡推土<br>近距离推土<br>多机并列推土<br>分段铲土、集中推运	A|B|D|E	为了提高推土机的生产效率，应力求减少推土器两侧散失土料，一般可采用槽形开挖，分段铲土、集中推运，多机并列推土及下坡推土等方法。
6. 铲运机是一种能综合地完成{{c1::（）}}等工作的施工机械。	挖土<br>装土<br>运土<br>卸土<br>平土	A|B|C|D	铲运机是利用装在轮轴之间的铲运斗，在行驶中顺序进行铲削、装载、运输和铺卸土作业的铲土运输机械。它适用于Ⅳ级以下的土壤工作，要求作业地区的土壤不含树根、大石块和过多的杂草。
7. 关于土方开挖的一般技术要求，表述正确的有{{c1::（）}}。	确定开挖分层、分段，以便充分发挥人力、设备的生产能力<br>做好挖填方平衡，使得开挖出来的土方尽量用来作为填方土料<br>开挖边坡，要防止塌滑，保证开挖安全<br>地下水位以下土方的开挖，应根据施工方法的要求，切实做好排水工作<br>必须弃土时，做到近挖远倒，远挖近倒，先高后平	A|B|C|D	土方开挖的一般技术要求包括：①合理布置开挖工作面和出土路线。确定开挖分层、分段，以便充分发挥人力、设备的生产能力，使开挖效率达到最优。②合理选择和布置出土地点和弃土地点。做好挖填方平衡，充分利用开挖土方作为填方土料。③开挖边坡，要防止塌滑，保证开挖安全。④地下水位以下土方的开挖，应根据施工方法的要求，切实做好排水工作。
8. 选择渠道开挖的施工方法取决于{{c1::（）}}。	土壤种类<br>开挖时间<br>地下水位<br>技术条件<br>渠道纵横断面尺寸	A|C|D|E	渠道开挖的施工方法有人工开挖、机械开挖等。选择开挖方法取决于技术条件、土壤种类、渠道纵横断面尺寸、地下水位等因素。渠道开挖的土方多堆在渠道两侧用做渠堤。
9. 地下工程开挖方法主要采用{{c1::（）}}等。	钻孔爆破方法<br>掘进机开挖法<br>盾构法<br>顶管法<br>人工开挖法	A|B|C|D	地下工程主要采用钻孔爆破方法进行开挖，使用机械开挖则有掘进机开挖法、盾构法和顶管法（顶进法）。
10. 岩基爆破开挖的技术要求主要包括{{c1::（）}}。	力求爆后块度均匀、爆堆集中<br>采用减震爆破技术<br>力求爆后块度大、爆堆分散<br>对爆破进行有效控制<br>岩基上部一般应采用梯段爆破方式，预留保护层	A|B|D|E	露天石方（岩基）爆破开挖的技术要求有：①岩基上部除结构要求外均应按梯段爆破方式开挖，在邻近建基面预留保护层，保护层按要求进行开挖；②采用减震爆破技术，以确保基岩完整，确保开挖边坡稳定，保证开挖形状符合设计要求；③对爆破进行有效控制，防止损害邻近建筑物和已浇混凝土或已完工的灌浆地段；保护施工现场机械设备和人员安全；④力求爆后块度均匀、爆堆集中，以满足挖装要求，提高挖装效率。
11. 采用浅孔爆破法进行爆破作业时，合理布置炮孔是提高爆破效率的关键所在，布置时应遵循的原则有{{c1::（）}}。	炮孔方向最好不和最小抵抗线方向重合<br>炮孔方向最好与最小抵抗线方向重合<br>要充分地利用有利地形，尽量利用和创造自由面，减少爆破阻力<br>当布置有几排炮孔时，应交错布置成梅花形<br>根据岩石的层面、节理、裂缝等情况进行布孔	A|C|D|E	采用浅孔爆破法进行爆破作业时，合理布置炮孔是提高爆破效率的关键，布置时应注意以下原则:①炮孔方向不宜与最小抵抗线方向重合，因为炮孔堵塞物强度弱于岩石，爆炸产生的气体容易从这里冲出，致使爆破效果大为降低。②要充分利用有利地形，尽量利用和创造自由面，减小爆破阻力，以提高爆破效率。③根据岩石的层面、节理、裂隙等情况进行布孔，一般应将炮孔与层面、节理等垂直或斜交；但不宜穿过较宽的裂隙，以免漏气。④当布置有几排炮孔时，应交错布置成梅花形，第一排先爆，然后第二排等等依次爆破，这样可以提高爆破效果。
12. 提高深孔爆破质量的措施有{{c1::（）}}。	多排孔微差爆破<br>挤压爆破<br>合理的装药结构爆破<br>倾斜孔爆破法<br>装载足够炸药	A|B|C|D	提高深孔爆破的质量，可采用多排孔微差爆破和挤压爆破，还可通过合理的装药结构和采用倾斜孔爆破等措施来实现。
