1. 水利工程施工现场的消防通道宽度最小应为{{c1::（）}}m。［2015年真题］	招标设计<br>项目建议书<br>可行性研究<br>预可行性研究	D	根据水利部《水利工程建设项目管理规定》（水建[1995]128号）和有关规定，水利工程建设项目的实施，必须执行工程建设程序。水利工程建设程序一般分为：项目建议书、可行性研究报告、施工准备、初步设计、建设实施、生产准备、竣工验收、后评价等阶段，各阶段工作实际开展时间可以重叠。一般情况下，项目建议书、可行性研究报告、初步设计称为前期工作。
2. 根据水利水电工程施工安全用电要求，在特别潮湿场所的照明电源的最大电压为{{c1::（）}}V。［2009年真题］	合同工程完工验收<br>专项验收<br>后评价<br>竣工验收	D	竣工验收是工程完成建设目标的标志，是全面考核建设成果、检验设计和工程质量的重要步骤。竣工验收合格的工程建设项目即可以从基本建设转入生产（运行）。竣工验收按照《水利水电建设工程验收规程》（SL 223—2008）进行。
3. 关于高处作业的说法，错误的是{{c1::（）}}。［2012年6月真题］	初步设计至后评价<br>施工准备至竣工验收<br>初步设计至竣工验收<br>施工准备至后评价	B	水利工程建设项目代建制为建设实施代建，代建单位对水利工程建设项目施工准备至竣工验收的建设实施过程进行管理。代建单位按照合同约定，履行工程代建相关职责，对代建项目的工程质量、安全、进度和资金管理负责。
4. 水利工程施工现场照明使用的行灯电源电压最高为{{c1::（）}}V。［2015年真题］	项目法人责任制<br>政府监督制<br>招标投标制<br>建设监理制	B	《水利工程建设项目管理规定》（水建［1995］128号）明确，水利工程项目建设实行项目法人责任制、招标投标制和建设监理制，简称“三项”制度。
5. 水利水电工程脚手架扫地杆离地面的距离一般为{{c1::（）}}cm。［2010年真题］	建设单位<br>设计单位<br>监理单位<br>咨询单位	C	设计单位应按照合同及时提供施工详图，并确保设计质量。施工详图经监理单位审核后交施工单位施工。设计单位对不涉及重大设计原则问题的合理意见应当采纳并修改设计。若有分歧意见，由项目法人决定。如涉及重大设计变更问题，应当由原初步设计批准部门审定。
6. 施工现场工人佩戴的塑料安全帽检查试验周期为{{c1::（）}}一次。［2016年真题］	一<br>二<br>三<br>四	C	病险水库是指按照《水库大坝安全鉴定办法》（2003年8月1日前后分别执行水利部水管［1995］86号、水建管［2003］271号），通过规定程序确定为三类坝的水库。大坝包括永久性挡水建筑物，以及与其配合运用的泄洪、输水和过船等建筑物。
7. 水利水电工程施工道路最小转变半径不得小于{{c1::（）}}m。	1<br>3<br>5<br>10	C	根据水利部《水库大坝安全鉴定办法》（水建管［2003］271号），大坝实行定期安全鉴定制度，首次安全鉴定应在竣工验收后5年内进行，以后应每隔6～10年进行一次。运行中遭遇特大洪水、强烈地震、工程发生重大事故或出现影响安全的异常现象后，应组织专门的安全鉴定。
8. 在水利水电工程施工现场架设临时性跨越沟槽的便桥和边坡栈桥，应符合的要求不包括{{c1::（）}}。	一<br>二<br>三<br>四	B	根据水利部《水库大坝安全鉴定办法》（水建管［2003］271号），大坝安全状况分为三类，其中二类坝的描述为：实际抗御洪水标准不低于水利部颁发的水利枢纽工程除险加固近期非常运用洪水标准，但达不到《防洪标准》（GB 50201—2014）规定；大坝工作状态基本正常，在一定控制运用条件下能安全运行的大坝。
9. 水利水电工程施工生产用火作业区距所建建筑物的最小距离应为{{c1::（）}}m。	项目法人<br>监理单位<br>项目主管部门<br>原设计审批部门	C	工程设计变更审批采取分级管理制度。重大设计变更文件，由项目法人按原报审程序报原初步设计审批部门审批。一般设计变更由项目法人组织审查确认后，并报项目主管部门核备，必要时报项目主管部门审批。设计变更文件批准后由项目法人负责组织实施。
10. 昼夜平均气温或最低气温分别低于{{c1::（）}}时，应编制冬期施工作业计划。	调整可行性研究估算<br>重新编制可行性研究报告并按原程序报批<br>提出专题分析报告<br>重新编制初步设计	B	概算静态总投资原则上不得突破已批准的可行性研究报告估算的静态总投资。由于工程项目基本条件发生变化，引起工程规模、工程标准、设计方案、工程量的改变，其静态总投资超过可行性研究报告相应估算静态总投资在15%以下时，要对工程变化内容和增加投资提出专题分析报告。超过15%以上（含15%）时，必须重新编制可行性研究报告并按原程序报批。
11. 关于水利水电工程石方开挖工区施工排水的规定，下列说法不正确的是{{c1::（）}}。	对鉴定发现的符合设计文件、但可能对工程安全运行构成隐患的问题，可不进行评价<br>蓄水安全鉴定由项目法人负责组织实施<br>蓄水安全鉴定应提出工程是否具备水库蓄水验收条件的意见<br>水库建设工程在水库蓄水验收前，必须进行蓄水安全鉴定	A	A项，对不符合有关技术标准、设计文件并涉及工程安全的问题，应分析其影响程度，并提出评价意见；对鉴定发现的符合设计文件、但可能对工程安全运行构成隐患的问题，也应对其进行分析和评价。
12. 在建工程（含脚手架）的外侧边缘与外电架空线路（电压35～110kV）的边线之间应保持安全操作距离是{{c1::（）}}m。	勘察合同<br>设计合同<br>施工合同<br>监理合同	D	监理合同是一种委托合同。委托合同是指“委托人和受托人约定，由受托人处理委托人事务的合同”。委托合同应当采用水利部、国家工商行政管理局发布的《水利工程施工监理合同示范文本》（GF—2007—0211）（水建管［2007］134号）。
13. 施工现场的机动车道与外电架空线路（电压1～10kV）交叉时，架空线路的最低点与路面的垂直距离应不小于{{c1::（）}}m。	评审专家组<br>鉴定审定部门<br>鉴定组织单位<br>鉴定承担单位	D	大坝安全鉴定包括大坝安全评价、大坝安全鉴定技术审查和大坝安全鉴定意见审定三个基本程序，主要包括：①鉴定组织单位负责委托满足规定要求的大坝安全评价单位（简称鉴定承担单位）对大坝安全状况进行分析评价，并提出大坝安全评价报告和大坝安全鉴定报告书；②由鉴定审定部门或委托有关单位组织并主持召开大坝安全鉴定会，组织专家审查大坝安全评价报告，通过大坝安全鉴定报告书；③鉴定审定部门审定并印发大坝安全鉴定报告书。
