1. 下列水利工程合同中，属于建设工程合同的是{{c1::（）}}合同。［2012年6月真题］	勘察<br>监理<br>材料供应<br>设备采购	A	根据《合同法》的有关规定，建设工程合同包括工程勘察、设计、施工合同。建设工程合同是承包人进行工程建设，发包人支付价款的合同。《合同法》第二百七十条规定，建设工程合同应当采用书面形式。
2. 根据《关于贯彻质量发展纲要、提升水利工程质量的实施意见》（水建管［2012］581号），到2015年，大中型水利工程项目一次验收合格率至少应达到{{c1::（）}}。［2014年真题］	90%<br>95%<br>98%<br>100%	D	水利工程建设总体质量工作目标是，到2020年，水利工程质量水平全面提升，国家重点水利工程质量达到国际先进水平，人民群众对水利工程质量满意度显著提高。到2015年，水利工程质量发展的具体目标是：水利工程质量整体水平保持稳中有升，重点骨干工程的耐久性、安全性、可靠性普遍增强；水利工程质量通病治理取得显著成效；大中型水利工程项目一次验收合格率达到100%，其他水利工程项目一次验收合格率达到98%以上，人民群众对水利工程质量（特别是民生水利工程质量）满意度明显提高，水利工程质量投诉率显著下降，水利工程质量技术创新能力明显增强。
4. 水利工程的质量缺陷备案表应由{{c1::（）}}组织填写。［2009年真题］	质量监督单位<br>监理单位<br>项目法人<br>施工单位	B	《水利工程质量事故处理暂行规定》（水利部令第9号）规定，小于一般质量事故的质量问题称为质量缺陷。质量缺陷备案资料必须按竣工验收的标准制备，作为工程竣工验收备查资料存档。质量缺陷备案表由监理单位组织填写。
5. 水利工程建设项目质量监督方式以{{c1::（）}}为主。［2010年真题］	旁站<br>巡视<br>平行检查<br>抽查	D	根据《水利工程质量监督管理规定》（水建［1997］339号），水利工程建设项目质量监督方式以抽查为主。大型水利工程应设置项目站，中小型水利工程可根据需要建立质量监督项目站（组），或进行巡回监督。
6. 根据《水利工程质量监督管理规定》（水建［1997］339号），水利工程建设项目的质量监督期到{{c1::（）}}截止。［2011年真题］	合同工程完工<br>颁发合同工程完工证书<br>工程竣工验收<br>竣工验收委员会同意工程交付使用	D	根据《水利工程质量监督管理规定》（水建［1997］339号），从工程开工前办理质量监督手续始，到工程竣工验收委员会同意工程交付使用止，为水利工程建设项目的质量监督期（含合同质量保修期）。
7. 根据《水电建设工程质量管理暂行办法》（电水农［1997］220号），设计单位推荐设备时应遵循{{c1::（）}}的原则。［2012年10月真题］	定型定厂<br>定型不定厂<br>定厂不定型<br>不定型不定厂	B	工程主要材料、设备，应由合同规定的采购单位负责招标采购，选定材料、设备的供货厂家，并负责材料、设备的检验、监造工作，对其质量负责；其他单位不得干预采购单位按规定进行自主采购的权利而指定供货厂家或产品。设计单位推荐材料、设备时应遵循“定型不定厂”的原则，不得指定供货厂家或产品。
8. 根据《水电建设工程质量管理暂行办法》（电水农[1997]220号），施工项目经理对其承担的工程建设的质量工作负{{c1::（）}}。［2016年真题］	直接责任<br>领导责任<br>技术责任<br>直接领导责任	D	建设项目的项目法人、监理、设计、施工单位的行政正职，对本单位的质量工作负领导责任。各单位在工程项目现场的行政负责人对本单位在工程建设中的质量工作负直接领导责任。监理、设计、施工单位的工程项目技术负责人（总监、设总、总工）对质量工作负技术责任。具体工作人员为直接责任人。施工项目经理属于工程项目现场的行政负责人，所以要对其承担的工程建设的质量工作负直接领导责任。
9. 根据《合同法》的有关规定，监理合同是{{c1::（）}}。	委托合同<br>建设工程合同<br>劳务合同<br>买卖合同	A	监理合同是一种委托合同。《合同法》第二百七十六条规定，建设工程实行监理的，发包人应当与监理人采用书面形式订立委托监理合同。发包人与监理人的权利和义务以及法律责任，应当依照本法委托合同以及其他有关法律、行政法规的规定。
10. 根据《水利工程质量管理规定》，{{c1::（）}}负责审查施工单位的施工组织设计和技术措施。	勘察设计单位<br>质量检测机构<br>质量监督单位<br>监理单位	D	根据《水利工程质量管理规定》，监理单位必须持有水利部颁发的监理单位资格等级证书，依据核定的监理范围承担相应水利工程监理任务。监理单位必须接受水利工程质量监督单位对其监理资格、质量检查体系以及质量监理工作的监督检查。监理单位质量管理的主要内容之一是审查施工单位的施工组织设计和技术措施。
11. 发生特大质量事故，事故单位要在{{c1::（）}}小时内向有关单位提出书面报告。	6<br>12<br>48<br>24	C	根据《水利工程质量事故处理暂行规定》（水利部令第9号），发生质量事故后，项目法人必须将事故的简要情况向项目主管部门报告。项目主管部门接事故报告后，按照管理权限向上级水行政主管部门报告。发生（发现）较大质量事故、重大质量事故、特大质量事故，事故单位要在48小时内向有关单位提出书面报告。突发性事故，事故单位要在4小时内电话向上述单位报告。
12. 事故处理需要进行重大设计变更的，必须经{{c1::（）}}审定后实施。	项目法人（建设单位）<br>原设计审批部门<br>上级主管部门<br>省级水行政主管部门	B	事故处理需要进行设计变更的，需原设计单位或有资质的单位提出设计变更方案。需要进行重大设计变更的，必须经原设计审批部门审定后实施。
