1. 水利水电工程质量是工程在{{c1::（）}}等方面的综合特性的反映。［2011年真题］	安全性<br>经济性<br>适用性<br>美观<br>环境保护	A|B|C|D	根据《水利工程质量管理规定》，水利工程质量是指在国家和水利行业现行的有关法律、法规、技术标准和批准的设计文件及工程合同中，对建设的水利工程的安全、适用、经济、美观等特性的综合要求。
2. 根据《关于贯彻质量发展纲要、提升水利工程质量的实施意见》（水建管[2012]581号），水利工程建设质量方针包括{{c1::（）}}。［2015年真题］	坚持质量第一<br>坚持以人为本<br>坚持安全为先<br>坚持诚信守法<br>坚持夯实基础	B|C|D|E	根据水利部《关于贯彻质量发展纲要、提升水利工程质量的实施意见》（水建管[2012]581号），水利工程建设质量方针是“五个坚持”，即“坚持以人为本、坚持安全为先、坚持诚信守法、坚持夯实基础、坚持创新驱动”。
3. 某中型泵站施工过程中，质量监督部门应对监理单位的{{c1::（）}}进行监督检查。［2010年真题］	质量监理工作<br>进度监理工作<br>投资监理工作<br>监理资格<br>质量检查体系	A|D|E	根据《水利工程质量管理规定》，监理单位必须持有水利部颁发的监理单位资格等级证书，依据核定的监理范围承担相应水利工程监理任务。监理单位必须接受水利工程质量监督单位对其监理资格、质量检查体系以及质量监理工作的监督检查。
4. 在工程建设实施阶段，质量监督机构监督的对象包括{{c1::（）}}等单位。［2009年真题］	建设<br>设计<br>施工<br>监理<br>运行管理	A|B|C|D	根据《水利工程质量监督管理规定》（水建［1997］339号），在我国境内新建、扩建、改建、加固各类水利水电工程和城镇供水、滩涂围垦等工程（简称水利工程）及其技术改造，包括配套与附属工程，均必须由水利工程质量监督机构负责质量监督。工程建设、监理、设计和施工单位在工程建设阶段，必须接受质量监督机构的监督。
5. 根据《水利工程质量检测管理规定》（水利部令第36号），水利工程质量检测单位资质包括{{c1::（）}}等类别。［2016年真题］	岩土工程<br>混凝土工程<br>金属结构<br>机械电气<br>测量	A|B|C|D	根据《水利工程质量检测管理规定》（水利部令第36号）规定，水利工程质量检测单位资质分为岩土工程、混凝土工程、金属结构、机械电气和量测共5个类别，每个类别分为甲级、乙级2个等级。
6. 项目法人（建设单位）应组织{{c1::（）}}进行设计交底。	监理单位<br>施工单位<br>主管部门<br>设计单位<br>质量监督单位	B|D	项目法人（建设单位）应组织设计和施工单位进行设计交底；施工中应对工程质量进行检查，工程完工后，应及时组织有关单位进行工程质量验收、签证。
7. 在项目法人合同管理注意事项中，下列说法正确的有{{c1::（）}}。	材料和设备供应是买卖合同<br>监理合同是委托合同<br>建设工程合同包括工程设计、施工、监理合同<br>建设工程合同是承包人进行工程建设，发包人支付价款的合同<br>建设工程合同应当采用书面形式	A|B|D|E	C项，根据《合同法》的有关规定，建设工程合同包括工程勘察、设计、施工合同。建设工程合同是承包人进行工程建设，发包人支付价款的合同。
8. 根据《合同法》规定，勘察、设计合同的内容包括{{c1::（）}}等条款。	质量要求<br>材料和设备供应责任<br>质量保修范围<br>费用<br>竣工验收	A|D	关于勘察、设计、施工合同的主要内容，《合同法》第二百七十四条规定，勘察、设计合同的内容包括提交有关基础资料和文件（包括概预算）的期限、质量要求、费用以及其他协作条件等条款。
9. 某施工单位在进行大型水利工程土石方工程施工时，发生了质量事故，处理事故的直接损失费为100万元，下列说法正确的有{{c1::（）}}。	事故发生后，事故单位要严格保护现场，采取有效措施抢救人员和财产，防止事故扩大<br>该质量事故属于较大质量事故<br>该质量事故属于一般质量事故<br>事故发生后第25小时，事故单位向有关单位提出书面报告<br>事故发生后，项目法人将事故的简要情况向项目主管部门报告	A|B|D|E	根据《水利工程质量事故处理暂行规定》（水利部令第9号），事故发生后，事故单位要严格保护现场，采取有效措施抢救人员和财产，防止事故扩大。发生质量事故后，项目法人必须将事故的简要情况向项目主管部门报告。项目主管部门接事故报告后，按照管理权限向上级水行政主管部门报告。发生（发现）较大质量事故、重大质量事故、特大质量事故，事故单位要在48小时内向有关单位提出书面报告。突发性事故，事故单位要在4小时内电话向上述单位报告。根据表2F320060－2可知，该质量事故属于较大质量事故。<br/><span style="display:block;text-align:center;">表2F320060－2　水利工程质量事故分类标准</span><span style="display:block;text-align:center;"><img height="349" id="图片 7" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/edba2cc9-5a4f-499e-8d71-2c706eb3a269.png" width="707"/></span>
10. 需要省级水行政主管部门或流域机构审定后才能实施的水利工程质量事故有{{c1::（）}}。	重大质量事故<br>较大质量事故<br>一般质量事故<br>特大质量事故<br>质量缺陷	A|D	发生质量事故后，必须针对事故原因提出工程处理方案，经有关单位审定后实施。其中，一般质量事故，由项目法人负责组织有关单位制定处理方案并实施，报上级主管部门备案；较大质量事故，由项目法人负责组织有关单位制定处理方案，经上级主管部门审定后实施，报省级水行政主管部门或流域备案；重大质量事故，由项目法人负责组织有关单位提出处理方案，征得事故调查组意见后，报省级水行政主管部门或流域机构审定后实施；特大质量事故，由项目法人负责组织有关单位提出处理方案，征得事故调查组意见后，报省级水行政主管部门或流域机构审定后实施，并报水利部备案。
11. 事故处理需要进行设计变更的应{{c1::（）}}。	由事故发生单位提出设计变更方案<br>由原设计单位提出设计变更方案<br>由有资质的单位提出设计变更方案<br>由监理单位提出设计变更方案<br>需要进行重大设计变更的，必须经原设计审批部门审定后实施	B|C|E	事故处理需要进行设计变更的，需原设计单位或有资质的单位提出设计变更方案。需要进行重大设计变更的，必须经原设计审批部门审定后实施。事故部位处理完毕后，必须按照管理权限经过质量评定与验收后，方可投入使用或进入下一阶段施工。
