1. 水利水电工程施工质量检验的见证取样资料应由（　　）制备。［2011年真题］
2. 根据《水利水电工程施工质量检验与评定规程》（SL 176—2007），某中型水闸工程外观质量评定组人数至少应为（　　）人。［2009年真题］
3. 根据水利部2012年第57号公告颁布的《水利水电工程单元工程施工质量验收评定标准》，水利工程工序施工质量验收评定中，监理单位在收到施工单位申请后，应在（　　）小时内进行复核。［2015年真题］
4. 关于水利水电单位工程项目划分原则，下列说法中错误的是（　　）。
5. 根据《水利水电工程施工质量检验与评定规程》（SL 176—2007），质量缺陷是指对工程质量有影响，但小于（　　）的质量问题。
6. 国家规定需强制检定的计量器具应经（　　）认定的计量检定机构或其授权设置的计量检定机构进行检定。
7. 原材料、中间产品一次抽检不合格时，应及时对同一取样批次另取（　　）倍数量进行检验。
8. 质量缺陷备案表应由（　　）组织填写。
9. 单元工程或工序质量经鉴定达不到设计要求，经加固补强后，改变外形尺寸或造成永久性缺陷的，经建设（监理）单位确认能基本满足设计要求，其质量可按（　　）处理。
10. 《水利水电工程施工质量评定表（试行）》中关于合格率的填写，正确的是（　　）。
11. 《水利水电工程施工质量评定表（试行）》中“质量等级”栏应由（　　）人员填写。
