1. 根据《水法》，堤防工程的护堤地属于堤防工程的{{c1::（）}}范围。［2013年真题］	管理<br>保护<br>禁止<br>限制	A	水工程的管理范围和保护范围是不同的，管理范围是指为了保证工程设施正常运行管理的需要而划分的范围，如堤防工程的护堤地等，水工程管理单位依法取得土地的使用权，故管理范围通常视为水工程设施的组成部分。保护范围是指为了防止在工程设施周边进行对工程设施安全有不良影响的其他活动，满足工程安全需要而划定的一定范围。
2. 根据《防洪法》，下列区域中，不属于防洪区的是{{c1::（）}}。［2013年真题］	洪泛区<br>蓄滞洪区<br>防洪保护区<br>河道行洪区	D	根据《防洪法》的相关规定，防洪区是指洪水泛滥可能淹及的地区，分为洪泛区、蓄滞洪区和防洪保护区。其中，洪泛区是指尚无工程设施保护的洪水泛滥所及的地区；蓄滞洪区是指包括分洪口在内的河堤背水面以外临时贮存洪水的低洼地区及湖泊等；防洪保护区是指在防洪标准内受防洪工程设施保护的地区。
3. 根据《防洪法》，河道工程在汛期安全运用的上限水位是{{c1::（）}}。［2015年真题］	汛限水位<br>设计水位<br>保证水位<br>警戒水位	C	保证水位是指保证江河、湖泊在汛期安全运用的上限水位。相应保证水位时的流量称为安全流量。江河、湖泊的水位在汛期上涨可能出现险情之前而必须开始警戒并准备防汛工作时的水位称为警戒水位。设计洪水位是指水库遇到设计洪水时，在坝前达到的最高水位，是水库在正常运用设计情况下允许达到的最高水位。
4. 根据《防洪法》，在蓄滞洪区内建造的房屋屋顶形式应该采用{{c1::（）}}。［2012年6月真题］	平屋顶<br>坡屋顶<br>曲屋顶<br>尖屋顶	A	根据《防洪法》第三十三条，在蓄滞洪区内建设的油田、铁路、公路、矿山、电厂、电信设施和管道，其洪水影响评价报告应当包括建设单位自行安排的防洪避洪方案。建设项目投入生产或者使用时，其防洪工程设施应当经水行政主管部门验收。在蓄滞洪区内建造房屋应当采用平顶式结构。房屋采用平顶式结构是一种紧急避洪措施。
5. 《水土保持法》（2011年颁布）规定，水土保持方案实施过程中，水土保持措施需作重大变更的，应经{{c1::（）}}批准。［2011年真题］	方案编制单位<br>建设单位<br>原审批机关<br>监理单位	C	根据《水土保持法》，水土保持方案实施过程中，水土保持措施需要作出重大变更的，应当经原审批机关批准。
6. 《水法》对为了生产和防洪安全的共同需要而建设涉水工程，没有绝对禁止，而是通过{{c1::（）}}加以限制。	法律、法规<br>水利水电工程设计规范<br>行政许可<br>建设监理	C	水工程实施保护的规定包括禁止性规定和限制性规定。限制性规定主要是考虑在河道管理范围内从事部分生产活动有可能对河道稳定以及防洪安全产生不良影响，但为了生产和防洪安全的共同需要，有必要设定必要的法律制度和实施严格的管理措施，将生产活动对防洪安全的影响降低到最低程度或可以控制的范围。故《水法》没有绝对禁止上述活动，而是通过行政许可加以限制。
7. 全国水资源战略规划由{{c1::（）}}规划。	水行政主管部门<br>省级水利主管部门<br>国家<br>国务院	C	《水法》第十四条规定，国家制定全国水资源战略规划。开发、利用、节约、保护水资源和防治水害，应当按照流域、区域统一制定规划。规划分为流域规划和区域规划。流域规划包括流域综合规划和流域专业规划；区域规划包括区域综合规划和区域专业规划。
8. 流域防洪规划是{{c1::（）}}。	综合规划<br>专业规划<br>总体规划<br>局部规划	B	流域规划包括流域综合规划和流域专业规划。流域综合规划，是指根据经济社会发展需要和水资源开发利用现状编制的开发、利用、节约、保护水资源和防治水害的总体部署。流域专业规划，是指防洪、治涝、灌溉、航运、供水、水力发电、竹木流放、渔业、水资源保护、水土保持、防沙治沙、节约用水等规划。因此，流域防洪规划属于流域专业规划。
9. 关于水工程建设许可要求中的水资源流域规划作用的表述，不正确的是{{c1::（）}}。	主要是解决流域治理开发中的战略部署，总结治理的经验和教训<br>探讨水害防治与水资源开发利用的具体规律<br>对流域的重大水问题进行研究，提出治理工程总体布局并进行多方案比较<br>按地理、经济和行政单元对水资源开发利用和防治水害等进行总体部署	D	按照《水法》规定，水资源规划按层次分为：全国战略规划、流域规划和区域规划。水资源战略规划的目的是为我国水资源的可持续利用和科学管理提供规划基础。流域规划主要是解决流域治理开发中的战略部署，总结治理的经验和教训，探讨水害防治与水资源开发利用的具体规律，对流域的重大水问题进行研究，提出治理工程总体布局并进行多方案比较，为一定时期内流域治理开发提供依据。区域规划是按地理、经济和行政单元对水资源开发利用和防治水害等进行总体部署。
10. 根据《水法》规定，建设水工程必须符合{{c1::（）}}。	流域专业规划<br>流域综合规划<br>区域综合规划<br>区域专业规划	B	《水法》第十九条规定，建设水工程，必须符合流域综合规划。在国家确定的重要江河、湖泊和跨省、自治区、直辖市的江河、湖泊上建设水工程，其工程可行性研究报告报请批准前，有关流域管理机构应当对水工程的建设是否符合流域综合规划进行审查并签署意见；在其他江河、湖泊上建设水工程，其工程可行性研究报告报请批准前，县级以上地方人民政府水行政主管部门应当按照管理权限对水工程的建设是否符合流域综合规划进行审查并签署意见。
11. 根据《水法》的规定，在河道管理范围内建设妨碍行洪的建筑物、构筑物，由{{c1::（）}}级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为。	乡<br>县<br>市<br>省	B	《水法》第六十五条规定，在河道管理范围内建设妨碍行洪的建筑物、构筑物，或者从事影响河势稳定、危害河岸堤防安全和其他妨碍河道行洪的活动的，由县级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为，限期拆除违法建筑物、构筑物，恢复原状；逾期不拆除、不恢复原状的，强行拆除，所需费用由违法单位或者个人负担，并处1万元以上10万元以下的罚款。
