1. 根据《水工建筑物地下开挖工程施工规范》（SL 378—2007），采用电力起爆方法开挖隧洞，装炮时，可在30m以外用{{c1::（）}}照明。［2012年10月真题］	投光灯<br>白炽灯<br>防爆灯<br>节能灯	A	根据《水工建筑物地下开挖工程施工规范》（SL 378—2007），采用电力起爆方法，装炮时距工作面30m以内，应断开电源，可在30m以外用投光灯或矿灯照明。
2. 根据《水利水电工程施工组织设计规范》（SL 303—2004），水利工程导流建筑物的级别划分为{{c1::（）}}级。［2013年真题］	1～3<br>1～5<br>2～4<br>3～5	D	导流建筑物是指枢纽工程施工期所使用的临时性挡水和泄水建筑物。导流建筑物的级别应根据其保护对象、失事后果、使用年限和围堰工程规模划分为3、4、5三级，具体如表2F332000－1所示。<br/><span style="display:block;text-align:center;">表2F332000－1　导流建筑物级别划分</span><span style="display:block;text-align:center;"><img height="224" id="图片 12" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/6af07679-bd1b-4820-aed0-1c5e37c343de.png" width="684"/></span>
3. 根据《水利水电工程施工组织设计规范》（SL 303—2004），不过水土石围堰防渗体顶部高程应不低于{{c1::（）}}。［2014年真题］	设计洪水静水位<br>设计洪水静水位与波浪高度之和<br>设计洪水静水位与安全加高值之和<br>设计洪水静水位与波浪高度及安全加高值之和	C	不过水围堰顶部高程和堰顶安全超高应符合下列规定：①堰顶高程不应低于设计洪水的静水位与波浪高度及堰顶安全超高值之和，堰顶安全超高不应低于表2F332000－2中的规定。②土石围堰防渗体顶部在设计静水位以上的安全超高值：斜墙式防渗体为0.6～0.8m；心墙式防渗体为0.3～0.6m。3级土石围堰的防渗体顶部应预留竣工后的沉降超高；③考虑涌浪或折冲水流影响，当下游有支流顶托时，应组合各种流量顶托情况，复核堰顶高程；④可能形成冰塞、冰坝的河流，应考虑其造成的壅水高度。<br/><span style="display:block;text-align:center;">表2F332000－2　不过水围堰的安全超高下限值　　　　　 （单位：m）</span><span style="display:block;text-align:center;"><img height="124" id="图片 11" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/bbc21308-14f1-4232-8acd-82da158936e3.png" width="681"/></span>
4. 根据《水电水利工程混凝土防渗墙施工规范》（DL/T 5199—2004），防渗墙槽孔的清孔质量检查不包括{{c1::（）}}。［2015年真题］	孔深、孔斜<br>孔内泥浆性能<br>孔底淤积厚度<br>接头孔刷洗质量	A	根据《水电水利工程混凝土防渗墙施工规范》（DL/T 5199—2004），槽孔的清孔质量检查的内容包括：①孔内泥浆性能；②孔底淤积厚度；③接头孔刷洗质量。A项，孔深、孔斜属于槽孔建造的终孔质量检查的内容之一。
6. 根据《水电水利工程模板施工规范》（DL/T 5110—2000），模板吊钩的最小安全系数是{{c1::（）}}。［2014年真题］	1.0<br>2.0<br>3.0<br>4.0	D	模板附件的安全系数，应按表2F332000－4采用。<br/><span style="display:block;text-align:center;">表2F332000－4　模板附件的最小安全系数</span><span style="display:block;text-align:center;"><img height="139" id="图片 9" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/b58e32d3-9088-4b94-b514-e7e56e471ecd.png" width="680"/></span>
7. 根据《水工混凝土施工规范》（DL/T 5144—2001），袋装水泥储运时间超过{{c1::（）}}个月，使用前应重新检验。［2009年真题］	3<br>4<br>5<br>6	A	根据《水工混凝土施工规范》（DL/T 5144—2001）第5.1.7条，水泥的运输、保管及使用，应遵守下列规定：①优先使用散装水泥；②运到工地的水泥，应按标明的品种、强度等级、生产厂家和出厂批号，分别储存到有明显标志的储罐或仓库中，不得混装；③袋装水泥储运时间超过3个月，散装水泥超过6个月，使用前应重新检验；④应避免水泥的散失浪费，注意环境保护。
8. 根据《碾压式土石坝施工规范》（DL/T 5129—2001），坝体反滤料压实检查项目中不包括{{c1::（）}}。［2012年6月真题］	干密度<br>含水率<br>含泥量<br>颗粒级配	B	根据《碾压式土石坝施工规范》（DL／T 5129—2001）第14.4.3条，坝体反滤料压实检查项目包括干密度、颗粒级配和含泥量，取样（检测）次数要求为：1次/200～500m<sup>3</sup>，每层至少一次。
9. 根据《水工建筑物水泥灌浆施工技术规范》（DL/T 5148—2001），图2F332000－1所示的帷幕灌浆工程中，灌浆施工顺序应为{{c1::（）}}。［2016年真题］<br/><span style="display:block;text-align:center;"><img height="123" id="图片 8" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/1956f51a-dd39-4e05-b0c7-dd959dc69fb6.png" width="471"/></span><span style="display:block;text-align:center;">图2F332000－1</span>	1→2→3<br>1→3→2<br>3→2→1<br>3→1→2	D	帷幕灌浆必须按分序加密的原则进行：①由三排孔组成的帷幕，应先灌注下游排孔，再灌注上游排孔，然后进行中间排孔的灌浆，每排可分为二序；②由两排孔组成的帷幕应先灌注下游排，后灌注上游排，每排可分为二序或三序；③单排孔帷幕应分为三序灌浆。
10. 下列关于启闭机卷筒制造的说法中，错误的是{{c1::（）}}。［2016年真题］	铸钢卷筒应经过时效处理<br>铸铁卷筒应经过时效处理<br>焊接卷筒应经过时效处理<br>卷筒有裂纹时，应报废	A	根据《水利水电工程启闭机制造、安装及验收规范》（DL/T 5019—1994），铸铁卷筒和焊接卷筒应经过时效处理，铸钢卷筒应退火处理。卷筒上有裂纹时，不允许焊补，应报废。
11. 以下属于《建设工程质量管理条例》所指出的建设单位在水利水电工程建设中职责的为{{c1::（）}}。	不得明示或暗示设计单位或者施工单位违反工程建设强制性标准，降低建设工程质量<br>必须按照工程建设强制性标准进行勘察、设计<br>依照法律、法规以及有关技术标准、设计文件和建设工程承包合同，代表建设单位对施工质量实施监理，并对施工质量承担监理责任<br>按照工程设计图纸和施工技术标准施工	A	《建设工程质量管理条例》指出，建设单位不得明示或暗示设计单位或者施工单位违反工程建设强制性标准，降低建设工程质量。B项属于勘察、设计单位的职责；C项属于工程监理单位的职责；D项属于施工单位的职责。
12. 当特大断面洞室设有拱座，采用先拱后墙法开挖时，应注意保护和加固拱座岩体，拱脚下部开挖面至拱脚线最低点的距离不应小于{{c1::（）}}。	1.0m<br>1.5m<br>2.0m<br>2.5m	B	根据《水工建筑物地下开挖工程施工规范》（SL 378—2007），当特大断面洞室设有拱座，采用先拱后墙法开挖时，应注意保护和加固拱座岩体。拱脚下部的岩体开挖，应符合下列条件：①拱脚下部开挖面至拱脚线最低点的距离不应小于1.5m；②拱混凝土衬砌强度不应低于设计强度的75％。
