1. 某水库工程总库容为500万m<sup>3</sup>，其次要建筑物工程的注册建造师执业工程规模标准为{{c1::（）}}型。［2013年真题］	大（1）<br>大（2）<br>中<br>小	C	根据注册建造师执业工程规模标准（水利水电工程），水库工程（蓄水枢纽工程）的次要建筑物工程的规模为：中型（总库容为1.0～0.001亿立方米）、小型（总库容＜0.001亿立方米）。本题中，水库工程的次要建筑物的工程规模为中型，与之对应的注册建造师执业工程规模为中型。
2. 在水利水电工程注册建造师执业工程规模标准中，堤防工程的执业工程规模标准根据其{{c1::（）}}确定。［2009年真题］	等别<br>级别<br>投资额<br>保护面积	B	堤防工程不分等别，因此其执业工程规模标准根据其级别来确定。堤防工程是依据其具体工程内容来划分的，并与现场施工标段划分的需要相适应，其项目名称包括：堤基处理及防渗工程；堤身填筑（含戗台、压渗平台）及护坡工程；交叉、连接建筑物工程（含金属结构与机电设备安装）；填塘固基工程；堤顶道路（含坡道）工程；堤岸防护工程等6个方面。
3. 下列注册建造师执业工程范围中，不属于水利水电工程专业的是{{c1::（）}}。［2014年真题］	隧道<br>钢结构<br>爆破与拆除<br>预拌商品混凝土	A	水利水电工程注册建造师执业工程范围见表2F333000－1。<br/><span style="display:block;text-align:center;">表2F333000－1　水利水电工程注册建造师执业工程范围表</span><span style="display:block;text-align:center;"><img height="137" id="图片 4" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/bf1fe0d8-2c25-41cf-a3a7-22cc8f2a4710.png" width="681"/></span>
4. 根据《注册建造师执业工程范围》，下列专业中，属于水利水电工程专业工程范围的是{{c1::（）}}。［2012年6月真题］	钢结构<br>桥梁<br>隧道<br>海洋石油	A	参见第3题解析。
5. 根据《注册建造师施工管理签章文件目录》（试行）水库工程质量管理文件中，不属于注册建造师签章文件的是{{c1::（）}}。［2012年10月真题］	联合测量通知单<br>质量缺陷备案表<br>单位工程施工质量评定表<br>工程外观质量评定表	D	水利水电工程注册建造师施工管理签章文件中，质量管理文件包括：施工技术方案报审表、联合测量通知单、施工质量缺陷处理措施报审表、质量缺陷备案表和单位工程施工质量评定表。
6. 某单项合同额为1000万元的农村饮水工程，其注册建造师执业工程规模标准为{{c1::（）}}型。［2015年真题］	大（2）<br>中<br>小（1）<br>小（2）	B	农村饮水工程根据单项合同额，其注册建造师执业工程规模分为大型、中型和小型，分别是：单项合同额≥3000万元的属于大型工程；单项合同额为200～3000万元的属于中型工程；单项合同额＜200万元的属于小型工程。
7. 根据《注册建造师执业工程规模标准》（水利水电工程），单项合同额为2980万元的河道疏浚工程，其注册建造师执业工程规模标准为{{c1::（）}}型。［2016年真题］	大（1）<br>大（2）<br>中<br>小	C	河湖整治工程（含疏浚、吹填工程等）单项合同额在200万元以下的，其注册建造师执业工程规模标准为小型；在200～3000万元之间的，其注册建造师执业工程规模标准为中型；在3000（含）万元以上的，其注册建造师执业工程规模标准为大型。本题中单项合同额为2980万元，所以其注册建造师执业工程规模标准为中型。
8. 在水利水电工程注册建造师执业工程规模标准中，农村饮水工程的执业工程规模标准根据其{{c1::（）}}确定。	等别<br>级别<br>投资额<br>供水人口数量	C	水库工程（蓄水枢纽工程）、防洪工程等11类工程执业规模标准是根据水利水电工程等级划分经适当调整后确定的。堤防工程不分等别，因此其执业工程规模标准根据其级别来确定。农村饮水工程、河湖整治工程、水土保持工程、环境保护工程及其他等5类工程的规模标准以投资额划分。
9. 水利水电工程注册建造师施工管理签章文件的文件类别共有{{c1::（）}}类。	3<br>5<br>7<br>9	C	水利水电工程注册建造师施工管理签章文件共有35份。其中，施工组织文件2份，进度管理文件5份，合同管理文件12份，质量管理文件5份，安全及环保管理文件3份，成本费用管理文件4份，验收管理文件4份。
10. 水利水电工程注册建造师施工管理签章文件中，属于进度管理文件的是{{c1::（）}}。	施工组织设计报审表<br>施工技术方案报审表<br>复工申请表<br>合同项目开工令	C	水利水电工程注册建造师施工管理签章文件中，进度管理文件包括：施工进度计划报审表、暂停施工申请表、复工申请表、施工进度计划调整报审表、延长工期报审表。A项，施工组织设计报审表属于施工组织文件。B项，施工技术方案报审表属于质量管理文件。D项，合同项目开工令属于合同管理文件。
11. 水利水电工程注册建造师施工管理签章文件中，成本费用管理文件不包括{{c1::（）}}。	工程预付款申请表<br>索赔意向通知单<br>工程价款月支付申请表<br>最终付款申请表	B	水利水电工程注册建造师施工管理签章文件中，成本费用管理文件包括工程预付款申请表、工程材料预付款申请表、工程价款月支付申请表、完工/最终付款申请表。B项，索赔意向通知单属于合同管理文件。
12. 关于水利水电工程注册建造师施工管理签章文件表格总体表式的共性，下列说法中，错误的是{{c1::（）}}。	表右上角的“CF×××”指水利水电工程注册建造师签章文件的表式编号<br>合同名称指工程施工合同上所标注的名称，填写时可将合同编号用括号附在其后<br>编号指该表式文件需编写的流水号，可自行编排<br>“签章”指的是签字或者加盖注册建造师图章	D	水利水电工程注册建造师施工管理签章文件35份表格总体表式基本一致，共性部分需注意以下几点：①表右上角的“CF×××”，指水利水电工程注册建造师签章文件的表式（表号）编号；②合同名称，指工程施工合同上所标注的名称，填写时可将合同编号用括号附在其后；③编号，指该表式文件需编写的流水号，可自行编排；④承包人、监理机构、发包人、设代机构，均指各方的现场管理机构，如“项目经理部”、“项目监理部”、“建管处”、“设代组”等；⑤表式文件中的“□”，指示选择项，请在文件对应的“□”上打“√”；⑥“签章”，指的是签字并加盖注册建造师图章。
