1. 关于建设工程中代理的说法，正确的是（　　）。[2017年真题]
2. 建设单位欠付工程款，施工企业指定本单位职工申请仲裁，该职工的行为属于（　　）。[2016年真题]
3. 关于委托代理终止情形的说法，正确的是（　　）。[2015年真题]
4. 下列情形中，构成委托代理终止的是（　　）。［2013年真题］
5. 单位甲委托自然人乙采购特种水泥，乙持授权委托书向供应商丙采购。由于缺货，丙向乙说明无法供货，乙表示愿意购买普通水泥代替，向丙出示加盖甲公章的空白合同。经查，丙不知乙授权不足的情况。关于甲、乙行为的说法，正确的是（　　）。[2014年真题]
6. 根据《民法总则》，关于代理的说法，正确的是（　　）。
7. 下列代理行为中，不属于委托代理的是（　　）。
8. 15岁的吴某在上学途中被人打伤，吴某的父母代吴某提出赔偿请求，此代理属于（　　）。
9. 在某侵权诉讼中，被告李某17岁，其所在的居委会指定李某的舅舅周某作为其诉讼代理人。李某与周某之间的这种代理关系属于（　　）。
10. 甲公司业务员王某被开除后，为报复甲公司，用盖有甲公司公章的空白合同书与乙公司订立一份购销合同。乙公司并不知情，并按时将货送至甲公司所在地。甲公司拒绝接收，引起纠纷。关于该案代理与合同效力的说法，正确的是（　　）。
11. 施工企业与保险代理人张某签署了盖有保险公司印章的工程保险合同，并足额缴付了保费，但张某表示需将保费交回公司后才能签发保单，后施工企业发生保险事故要求赔偿时，保险公司称张某已离职，且其未将保险合同和保费交回公司。关于该案中责任承担的说法，正确的是（　　）。
12. 被代理人因为向代理人授权不明确而给第三人造成的损失，应（　　）。
13. 某公司委托采购员张某去采购一批陶瓷，张某却与陶瓷厂串通，以低等级的陶瓷冒充高等级的陶瓷。张某与陶瓷厂恶意串通损害该公司利益的行为应由（　　）承担赔偿责任。
14. 甲公司授权其业务员张某购买一批建材，甲公司向张某签发了授权委托书，但委托书中并未明确授权委托期限。后不久甲公司与张某解除了劳动关系，张某怀恨在心，恶意与乙公司签订合同购买一批建材，给乙公司造成了经济损失，其法律后果为（　　）。
15. 乙公司明知甲公司经营部部长被取消了对外签订合同的授权，还继续与其签订设备采购合同，因此给甲公司造成经济损失，其法律后果应由（　　）。
