1. 下列权利中，属于用益物权的是{{c1::（）}}。[2016年真题]	船舶抵押权<br>房屋租赁权<br>土地所有权<br>建设用地使用权	D	用益物权，是权利人对他人所有的不动产或者动产，依法享有占有、使用和收益的权利。用益物权包括土地承包经营权、建设用地使用权、宅基地使用权和地役权。
2. 根据《物权法》，土地承包经营权属于{{c1::（）}}。[2014年真题]	所有权<br>用益物权<br>担保物权<br>准物权	B	用益物权是权利人对他人所有的不动产或者动产，依法享有占有、使用和收益的权利。用益物权包括土地承包经营权、建设用地使用权、宅基地使用权和地役权。
3. 建设用地使用权自{{c1::（）}}时设立。[2017年真题]	土地交付<br>转让<br>登记<br>支付出让金	C	建设用地使用权是因建造建筑物、构筑物及其附属设施而使用国家所有的土地的权利。设立建设用地使用权的，应当向登记机构申请建设用地使用权登记。建设用地使用权自登记时设立，登记机构应当向建设用地使用权人发放建设用地使用权证书。
4. 建设用地使用权转让的，使用期限由{{c1::（）}}，但不得超过建设用地使用权的剩余期限。［2012年真题］	法律直接规定<br>当事人约定<br>出让人决定<br>受让人决定	B	《物权法》第一百四十四条规定，建设用地使用权转让、互换、出资、赠与或者抵押的，当事人应当采取书面形式订立相应的合同。使用期限由当事人约定，但不得超过建设用地使用权的剩余期限。
5. 甲房地产公司在A地块开发住宅小区，为满足该小区住户观景的需要，便与相邻的乙工厂协商约定，甲公司支付乙工厂800万元，乙工厂在20年内不在本厂区建设15米以上的建筑物，以免遮挡住户观景。合同签订生效后甲公司即支付了全部款项。后来，甲公司将A地块的建设用地使用权转让给丙置业公司。关于A地块权利的说法，正确的是{{c1::（）}}。[2015年真题]	甲公司对乙工厂的土地拥有地役权<br>甲公司对乙工厂的土地拥有担保物权<br>甲公司约定的权利自合同公证后获得<br>甲公司转让A地块后，丙公司不享有该项权利	A	A项，地役权，是指为使用自己不动产的便利或提高其效益而按照合同约定利用他人不动产的权利。甲公司为了住户观景的需要即提高使用效益而与乙工厂约定在其厂区20年内不得建设15米以上的建筑物，因此，甲公司对乙工厂的土地拥有地役权。B项，担保物权是权利人在债务人不履行到期债务或者发生当事人约定的实现担保物权的情形，依法享有就担保财产优先受偿的权利。地役权属于用益物权，而非担保物权。C项，地役权自地役权合同生效时设立。当事人要求登记的，可以向登记机构申请地役权登记；未经登记，不得对抗善意第三人。D项，需役地以及需役地上的土地承包经营权、建设用地使用权、宅基地使用权部分转让时，转让部分涉及地役权的，受让人同时享有地役权。
6. 关于不动产物权设立的说法，正确的是{{c1::（）}}。[2015年真题]	不动产物权的设立应依法登记<br>不动产物权的设立属自愿登记<br>不动产物权的设立自合同成立之日时生效<br>不动产登记由合同签订地的登记机构办理	A	不动产物权的设立、变更、转让和消灭，应当依照法律规定登记，自记载于不动产登记簿时发生效力。经依法登记，发生效力；未经登记，不发生效力，但法律另有规定的除外。不动产登记，由不动产所在地的登记机构办理。
7. 关于不动产物权设立的说法，正确的是{{c1::（）}}。[2014年真题]	经依法登记，发生设立效力<br>合同签字盖章，发生设立效力<br>依法属于国家所有的自然资源，所有权必须登记<br>未经登记，不动产交易合同无效	A	不动产物权的设立、变更、转让和消灭，应当依照法律规定登记，自记载于不动产登记簿时发生效力。经依法登记，发生效力；未经登记，不发生效力，但法律另有规定的除外。依法属于国家所有的自然资源，所有权可以不登记。当事人之间订立有关设立、变更、转让和消灭不动产物权的合同，除法律另有规定或者合同另有约定外，自合同成立时生效；未办理物权登记的，不影响合同效力。
8. 当事人之间订立转让不动产物权的合同，未办理物权登记的，除法律另有规定或者合同另有约定外，{{c1::（）}}。［2013年真题］	合同不生效<br>合同无效<br>合同终止<br>不影响合同效力	D	当事人之间订立有关设立、变更、转让和消灭不动产物权的合同，除法律另有规定或者合同另有约定外，自合同成立时生效；未办理物权登记的，不影响合同效力。
9. 根据《物权法》规定，一般情况下，动产物权的转让自{{c1::（）}}起发生效力。［2009年真题］	买卖合同生效<br>转移登记<br>交付<br>买方占有	C	《物权法》第二十三条规定，动产物权的设立和转让，自交付时发生效力，但法律另有规定的除外。
10. 全民所有制企业的经营权属于{{c1::（）}}。	自物权<br>用益物权<br>担保物权<br>债权	B	用益物权是权利人对他人所有的不动产或者动产，依法享有占有、使用和收益的权利。用益物权包括土地承包经营权、建设用地使用权、宅基地使用权和地役权。国家所有或者国家所有由集体使用以及法律规定属于集体所有的自然资源，单位、个人依法可以占有、使用和收益。此时，单位或者个人就成为用益物权人。因不动产或者动产被征收、征用，致使用益物权消灭或者影响用益物权行使的，用益物权人有权获得相应补偿。全民所有制企业的经营权在性质上属于用益物权。
11. 国有建设用地使用者依法对土地享有的权利不包括{{c1::（）}}。	占有权<br>使用权<br>收益权<br>所有权	D	建设用地使用权是因建造建筑物、构筑物及其附属设施而使用国家所有的土地的权利。国有建设用地使用权属于用益物权，系权利人对国家所有土地占有、使用、收益的权利。
12. 某建设单位为方便施工现场运输，借用项目相邻单位道路通行，双方约定建设单位每月支付20000元费用，据此，建设单位享有的权利是{{c1::（）}}。	建设用地使用权<br>地役权<br>相邻权<br>宅基地使用权	B	地役权，是指为使用自己不动产的便利或提高其效益而按照合同约定利用他人不动产的权利。从性质上说，地役权是按照当事人的约定设立的用益物权。相邻权为法定权利，无偿取得。
