1. 建筑施工噪声排放限值的测量位置是建筑施工场地的{{c1::（）}}。[2017年真题]	中心<br>毗邻建筑物<br>边界<br>周边50米	C	建筑施工噪声，是指建筑施工过程中产生的干扰周围生活环境的声音。建筑施工场界，是指由有关主管部门批准的建筑施工场地边界或建筑施工过程中实际使用的施工场地边界。《建筑施工场界环境噪声排放标准》规定，建筑施工过程中场界环境噪声不得超过规定的排放限值。
2. 按照《建筑施工场界环境噪声排放标准》，建筑施工场界环境噪声排放限值为{{c1::（）}}。［2014年真题］	昼间60dB（A），夜间50dB（A）<br>昼间65dB（A），夜间50dB（A）<br>昼间70dB（A），夜间55dB（A）<br>昼间75dB（A），夜间60dB（A）	C	按照《建筑施工场界环境噪声排放标准》（GB 12523—2011）的规定，建筑施工过程中场界环境噪声不得超过规定的排放限值。建筑施工场界环境噪声排放限值，昼间70dB（A），夜间55dB（A）。夜间噪声最大声级超过限值的幅度不得高于15dB（A）。
3. 根据《建筑施工场界环境噪声排放标准》（GB 12523—2011）。建筑施工场界环境夜间噪声的“夜间”是指{{c1::（）}}期间。[2015年真题]	21点至次日6点<br>22点至次日8点<br>21点至次日8点<br>22点至次日6点	D	按照《建筑施工场界环境噪声排放标准》（GB 12523—2011）的规定，建筑施工过程中场界环境夜间噪声不得超过规定的排放限值。“夜间”是指22∶00至次日6∶00之间的时段。“昼间”是指6∶00至22∶00之间的时段。县级以上人民政府为环境噪声污染防治的需要（如考虑时差、作息习惯差异等）而对昼间、夜间的划分另有规定的，应按其规定执行。
4. 在城市市区范围内，施工过程中使用机械设备，可能产生环境噪声污染的，施工单位必须在工程开工{{c1::（）}}日前向工程所在地县级以上人民政府环境保护行政主管部门申报。［2010年真题］	10<br>15<br>20<br>30	B	在城市市区范围内，建筑施工过程中使用机械设备，可能产生环境噪声污染的，施工单位必须在工程开工15日以前向工程所在地县级以上地方人民政府环境保护行政主管部门申报该工程的项目名称、施工场所和期限、可能产生的环境噪声值以及所采取的环境噪声污染防治措施的情况。
5. 根据《绿色施工导则》，在土方作业阶段采取洒水、覆盖等措施后，作业区目测扬尘高度应当小于{{c1::（）}}。[2016年真题]	1.5米<br>0.5米<br>2米<br>1米	A	根据《绿色施工导则》的规定，土方作业阶段，采取洒水、覆盖等措施，达到作业区目测扬尘高度小于1.5m，不扩散到场区外。
6. 《固体废物污染环境防治法》规定，转移固体废弃物，应向{{c1::（）}}的省环保部门报告，并应经接受地省环保部门的许可。［2007年真题］	移入地<br>移出地<br>途经地<br>接受地	B	转移固体废物出省、自治区、直辖市行政区域贮存、处置的，应当向固体废物移出地的省、自治区、直辖市人民政府环境保护行政主管部门提出申请。移出地的省、自治区、直辖市人民政府环境保护行政主管部门应当商经接受地的省、自治区、直辖市人民政府环境保护行政主管部门同意后，方可批准转移该固体废物出省、自治区、直辖市行政区域。未经批准的，不得转移。
7. 某建筑公司实施了以下行为，其中符合我国环境污染防治法律规范的是{{c1::（）}}。［2009年真题］	将建筑垃圾倾倒在季节性干枯的河道里<br>对已受污染的潜水和承压水混合开采<br>冬季工地上工人燃烧沥青、油毡取暖<br>直接从事收集、处置危险废物的人员必须接受专业培训	D	A项，根据《水污染防治法》,禁止在江河、湖泊、运河、渠道、水库最高水位线以下的滩地和岸坡堆放、存贮固体废弃物和其他污染物；B项，《水污染防治法》规定,对已受污染的潜水和承压水，不得混合开采；C项，《大气污染防治法》第八十二条规定,禁止在人口集中地区和其他依法需要特殊保护的区域内焚烧沥青、油毡、橡胶、塑料、皮革、垃圾以及其他产生有毒有害烟尘和恶臭气体的物质。
8. 《固体废物污染环境防治法》规定，收集、贮存、运输、处置危险废物的场所、设施、设备和容器、包装物和其他物品转作他用时，必须经过{{c1::（）}}处理方可使用。［2007年真题］	无害化<br>减轻污染的<br>再生利用<br>消除污染的	D	《固体废物污染环境防治法》第六十一条规定，收集、贮存、运输、处置危险废物的场所、设施、设备和容器、包装物及其他物品转作他用时，必须经过消除污染的处理，方可使用。
10. 某施工企业在混凝土搅拌场所私设排污口，将废水直接排入水沟，致使村里的十几亩水稻受损严重。有权作出行政罚款的部门是{{c1::（）}}。［2014年真题］	该村的村民委员会<br>建设行政主管部门<br>环境保护主管部门<br>规划行政主管部门	C	根据《水污染防治法》第八十四条第二款的规定，违反法律、行政法规和国务院环境保护主管部门的规定设置排污口的，由县级以上地方人民政府环境保护主管部门责令限期拆除，处2万元以上10万元以下的罚款；逾期不拆除的，强制拆除，所需费用由违法者承担，处10万元以上50万元以下的罚款；情节严重的，可以责令停产整治。
11. 在城市市区噪声敏感区域内，禁止夜间进行产生噪声污染的施工作业，因特殊需要必须连续作业的，必须{{c1::（）}}。	经附近居民所在单位的同意<br>在居民小区代表监视下施工<br>经有关机关批准并公告附近居民<br>经居民小区业主委员会同意	C	《环境噪声污染防治法》第三十条规定，在城市市区噪声敏感建筑物集中区域内，禁止夜间进行产生环境噪声污染的建筑施工作业，但抢修、抢险作业和因生产工艺上要求或者特殊需要必须连续作业的除外。因特殊需要必须连续作业的，必须有县级以上人民政府或者其有关主管部门的证明。以上规定的夜间作业，必须公告附近居民。
12. 某施工单位因为工程建设的需要，从郊区往施工现场运输粉煤灰，下列说法正确的是{{c1::（）}}。	市区施工不允许使用此类容易产生环境污染的物质<br>运输、装卸、存储过程中必须要采取密闭措施或其他防护措施<br>只要交纳罚款，施工单位可以不采取防护措施<br>粉尘弥漫，施工单位要受到道德的谴责，但是由于其本身从事公益行为，对环境造成影响并不违法	B	《大气污染防治法》第七十条规定，运输煤炭、垃圾、渣土、砂石、土方、灰浆等散装、流体物料的车辆应当采取密闭或者其他措施防止物料遗撒造成扬尘污染，并按照规定路线行驶。
13. 依据《大气污染防治法》对施工现场大气污染防治的规定，下列说法错误的是{{c1::（）}}。	企业事业单位向大气排放污染物的，应制定污染物排放计划<br>建设单位应当将防治扬尘污染的费用列入工程造价<br>施工单位应当制定具体的施工扬尘污染防治实施方案<br>工程渣土、建筑垃圾应当进行资源化处理	A	A项，企业事业单位和其他生产经营者向大气排放污染物的，应当依照法律法规和国务院环境保护主管部门的规定设置大气污染物排放口。《大气污染防治法》并未规定企业事业单位制定污染物排放计划的义务。
14. 《大气污染防治法》规定，施工单位应当在施工工地公示施工现场大气污染防治的信息，这些信息不包括{{c1::（）}}。	扬尘污染防治措施<br>扬尘控制监管信息<br>扬尘污染防治负责人<br>扬尘监督管理主管部门	B	施工单位应当在施工工地公示扬尘污染防治措施、负责人、扬尘监督管理主管部门等信息。暂时不能开工的建设用地，建设单位应当对裸露地面进行覆盖；超过3个月的，应当进行绿化、铺装或者遮盖。
15. 关于施工现场大气污染防治的说法，正确的是{{c1::（）}}。	重点是防治排放污染物<br>爆破作业须选择风力小的天气进行，做好计划<br>结构施工阶段，作业区的目测扬尘高度小于1米<br>施工现场非作业区达到目测扬尘高度0.5米	B	A项，施工现场大气污染的防治，重点是防治扬尘污染。C项，结构施工、安装装饰装修阶段，作业区目测扬尘高度小于0.5米。D项，施工现场非作业区达到目测无扬尘的要求。
16. 根据《环境噪声污染防治法》，在城市市区噪声敏感建筑物集中区域内，不能在夜间进行产生环境噪声污染的建筑施工作业的是{{c1::（）}}作业。	抢修<br>抢险<br>抢工期<br>生产工艺要求必须连续	C	《环境噪声污染防治法》规定，在城市市区噪声敏感建筑物集中区域内，禁止夜间进行产生环境噪声污染的建筑施工作业，但抢修、抢险作业和因生产工艺上要求或者特殊需要必须连续作业的除外。因特殊需要必须连续作业的，必须有县级以上人民政府或者其有关主管部门的证明。以上规定的夜间作业，必须公告附近居民。
17. 刘某是一名大货车司机，主要负责运输沥青混合料。刘某每天下班后都要把运输车开到公司附近的小溪边去清洗留在车上的沥青。对于刘某的行为，下列说法正确的是{{c1::（）}}。	在小溪边清洗含油、含毒的沥青车是违法行为<br>污染不是很严重，不属于违法行为<br>只有在征得环保部门同意的情况下，才可以在此清洗<br>只有在本单位领导同意的情况下，才可以在此清洗	A	《水污染防治法》第三十三条第二款规定，禁止在水体清洗装贮过油类或者有毒污染物的车辆和容器。即在小溪边清洗含油、含毒的沥青车是违法行为。
18. 根据《水污染防治法》的规定，关于施工现场水污染的防治，下列说法错误的是{{c1::（）}}。	建设工程开工前，建设单位应当查明工程建设范围内地下城镇排水与污水处理设施的相关情况<br>未取得排水许可证，排水户不得向城镇排水设施排放污水<br>因施工作业需要向城镇排水设施排水的，根据需要并经城镇排水主管部门批准，排水许可证的有效期可以超过施工期限<br>排水户因发生事故或者其他突发事件，排放的污水可能危及城镇排水与污水处理设施安全运行的，应当立即停止排放，采取措施消除危害，并按规定及时向有关部门报告	C	C项，因施工作业需要向城镇排水设施排水的，排水许可证的有效期，由城镇排水主管部门根据排水状况确定，但不得超过施工期限。
19. 根据《水污染防治法》，与建设项目主体工程同时设计、同时施工、同时投入使用的水污染防治设施，应当经过{{c1::（）}}验收，验收不合格的，该建设项目不得投入生产或者使用。	建设行政主管部门<br>省级人民政府<br>县级以上人民政府<br>环境保护主管部门	D	建设项目的水污染防治设施，应当与主体工程同时设计、同时施工、同时投入使用。水污染防治设施应当经过环境保护主管部门验收，验收不合格的，该建设项目不得投入生产或者使用。
20. 关于建设项目的水污染防治，下列说法不准确的是{{c1::（）}}。	建设单位在江河、湖泊新建、改建、扩建排污口的，应当取得水行政主管部门或者流域管理机构同意<br>建设项目的水污染防治设施，应当与主体工程同时设计、同时施工、同时投入使用<br>禁止在饮用水水源二级保护区内新建、改建、扩建与供水设施和保护水源无关的建设项目<br>禁止在饮用水水源准保护区内新建、扩建对水体污染严重的建设项目	C	C项，《水污染防治法》第六十五条第一款规定，禁止在饮用水水源一级保护区内新建、改建、扩建与供水设施和保护水源无关的建设项目；已建成的与供水设施和保护水源无关的建设项目，由县级以上人民政府责令拆除或者关闭。第六十六条第一款规定，禁止在饮用水水源二级保护区内新建、改建、扩建排放污染物的建设项目；已建成的排放污染物的建设项目，由县级以上人民政府责令拆除或者关闭。
21. 施工单位处置施工过程中产生的废水、废物的下列做法中，符合环境保护相关法律法规规定的是{{c1::（）}}。	工业废水处理达标后排入河流<br>经当地环境部门许可，将废物用于外省工地<br>将清洗设备的废水回灌补给地下水<br>将施工中产生的危险废弃材料堆放到住宅小区临近垃圾场	A	B项，转移固体废物出省、自治区、直辖市行政区域贮存、处置的，应当向固体废物移出地的省、自治区、直辖市人民政府环境保护行政主管部门提出申请。移出地的省、自治区、直辖市人民政府环境保护行政主管部门应当经接受地的省、自治区、直辖市人民政府环境保护行政主管部门同意后，方可批准转移该固体废物出省、自治区、直辖市行政区域。C项，人工回灌补给地下水，不得恶化地下水质。D项，工程施工单位应当及时清运工程施工过程中产生的固体废物，并按照环境卫生行政主管部门的规定进行利用或者处置。
22. 以填埋方式处置危险废物不符合国务院环境保护行政主管部门规定的，应当缴纳{{c1::（）}}。	超标准排污费<br>环境污染补偿费<br>危险废物处置费<br>危险废物排污费	D	《固体废物污染环境防治法》第五十六条规定，以填埋方式处置危险废物不符合国务院环境保护行政主管部门规定的，应当缴纳危险废物排污费。危险废物排污费用于污染环境的防治，不得挪作他用。
23. 加强建筑垃圾的回收再利用，力争建筑垃圾的再利用和回收率达到{{c1::（）}}。	30%<br>40%<br>50%<br>60%	A	《绿色施工导则》规定，加强建筑垃圾的回收再利用，力争建筑垃圾的再利用和回收率达到30%，建筑物拆除产生的废弃物的再利用和回收率大于40%。对于碎石类、土石方类建筑垃圾，可采用地基填埋、铺路等方式提高再利用率，力争再利用率大于50%。
