1. 国家实行固定资产投资项目{{c1::（）}}评估和审查制度。[2017年真题]	节地<br>节水<br>节能<br>节材	C	《节约能源法》规定，国家实行固定资产投资项目节能评估和审查制度。不符合强制性节能标准的项目，建设单位不得开工建设；已经建成的，不得投入生产、使用。政府投资项目不符合强制性节能标准的，依法负责项目审批的机关不得批准建设。
2. 关于节能技术进步的说法，正确的是{{c1::（）}}。[2017年真题]	利用财政性资金引进循环经济重大装备的，应当制定创新方案，并报有关部门审批<br>国家采取强制措施研发施工节能技术<br>节能技术政策大纲应由县级以上人民政府发布<br>各级政府应当对循环经济重大科技攻关项目的自主创新研究，安排财政性资金予以支持	A	B项，《节约能源法》规定，国家鼓励、支持节能科学技术的研究、开发、示范和推广，促进节能技术创新与进步，而非强制；C项，国务院管理节能工作的部门会同国务院科技主管部门发布节能技术政策大纲，指导节能技术研究、开发和推广应用；D项，国务院和省、自治区、直辖市人民政府及其有关部门应当将循环经济重大科技攻关项目的自主创新研究、应用示范和产业化发展列入国家或者省级科技发展规划和高技术产业发展规划，并安排财政性资金予以支持。
3. “绿色施工”是指工程建设中，在保证质量、安全等基本要求的前提下，通过科学管理和技术进步，最大限度地节约资源与减少对环境负面影响的施工活动，实现“四节一环保”，其中“四节”是指{{c1::（）}}。[2015年真题]	节电、节能、节水、节材<br>节能、节地、节水、节材<br>节能、节水、节油、节材<br>节油、节电、节水、节材	B	《绿色施工导则》规定，绿色施工是指工程建设中，在保证质量、安全等基本要求的前提下，通过科学管理和技术进步，最大限度地节约资源与减少对环境负面影响的施工活动，实现四节一环保（节能、节地、节水、节材和环境保护）。
4. 下列关于民用建筑节能的表述，正确的是{{c1::（）}}。［2009年真题］	对不符合节能强制性标准的项目，建设行政主管部门不得颁发建设工程规划许可证<br>对既有建筑实施节能改造，优先采用向阳、改善通风等低成本改造措施<br>国家要求在新建建筑中必须安装和使用太阳能等可再生资源利用系统<br>企业可以制定高于国家、行业能耗标准的企业节能标准	D	A项，对不符合民用建筑节能强制性标准的，不得颁发建设工程规划许可证；B项，实施既有建筑节能改造，应当符合民用建筑节能强制性标准，优先采用遮阳、改善通风等低成本改造措施；C项，国家鼓励在新建建筑和既有建筑节能改造中使用新型墙体材料等节能建筑材料和节能设备，安装和使用太阳能等可再生能源利用系统。
5. 施工图设计文件审查机构在进行节能设计审查时，应当审查{{c1::（）}}。［2012年真题］	建设单位的节能设计要求<br>施工单位落实节能设计的水平<br>节能设计是否符合节能强制性标准<br>空调制冷系统生产厂家节能技术的应用状况	C	施工图设计文件审查机构应当按照民用建筑节能强制性标准对施工图设计文件进行审查；经审查不符合民用建筑节能强制性标准的，县级以上地方人民政府建设主管部门不得颁发施工许可证。
6. 关于我国节约能源法律、法规及相关规定，说法错误的是{{c1::（）}}。［2014年真题］	任何单位不得对能源消费实行包费制<br>施工图纸经审查符合民用建筑节能强制性标准的，才能颁发施工许可证<br>建筑工程保温材料的安装采取监理工程师事后签字确认制<br>建筑工程不符合民用建筑节能强制性标准，不得出具竣工验收合格报告	C	墙体、屋面的保温工程施工时，监理工程师应当按照工程监理规范的要求，采取旁站、巡视和平行检验等形式实施监理。未经监理工程师签字，墙体材料、保温材料、门窗、采暖制冷系统和照明设备不得在建筑上使用或者安装，施工单位不得进行下一道工序的施工。
7. 根据《节约能源法》，违反建筑节能标准的，由建设主管部门责令改正，处10万元以上50万元以下罚款的参建单位是{{c1::（）}}。[2015年真题]	建设、施工、监理<br>设计、施工、监理<br>建设、设计、施工<br>建设、设计、监理	B	《节约能源法》规定，设计单位、施工单位、监理单位违反建筑节能标准的，由建设主管部门责令改正，处10万元以上50万元以下罚款；情节严重的，由颁发资质证书的部门降低资质等级或者吊销资质证书；造成损失的，依法承担赔偿责任。
8. 根据《民用建筑节能条例》，注册执业人员未执行民用建筑节能强制性标准的，由县级以上人民政府建设主管部门责令停止执业{{c1::（）}}，情节严重的，由颁发资格证书的部门吊销执业资格证书，5年内不得注册。［2014年真题］	3个月以上6个月以下<br>3个月以上1年以下<br>6个月以上2年以下<br>1年以上3年以下	B	《民用建筑节能条例》规定，施工单位未按照民用建筑节能强制性标准进行施工的，由县级以上地方人民政府建设主管部门责令改正，处民用建筑项目合同价款2%以上4%以下的罚款；情节严重的，由颁发资质证书的部门责令停业整顿，降低资质等级或者吊销资质证书；造成损失的，依法承担赔偿责任。注册执业人员未执行民用建筑节能强制性标准的，由县级以上人民政府建设主管部门责令停止执业3个月以上1年以下；情节严重的，由颁发资格证书的部门吊销执业资格证书，5年内不予注册。
9. 国家对落后的耗能过高的用能产品、设备和生产工艺实行{{c1::（）}}。	分类管理制度<br>限制制度<br>淘汰制度<br>监管制度	C	国家对落后的耗能过高的用能产品、设备和生产工艺实行淘汰制度。禁止使用国家明令淘汰的用能设备、生产工艺。国家鼓励企业制定严于国家标准、行业标准的企业节能标准。
10. 关于用能单位加强能源计量管理的说法，错误的是{{c1::（）}}。	按照规定配备和使用经依法检定合格的能源计量器具<br>建立能源消费统计和能源利用状况分析制度<br>对各类能源消耗实行分类计量和统计<br>对能源消费应实行包费制	D	用能单位应当加强能源计量管理，按照规定配备和使用经依法检定合格的能源计量器具。用能单位应当建立能源消费统计和能源利用状况分析制度，对各类能源的消费实行分类计量和统计，并确保能源消费统计数据真实、完整。任何单位不得对能源消费实行包费制。
11. 按照合同约定由建设单位采购墙体材料、保温材料、门窗、采暖制冷系统和照明设备的，建设单位应当保证其符合{{c1::（）}}要求。	施工图设计文件<br>国家标准<br>企业标准<br>施工单位	A	建设单位不得明示或者暗示设计单位、施工单位违反民用建筑节能强制性标准进行设计、施工，不得明示或者暗示施工单位使用不符合施工图设计文件要求的墙体材料、保温材料、门窗、采暖制冷系统和照明设备。按照合同约定由建设单位采购墙体材料、保温材料、门窗、采暖制冷系统和照明设备的，建设单位应当保证其符合施工图设计文件要求。
