1. 关于建设工程竣工验收备案的说法，正确的是（　　）。[2017年真题]
2. 根据《建设工程质量管理条例》，组织有关单位参加建设工程竣工验收的义务主体是（　　）。[2016年真题]
3. 因设计变更导致建设工程的工程量或者质量标准发生变化，当事人对该部分价款不能协商一致的，可以参照（　　）建设行政主管部门发布的计价方法或者计价标准结算工程价款。［2014年真题］
4. 根据相关司法解释的规定，建设工程未经竣工验收，发包人擅自使用后，又以使用后的（　　）工程质量不符合约定为由主张权利的，法院应予以支持。［2009年真题］
5. 关于工程项目配套建设的环境保护设施竣工验收，下列说法中，正确的是（　　）。[2015年真题]
6. 根据《建设工程价款结算暂行办法》，实行总承包的政府投资单项工程项目，竣工总结算的审查人是（　　）。[2016年真题]
7. 某工程竣工验收时发现隐蔽工程检查质量不合格，经查是由于设计缺陷造成的。下列说法中，正确的是（　　）。[2015年真题]
8. 根据《最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释》，下列情形中，造成建设工程质量缺陷，发包人应当承担过错责任的是（　　）。[2015年真题]
9. 建设单位应当自建设竣工验收合格之日起（　　）日内，将竣工验收报告和规划、公安消防、环保等部门出具的认可文件或者准许使用文件报建设行政主管部门或者其他有关部门备案。［2009年真题］
10. 在工程竣工验收后，向建设行政主管部门或者其他有关部门移交建设项目档案的主体是（　　）。
11. 根据《城市建设档案管理规定》，建设单位应当在工程竣工验收后（　　）内，向城建档案馆报送一套符合规定的建设工程档案。
12. 建设单位应当在工程竣工验收后（　　）向城乡规划主管部门报送有关竣工验收资料。
13. 对于大型人员密集场所和其它特殊建设工程外的一般建设工程，其验收方式为（　　）。
14. 建设单位应自建设项目投入试生产之日起（　　）个月内，向有关部门申请该建设项目需要配套建设的环境保护设施竣工验收。
15. 关于环境保护设施竣工验收的说法，正确的是（　　）。
16. 关于不符合建筑节能标准的建筑工程说法，错误的是（　　）。
17. 建设节能分部工程验收由（　　）主持。
18. 关于竣工结算文件的编制、提交与审查，下列说法正确的是（　　）。
19. 某施工合同约定以《建设工程价款结算暂行办法》作为结算依据，该工程结算价约4000万元，发包人应从接到承包人竣工结算报告和完整的竣工结算资料之日起（　　）日内核对（审查）完毕并提出审查意见。
20. 发包人收到竣工结算报告及完整的结算资料后，在规定或合同约定期限内，对结算报告及资料没有提出意见，则视同（　　）。
21. 对于非施工单位原因造成的质量问题，施工单位也应负责返修，造成的损失及返修费用最终由（　　）负责。
22. 按照竣工验收备案制度的有关规定，建设单位有（　　）行为的，予以行政处罚。
23. 建设单位未组织竣工验收，擅自交付使用的，责令改正，并处工程合同价款（　　）的罚款。
