1. 根据《建设工程质量管理条例》，属于建设工程竣工验收应当具备的条件有（　　）。[2017年真题]
2. 根据《建设工程质量管理条例》，建设工程竣工验收应当具备的条件有（　　）。[2015年真题]
3. 根据《最高人民法院关于审理建设工程施工合同纠纷案件适用法律问题的解释》，发包人造成建设工程质量缺陷应承担过错责任的情形有（　　）。[2016年真题]
4. 某工程项目未经竣工验收，发包人擅自使用后楼板出现裂缝，经鉴定是由于承包人偷工减料造成的，关于此项目质量责任的说法，正确的有（　　）。[2015年真题]
5. 根据《建设工程质量管理条例》，建设工程竣工验收应具备的工程技术档案和施工管理资料包括（　　）。
6. 建设单位办理大型公共建筑工程竣工验收备案应提交的材料有（　　）。
7. 施工单位一般应当提交的档案资料有（　　）。
8. 建设工程申请消防验收过程中，建设单位应当提交的材料有（　　）。
9. 建筑节能分部工程的质量验收，应在检验批、分项工程全部合格的基础上，进行（　　）。
10. 工程项目验收存在以下（　　）情形的，应重新组织建筑节能工程验收。
11. 建设工程竣工结算分为（　　）。
12. 当事人对工程造价发生合同纠纷时，解决方法有（　　）。
13. 某工程已具备竣工条件，承包人在提交竣工验收报告的同时，向发包人递交竣工结算报告及完整的结算资料。关于该工程竣工验收的质量责任等的说法，正确的有（　　）。
14. 建设单位因急于投产，擅自使用了未经竣工验收的工程，使用过程中，建设单位发现了一些质量缺陷，遂以质量不符合约定为由将施工单位诉到人民法院，则下列情形中，能够获得人民法院支持的有（　　）。
