1. 关于仲裁协议的说法，正确的有（　　）。［2011年真题］
2. 建设工程纠纷发生后，当事人申请仲裁应当符合下列（　　）条件。［2007年真题］
3. 下列情形中，可以视为撤回仲裁申请的是（　　）。［2007年真题］
4. 根据《仲裁法》和《民事诉讼法》规定，对国内仲裁而言，人民法院不予执行仲裁裁决的情形包括（　　）。［2009年真题］
5. 甲房地产开发公司与乙建筑工程公司签订建筑工程合同，合同约定因本合同发生的争议应提请A市仲裁委员会仲裁。合同履行过程中，乙公司认为在签订合同过程中存在重大误解，合同应被撤销，双方发生争议。甲公司向A市仲裁委员会申请仲裁要求乙公司承担违约责任，乙公司向A市人民法院起诉要求人民法院撤销该合同。下列说法正确的有（　　）。
6. 在建筑工程分包合同中，双方协商一致采用仲裁的方式处理合同纠纷。下列关于双方达成的仲裁协议的说法错误的有（　　）。
7. 当事人申请仲裁，应向仲裁委员会递交（　　）。
8. 申请人向仲裁委员会提出仲裁申请后，被申请人拒不提交答辩书但提出仲裁反请求，则仲裁委员会应（　　）。
9. 某项工程的总承包商甲公司和分包商乙公司由于在工程款支付问题上发生了纠纷，乙公司向仲裁机构申请仲裁。双方约定由3名仲裁员组成仲裁庭，但在选定首席仲裁员时，双方出现了分歧。那么关于本案中的首席仲裁员（　　）。
10. 下列关于《合同法》中有关解决合同争议方式的表述正确的有（　　）。
11. 仲裁审理的方式有（　　）。
12. 在审查与受理仲裁申请过程中，以下说法正确的有（　　）。
13. 下列关于仲裁调解的说法，错误的有（　　）。
14. 就主体而言，我国涉外仲裁的基本类型有（　　）。
