1. 关于担任人民调解员的基本条件，正确的是（　　）。[2016年真题]
2. 王某在施工现场工作时不慎受伤，在监理工程师的调解下，王某与雇主达成协议，雇主一次性支付王某两万元作为补偿，王某放弃起诉权利，这种调解方式属于（　　）。［2011年真题］
3. 下列各项中，对调解的理解错误的是（　　）。［2010年真题］
4. 仲裁机构制作的调解书（　　）发生法律效力。［2012年真题］
5. 某工程施工合同因被拖欠工程款发生纠纷，施工方诉至法院，后本案经调解达成协议，并制作了调解书。关于本案中调解的说法，正确的是（　　）。[2015年真题]
6. 下列法律文书中，属于可以强制执行的是（　　）。[2014年真题]
7. 在法院的主持下，甲乙双方就纠纷的解决达成了调解协议，法院依法制作了调解书，但在送达前甲方反悔，这时法院应该（　　）。［2011年真题］
8. 关于人民调解的说法，正确的是（　　）。
9. 根据《民事诉讼法》，当事人申请司法确认经人民委员会调解达成的调解协议，由双方当事人依法共同向（　　）基层人民法院提出。
10. 下列法律文书中，不具有强制执行效力的是（　　）。
11. 2015年3月，甲公司与乙公司签订了一份80万元的钢材买卖合同，甲如约交付钢材后，乙公司不支付货款。5月份，甲公司向市人民法院提起诉讼。一审法院判决乙公司3个月内即2015年11月31日前支付完毕。在判决作出后，乙没有上诉。但是直到12月12日，乙也没有支付。甲准备根据生效判决书向法院申请强制执行。执行开始后，甲与乙达成和解协议。和解协议约定：将80万元债务减少70万元，协议生效之日起1个月内还清。协议生效1个月后，乙公司并未履行协议约定。下列做法中正确的是（　　）。
12. 施工单位与物资供应单位因采购的防水材料质量问题发生争议，双方多次协商，但没有达成和解，则关于此争议的处理，下列说法中，正确的是（　　）。
