1. 项目管理的核心任务是项目的{{c1::（）}}。[2010年真题]	组织协调<br>目标控制<br>合同管理<br>风险管理	B	项目管理的核心任务是项目的目标控制，按项目管理学的基本理论，没有明确目标的建设工程不能成为项目管理的对象。
2. 根据建设工程项目的阶段划分，属于设计准备阶段工作的是{{c1::（）}}。[2013年真题]	编制项目可行性研究报告<br>编制初步设计<br>编制设计任务书<br>编制项目建议书	C	建设工程项目的全寿命周期包括项目的决策阶段、实施阶段和使用阶段。项目的实施阶段包括设计前的准备阶段、设计阶段、施工阶段、动用前准备阶段和保修期，如图2Z101010-1所示。AD两项属于项目决策阶段的工作；B项属于设计阶段的工作。<br/><span style="display:block;text-align:center;"><img height="349" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5933e144-dc46-48e1-b79d-45abd884fa06.png" width="736"/></span><span style="display:block;text-align:center;">图2Z101010-1　建设工程项目的决策阶段和实施阶段</span>
3. 建设工程项目供货方的项目管理主要在{{c1::（）}}阶段进行。[2015年真题]	施工<br>设计<br>决策<br>保修	A	供货方作为项目建设的一个参与方，其项目管理主要服务于项目的整体利益和供货方本身的利益。供货方的项目管理工作主要在施工阶段进行，但它也涉及设计准备阶段、设计阶段、动用前准备阶段和保修期。
4. 甲单位拟新建一电教中心，经设计招标，由乙设计院承担该项目设计任务，下列目标中，不属于乙设计院项目管理目标的是{{c1::（）}}。[2011年真题]	项目投资目标<br>设计进度目标<br>施工质量目标<br>设计成本目标	C	设计方作为项目建设的一个参与方，其项目管理主要服务于项目的整体利益和设计方本身的利益。其项目管理的目标包括设计的成本目标、设计的进度目标和设计的质量目标，以及项目的投资目标。
5. 建设项目总承包的核心意义在于{{c1::（）}}。[2015年真题]	合同总价包干降低成本<br>总承包方负责“交钥匙”<br>设计与施工的责任明确<br>为项目建设增值	D	建设项目工程总承包的主要意义并不在于总价包干，也不是“交钥匙”，其核心是通过设计与施工过程的组织集成，促进设计与施工的紧密结合，以达到为项目建设增值的目的。即使采用总价包干的方式，稍大一些的项目也难以用固定总价包干，而多数采用变动总价合同。
6. 关于施工总承包方项目管理任务的说法，正确的是{{c1::（）}}。［2014年真题］	施工总承包方一般不承担施工任务，只承担施工的总体管理和协调工作<br>施工总承包方只负责所施工部门的施工安全，对业主指定分包商的施工安全不承担责任<br>施工总承包方不与分包商直接签订施工合同，均由业主方签订<br>施工总承包方应负责施工资源的供应组织	D	施工总承包方对所承包的建设工程承担施工任务的执行和组织的总的责任，它的主要管理任务包括：①负责整个工程的施工安全、施工总进度控制、施工质量控制和施工的组织与协调等；②控制施工的成本（这是施工总承包方内部的管理任务）；③施工总承包方除了完成自己承担的施工任务以外，还负责组织和指挥它自行分包的分包施工单位和业主指定的分包施工单位的施工，并为分包施工单位提供和创造必要的施工条件；④负责施工资源的供应组织；⑤代表施工方与业主方、设计方、工程监理方等外部单位进行必要的联系和协调等。
7. 关于施工方项目管理目标和任务的说法，正确的是{{c1::（）}}。[2013年真题]	施工总承包管理方对所承包的工程承担施工任务的执行和组织的总的责任<br>施工方项目管理服务于施工方自身的利益，而不需要考虑其他方<br>由业主选定的分包方应经施工总承包管理方的认可<br>建设项目工程总承包的主要意义是总价包干和“交钥匙”	C	A项，施工总承包方（GC，General Contractor）对所承包的建设工程承担施工任务的执行和组织的总的责任，施工总承包管理方（MC，Managing Contractor）对所承包的建设工程承担施工任务组织的总的责任。B项，施工方作为项目建设的一个参与方，其项目管理主要服务于项目的整体利益和施工方本身的利益。D项，建设项目工程总承包的主要意义并不在于总价包干，也不是“交钥匙”，其核心是通过设计与施工过程的组织集成，促进设计与施工的紧密结合，以达到为项目建设增值的目的。即使采用总价包干的方式，稍大一些的项目也难以用固定总价包干，而多数采用变动总价合同。
8. 某建设项目采用施工总承包管理模式，R监理公司承担施工监理任务，G施工企业承担主要的施工任务，业主将其中的二次装修发包给C装饰公司。则C装饰公司在施工中应接受{{c1::（）}}的施工管理。[2012年真题]	业主<br>R监理公司<br>G施工企业<br>施工总承包管理方	D	施工总承包方对所承包的建设工程承担施工任务的执行和组织的总的责任，是工程施工的总执行者和总组织者，它除了完成自己承担的施工任务以外，还负责组织和指挥它自行分包的分包施工单位和业主指定的分包施工单位的施工，并为分包施工单位提供和创造必要的施工条件。分包施工方承担合同所规定的分包施工任务，以及相应的项目管理任务。若采用施工总承包或施工总承包管理模式，分包方（不论是一般的分包方，或由业主指定的分包方）必须接受施工总承包方或施工总承包管理方的工作指令，服从其总体的项目管理。
9. 某工作项目施工采用施工总承包模式，其中电气设备由业主指定的分包单位采购和安装，则在施工中该分包单位必须接受{{c1::（）}}的工作指令，服从其总体的项目管理。[2010年真题]	业主<br>设计方<br>施工总承包方<br>项目监理方	C	施工总承包方对所承包的建设工程承担施工任务的执行和组织的总的责任，是工程施工的总执行者和总组织者，它除了完成自己承担的施工任务以外，还负责组织和指挥它自行分包的分包施工单位和业主指定的分包施工单位的施工，并为分包施工单位提供和创造必要的施工条件。分包施工方承担合同所规定的分包施工任务，以及相应的项目管理任务。若采用施工总承包或施工总承包管理模式，分包方（不论是一般的分包方，或由业主指定的分包方）必须接受施工总承包方或施工总承包管理方的工作指令，服从其总体的项目管理。
10. 施工总承包管理模式下，如施工总承包管理单位想承接该工程部分工程的施工任务，则其取得施工任务的合理途径应为{{c1::（）}}。[2015年真题]	监理单位委托<br>投标竞争<br>施工总承包人委托<br>自行分配	B	一般情况下，施工总承包管理方不承担施工任务，它主要进行施工的总体管理和协调。如果施工总承包管理方通过投标（在平等条件下竞标）获得一部分施工任务，则它也可参与施工。
11. 在施工总承包管理模式下，分包单位一般与{{c1::（）}}签订合同。[2013年真题]	工程总承包单位<br>施工总承包单位<br>业主<br>业主、施工总承包管理单位三方共同	C	一般情况下，施工总承包管理方不与分包方和供货方直接签订施工合同，这些合同都由业主方直接签订。但若施工总承包管理方应业主方的要求，协助业主参与施工的招标和发包工作，其参与的工作深度由业主方决定。业主方也可能要求施工总承包管理方负责整个施工的招标和发包工作。
