1. 对项目的结构进行逐层分解所采用的组织工具是{{c1::（）}}。[2010年真题]	项目结构图<br>组织结构<br>合同结构图<br>工作流程图	A	项目结构图是一个组织工具，它通过树状图的方式对一个项目的结构进行逐层分解，以反映组成该项目的所有工作任务。项目结构图中，矩形框表示工作任务（或第一层、第二层子项目等），矩形框之间的连接用连线表示。
2. 编制项目合同编码的基础是{{c1::（）}}。[2015年真题]	项目合同文本和项目结构图<br>项目结构图和项目结构编码<br>项目结构编码和项目组织结构图<br>项目合同文本和项目组织结构图	B	项目结构的编码依据项目结构图，对项目结构的每一层的每一个组成部分进行编码。项目结构的编码和用于投资控制、进度控制、质量控制、合同管理和信息管理等管理工作的编码有紧密的有机联系，但它们之间又有区别。项目结构图和项目结构的编码是编制项目合同编码的基础。
3. 某住宅小区工程施工前，施工项目管理机构绘制了如图2Z101020-1所示的框图。该图是{{c1::（）}}。[2009年真题]<br/><span style="display:block;text-align:center;"><img height="202" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/92b3aca5-cc60-4c46-abbd-470dd4f8abda.png" width="463"/></span><span style="display:block;text-align:center;">图2Z101020-1</span>	项目结构图<br>组织结构图<br>工作流程图<br>合同结构图	A	项目结构的编码依据项目结构图，对项目结构的每一层的每一个组成部分进行编码。项目结构的编码和用于投资控制、进度控制、质量控制、合同管理和信息管理等管理工作的编码有紧密的有机联系，但它们之间又有区别。项目结构图和项目结构的编码是编制项目合同编码的基础。
4. 采用项目结构图对建设工程项目进行分解时，项目结构的分解与整个建设工程实施的部署相结合，并与将采用的{{c1::（）}}相结合。[2011年真题]	组织结构<br>工作流程<br>职能结构<br>合同结构	D	同一个建设工程项目可有不同的项目结构的分解方法，项目结构的分解应和整个工程实施的部署相结合，并和将采用的合同结构相结合。
5. 编制项目投资项编码，进度项编码，合同编码和工程档案编码的基础是{{c1::（）}}。[2012年真题]	项目结构图和项目结构编码<br>组织结构图和组织结构编码<br>工作流程图和项目结构编码<br>工作流程图和组织结构编码	A	一个建设工程项目有不同类型和不同用途的信息，为了有组织地存储信息、方便信息的检索和信息的加工整理，必须对项目的信息进行编码，如项目投资项编码、进度项编码、合同编码和工程档案编码等。项目结构的编码依据项目结构图，对项目结构的每一层的每一个组成部分进行编码。项目结构的编码和用于投资控制、进度控制、质量控制、合同管理和信息管理等管理工作的编码有紧密的有机联系，但它们之间又有区别。项目结构图和项目结构编码是编制上述其他编码的基础。
6. 组织结构模式反映一个组织系统中各子系统之间或各工作部门之间的{{c1::（）}}关系。[2013年真题]	指令<br>协作<br>监督<br>配合	A	组织论是一门学科，它主要研究系统的组织结构模式、组织分工和工作流程组织，它是与项目管理学相关的一门非常重要的基础理论学科。组织结构模式反映一个组织系统中各子系统之间或各元素（各工作部门或各管理人员）之间的指令关系。
7. 关于线性组织结构的说法，错误的是{{c1::（）}}。［2014年真题］	每个工作部门的指令源是唯一的<br>高组织层次部门可以向任何低组织层次下达指令<br>在特大组织系统中，指令路径会很长<br>可以避免相互矛盾的指令影响系统运行	B	在线性组织结构中，每一个工作部门只能对其直接的下属部门下达工作指令，每一个工作部门也只有一个直接的上级部门，因此，每一个工作部门只有唯一一个指令源，避免了由于矛盾的指令而影响组织系统的运行。但在一个特大的组织系统中，由于线性组织结构模式的指令路径过长，有可能会造成组织系统在一定程度上运行的困难。
8. 关于工作任务分工的说法，错误的是{{c1::（）}}。[2012年真题]	工作任务分工可以用相应组织工具表示其组织关系<br>组织论中组织分工指的就是工作任务分工<br>项目各参与方有各自的项目管理工作任务分工<br>工作任务分工应随着项目进展而不断深化和细化	B	B项，组织分工反映了一个组织系统中各子系统或各元素的工作任务分工和管理职能分工。
9. 项目管理任务分工表是{{c1::（）}}的一部分。[2015年真题]	项目组织设计文件<br>项目结构分解<br>项目工作流程图<br>项目管理职能分工	A	每一个建设项目都应编制项目管理任务分工表，这是一个项目的组织设计文件的一部分。在编制项目管理任务分工表前，应结合项目的特点，对项目实施各阶段的费用（投资或成本）控制、进度控制、质量控制、合同管理、信息管理和组织与协调等管理任务进行详细分解。在项目管理任务分解的基础上，明确项目经理和上述管理任务主管工作部门或主管人员的工作任务，从而编制工作任务分工表。
10. 关于项目管理工作任务分工表特点的说法，正确的是{{c1::（）}}。[2014年真题]	每一个部门只能有一个主办部门<br>每一个任务只能有一个协力部门和一个配合部门<br>项目运营部应在项目竣工后介入工作<br>项目管理工作任务分工表应作为组织设计文件的一部分	D	任务分工表有以下特点：①任务分工表主要明确哪项任务由哪个工作部门（机构）负责主办，另明确协办部门和配合部门，主办、协办和配合在表中分别用三个不同的符号表示；②在任务分工表的每一行中，即每一个任务，都有至少一个主办工作部门；③运营部和物业开发部参与整个项目实施过程，而不是在工程竣工前才介入工作。
11. 能够反映项目管理班子内部项目经理、各工作部门和各工作岗位在各项管理工作中所应承担的策划、执行、控制等职责的组织工具是{{c1::（）}}。[2010年真题]	管理职能分工表<br>组织结构图<br>工作任务分工表<br>工作流程图	A	管理职能分工表是用表的形式反映各工作部门（各工作岗位）对各项工作任务的项目管理职能分工。表中用拉丁字母表示管理职能。管理职能分工表也可用于企业管理。
12. 某工程施工项目经理部，根据项目特点制定了项目成本控制、进度控制、质量控制和合同管理等工作流程。这些工作流程组织属于{{c1::（）}}。[2013年真题]	信息处理工作流程组织<br>物质流程组织<br>管理工作流程组织<br>施工作业流程组织	C	工作流程组织包括：①管理工作流程组织，如投资控制、进度控制、合同管理、付款和设计变更等流程；②信息处理工作流程组织，如与生成月度进度报告有关的数据处理流程；③物质流程组织，如钢结构深化设计工作流程，弱电工程物资采购工作流程，外立面施工工作流程等。
13. 工作流程图反映一个组织系统中各项工作之间的{{c1::（）}}关系。[2012年真题]	指令<br>逻辑<br>主次<br>合同	B	工作流程图用图的形式反映一个组织系统中各项工作之间的逻辑关系，它可用以描述工作流程组织。
14. 关于工作流程与工作流程图的说法，正确的是{{c1::（）}}。[2011年真题]	业主方与项目各参与方的工作流程组织的任务是一致的<br>工作流程组织的任务就是编制组织结构图<br>工作流程图可以用来描述工作流程组织<br>工作流程图中用双向箭线表示工作间的逻辑关系	C	A项，业主方和项目各参与方，如工程管理咨询单位、设计单位、施工单位和供货单位等都有各自的工作流程组织的任务；B项，工作流程组织的任务是定义工作的流程；D项，工作流程图用单向箭线表示工作之间的逻辑关系。
16. 根据{{c1::（）}}，为实现项目的进度目标，应健全项目管理的组织体系。	项目管理的组织模式<br>项目目标控制的动态控制原理<br>组织与目标的关系<br>网络计划技术的要求	C	系统的目标决定了系统的组织，而组织是目标能否实现的决定性因素。如果把一个建设项目的项目管理视作为一个系统，其目标决定了项目管理的组织，而项目管理的组织是项目管理的目标能否实现的决定性因素。
17. 项目总承包商运用的组织工具中，能反映组织系统中动态关系的是{{c1::（）}}。	工作流程图<br>组织结构图<br>项目结构图<br>工作任务分工表	A	组织结构模式和组织分工都是一种相对静态的组织关系。工作流程组织则反映一个组织系统中各项工作之间的逻辑关系，是一种动态关系。
18. 项目结构分解并没有统一的模式，但应结合项目的特点并参考{{c1::（）}}。	项目平面图<br>人力资源管理<br>规定的原则<br>信息管理	C	项目结构分解并没有统一的模式，但应结合项目的特点并参考规定的原则，这些原则包括：①考虑项目进展的总体部署；②考虑项目的组成；③有利于项目实施任务（设计、施工和物资采购）的发包和有利于项目实施任务的进行，并结合合同结构的特点；④有利于项目目标的控制；⑤结合项目管理的组织结构的特点等。
