1. 下列工作中，不属于施工项目目标动态控制程序中的工作是{{c1::（）}}。［2014年真题］	承包人<br>监理人<br>建设主管部门<br>发包人	D	根据《建设工程施工合同（示范文本）》（GF—2013—0201）第3.2.1条规定，项目经理确需离开施工现场时，应事先通知监理人，并取得发包人的书面同意。项目经理的通知中应当载明临时代行其职责的人员的注册执业资格、管理经验等资料，该人员应具备履行相应职责的能力。承包人违反上述约定的，应按照专用合同条款的约定，承担违约责任。
2. 某建设工程项目经理部根据目标动态控制原理，将项目目标进行了分解，那么在项目目标实施过程中，首先应进行的工作是{{c1::（）}}。[2011年真题]	5<br>7<br>14<br>28	B	根据《建设工程施工合同（示范文本）》（GF—2013—0201）第3.2.5条规定，项目经理因特殊情况授权其下属人员履行其某项工作职责的，该下属人员应具备履行相应职责的能力，并应提前7天将上述人员的姓名和授权范围书面通知监理人，并征得发包人书面同意。
3. 关于项目目标动态控制的说法，错误的是{{c1::（）}}。[2013年真题]	项目的全权负责人<br>项目法定代表人<br>施工合同当事人<br>项目管理班子的负责人	D	项目经理是企业任命的一个项目的项目管理班子的负责人（领导人），但它并不一定是（多数不是）一个企业法定代表人在工程项目上的代表人，因为一个企业法定代表人在工程项目上的代表人在法律上赋予其的权限范围太大。
4. 下列项目目标动态控制措施中，属于管理措施的是{{c1::（）}}。[2012年真题]	组织项目管理班子<br>指挥项目建设的生产经营活动<br>签署项目参与人员聘用合同<br>选择施工作业队伍	C	项目经理在承担工程项目施工的管理过程中，应当按照建筑施工企业与建设单位签订的工程承包合同，与本企业法定代表人签订项目承包合同，并在企业法定代表人授权范围内，行使以下管理权力：①组织项目管理班子；②以企业法定代表人的代表身份处理与所承担的工程项目有关的外部关系，受托签署有关合同；③指挥工程项目建设的生产经营活动，调配并管理进入工程项目的人力、资金、物资、机械设备等生产要素；④选择施工作业队伍；⑤进行合理的经济分配；⑥企业法定代表人授予的其他管理权力。
5. 在项目目标动态控制的纠偏措施中，调整管理职能分工属于{{c1::（）}}。[2015年真题]	施工企业决策者<br>施工企业法定代表人的代表<br>施工企业法定代表人<br>建设单位项目管理者	B	项目经理在承担工程项目施工的管理过程中，应当按照建筑施工企业与建设单位签订的工程承包合同，与本企业法定代表人签订项目承包合同，并在企业法定代表人授权范围内，行使以下管理权力：①组织项目管理班子；②以企业法定代表人的代表身份处理与所承担的工程项目有关的外部关系，受托签署有关合同；③指挥工程项目建设的生产经营活动，调配并管理进入工程项目的人力、资金、物资、机械设备等生产要素；④选择施工作业队伍；⑤进行合理的经济分配；⑥企业法定代表人授予的其他管理权力。
6. 下列项目目标控制工作中，属于主动控制的是{{c1::（）}}。[2010年真题]	企业董事长<br>企业法定代表人<br>企业总经理<br>主管生产经营的副总经理	B	根据《建设工程项目管理规范》（GB/T 50326—2006），项目管理目标责任书应在项目实施之前，由法定代表人或其授权人与项目经理协商制定。
7. 在施工成本动态控制过程中，当对工程合同价与实际施工成本、工程款支付进行比较时，成本的计划值是{{c1::（）}}。[2009年真题]	施工企业经营部门<br>建设单位和施工企业法定代表人协商<br>法定代表人或其授权人与项目经理协商<br>施工企业合同预算部门	C	根据《建设工程项目管理规范》（GB/T 50326—2006），项目管理目标责任书应在项目实施之前，由法定代表人或其授权人与项目经理协商制定。编制项目管理目标责任书应依据下列资料：①项目合同文件；②组织的管理制度；③项目管理规划大纲；④组织的经营方针和目标。
8. 项目进度跟踪和控制报告是基于进度的{{c1::（）}}的定量化数据比较的成果。[2015年真题]	法律责任<br>经济责任<br>行政责任<br>领导责任	B	项目经理由于主观原因，或由于工作失误有可能承担法律责任和经济责任。政府主管部门将追究的主要是其法律责任，企业将追究的主要是其经济责任。但是，如果由于项目经理的违法行为而导致企业的损失，企业也有可能追究其法律责任。
9. 用动态控制原理控制施工质量时，质量目标不仅包括各分部分项工程的施工质量，还包括{{c1::（）}}。[2011年真题]	2<br>3<br>4<br>5	D	建筑业企业项目经理资质管理制度向建造师执业资格制度过渡的时间定为五年，即从国发[2003] 5号文印发之日起至2008年2月27日止。过渡期内，凡持有项目经理资质证书或者建造师注册证书的人员，经其所在企业聘用后均可担任工程项目施工的项目经理。过渡期满后，大、中型工程项目施工的项目经理必须由取得建造师注册证书的人员担任。
10. 项目管理最基本的方法论是项目目标的{{c1::（）}}。	费用、进度、安全<br>进度、安全、质量<br>质量、安全、工期<br>工期、质量、费用	C	在全面实施建造师执业资格制度后仍然要坚持落实项目经理岗位责任制。项目经理岗位是保证工程项目建设质量、安全、工期的重要岗位。
11. 施工项目技术负责人每天在施工日志上对当天的施工质量和进度情况进行详细记载，属于项目目标动态控制过程中{{c1::（）}}的工作。	施工安全管理<br>施工进度控制<br>工程合同管理<br>工程投资控制	D	项目经理的任务包括项目的行政管理和项目管理两个方面，其在项目管理方面的主要任务是：①施工安全管理；②施工成本控制；③施工进度控制；④施工质量控制；⑤工程合同管理；⑥工程信息管理；⑦工程组织与协调等。
12. 目标动态控制的纠偏措施中，任务分工、管理职能分工和工作流程组织属于{{c1::（）}}。	项目总监理工程师<br>项目总工程师<br>施工方项目经理<br>设计方项目经理	C	工程项目施工应建立以项目经理为首的生产经营管理系统，实行项目经理负责制。项目经理在工程项目施工中处于中心地位，对工程项目施工负有全面管理的责任。
