1. 施工定额的研究对象是同一性质的施工过程，这里的施工过程是指{{c1::（）}}。[2015年真题]	工序<br>分部工程<br>分项工程<br>整个建筑物	A	施工定额是以同一性质的施工过程——工序，作为研究对象，表示生产产品数量与时间消耗综合关系编制的定额。施工定额是施工企业（建筑安装企业）组织生产和加强管理在企业内部使用的一种定额，属于企业定额的性质。施工定额是工程建设定额中分项最细、定额子目最多的一种定额，也是建设工程定额中的基础性定额。
2. 若施工企业所能依据的定额齐全，则在编制施工作业计划时宜采用的定额是{{c1::（）}}。[2010年真题]	概算指标<br>概算定额<br>预算定额<br>施工定额	D	施工定额是以同一性质的施工过程——工序，作为研究对象，表示生产产品数量与时间消耗综合关系编制的定额。施工定额直接应用于施工项目的施工管理，用来编制施工作业计划、签发施工任务单、签发限额领料单，以及结算计件工资或计量奖励工资等。
3. 预算定额是编制概算定额的基础，是以{{c1::（）}}为对象编制的定额。［2014年真题］	同一性质的施工过程<br>建筑物各个分部分项工程<br>扩大的分部分分项工程<br>整个建筑物和构筑物	B	预算定额是以建筑物或构筑物各个分部分项工程为对象编制的定额。预算定额是以施工定额为基础综合扩大编制的，同时也是编制概算定额的基础。
4. 编制人工定额时，工人工作必须消耗的时间不包括{{c1::（）}}。[2013年真题]	有效工作时间<br>休息时间<br>不可避免中断时间<br>偶然工作时间	D	工人在工作班内消耗的工作时间，按其消耗的性质，基本可以分为两大类：必需消耗的时间和损失时间。其中，必需消耗的时间是指，工人在正常施工条件下，为完成一定产品（工作任务）所消耗的时间，它是制定定额的主要根据。必需消耗的工作时间包括有效工作时间、休息时间和不可避免中断时间。
5. 编制人工定额时，应计入定额时间的是{{c1::（）}}。[2012年真题]	工人在工作时间内聊天时间<br>工人午饭后迟到时间<br>材料供应中断造成的停工时间<br>工作结束后的整理工作时间	D	人工定额反映生产工人在正常施工条件下的劳动效率，表明每个工人生产单位合格产品所必需消耗的劳动时间，或者在一定的劳动时间中所生产的合格产品数量。工人在工作班内消耗的工作时间，按其消耗的性质，基本可以分为两大类：必需消耗的时间和损失时间。必需消耗的时间包括有效工作时间（基本工作时间、准备与结束工作时间和辅助工作时间）、休息时间和不可避免中断时间。损失时间包括多余和偶然时间、停工时间、违背劳动纪律损失时间。D项，工作结束后的整理工作时间属于准备与结束工作时间，是指执行任务前或任务完成后所消耗的工作时间，应计入定额时间。ABC三项属于损失时间，不应计入定额时间。
6. 某施工工序的人工产量定额为4.56 m<sup>3</sup>，则该工序的人工时间定额为{{c1::（）}}。[2010年真题]	0.22工日/m3<br>0.22工日<br>1.76h/m3<br>4.56工日	B	时间定额是某种专业、某种技术等级工人班组或个人，在合理的劳动组织和合理使用材料的条件下，完成单位合格产品所必需的工作时间。时间定额与产量定额之间互为倒数，即：时间定额＝1/产量定额，则时间定额＝1/产量定额＝1/4.56＝0.22（工日）。
7. 编制标准砖砌体材料消耗定额时，砖的消耗量应按{{c1::（）}}确定。[2012年真题]	净用量<br>净用量和损耗量<br>一次损耗量<br>损耗量加补损量	B	编制材料消耗定额，主要包括确定直接使用在工程上的材料净用量和在施工现场内运输及操作过程中的不可避免的废料和损耗。标准砖（砂浆）总消耗量=净用量×（1+损耗率）。
8. 编制施工机械台班使用定额时，施工机械必须消耗时间包括有效工作时间、不可避免的中断时间以及{{c1::（）}}。[2010年真题]	施工本身造成的停工时间<br>非施工本身造成的停工时间<br>低负荷下的工作时间<br>不可避免的无负荷工作时间	D	施工机械时间定额，是指在合理劳动组织与合理使用机械条件下，完成单位合格产品所必需的工作时间，包括有效工作时间（正常负荷下的工作时间和降低负荷下的工作时间）、不可避免的中断时间、不可避免的无负荷工作时间。机械时间定额以“台班”表示，即一台机械工作一个作业班时间，一个作业班时间为8h。
9. 斗容量为1m<sup>3</sup>的反铲挖土机，挖三类土，装车，深度在3m内，小组成员4人，机械台班产量为3.84（定额单位100m<sup>3</sup>），则挖100m<sup>3</sup>的人工时间定额为{{c1::（）}}工日。[2013年真题]	3.84<br>0.78<br>0.26<br>1.04	D	<img height="44" id="Picture 8" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a51c1181-f1d8-4c28-9859-3887a79e3aa1.jpg" width="462"/>
10. 编制某施工机械台班使用定额，测定该机械纯工作1小时的生产率为6m<sup>3</sup>，机械利用系数平均为80%，工作班延续时间为8小时，则该机械的台班产量定额为{{c1::（）}}m<sup>3</sup>。[2015年真题]	64<br>60<br>48<br>38.4	D	施工机械台班产量定额=机械净工作生产率×工作班延续时间×机械利用系数，所以，该机械的台班产量定额=6×8×80％=38.4m<sup>3</sup>。
11. 编制施工机械台班使用定额时，可计入定额时间的是{{c1::（）}}。［2014年真题］	因技术人员过错造成机械降低负荷情况下的工作时间<br>机械使用过程中进行的必要的保养所造成的中断时间<br>操作机械的工人违反劳动纪律所消耗的时间<br>施工组织不当造成的机械停工时间	B	施工机械时间定额，是指在合理劳动组织与合理使用机械条件下，完成单位合格产品所必需的工作时间，包括有效工作时间（正常负荷下的工作时间和降低负荷下的工作时间）、不可避免的中断时间、不可避免的无负荷工作时间。B项属于不可避免的中断工作时间，可计入定额时间。
12. 砂浆搅拌机工作时，由于工人没有及时供料而使机械空转的时间属于机械工作时间消耗中的{{c1::（）}}。[2012年真题]	有效工作时间<br>非施工本身造成的停工时间<br>多余工作时间<br>低负荷下工作时间	C	C项，机械的多余工作时间，是机械进行任务内和工艺过程内未包括的工作而延续的时间。如工人没有及时供料而使机械空运转的时间。A项，有效工作时间属于必需消耗的时间。B项，非施工本身造成的停工时间是由于气候条件所引起的停工现象，如暴雨时压路机的停工,其为机械的停工时间，属于损失时间。D项，低负荷下的工作时间，是由于工人或技术人员的过错所造成的施工机械在降低负荷的情况下工作的时间，属于损失时间。
13. 施工机械台班产量定额等于{{c1::（）}}。[2013年真题]	机械净工作生产率×工作班延续时间<br>机械净工作生产率×工作班延续时间×机械利用系数<br>机械净工作生产率×机械利用系数<br>机械净工作生产率×工作班延续时间×机械运行时间	B	施工机械台班产量定额=机械净工作生产率×工作班延续时间×机械利用系数。机械净工作生产率，即机械纯工作1h的正常生产率;机械利用系数=工作班净工作时间/机械工作班时间。
14. 已知某斗容量1m<sup>3</sup>正铲挖土机，机械台班产量为476m<sup>3</sup>，机械利用系数0.85，则它在正常工作下，1h纯工作时间内可以挖土约{{c1::（）}}m<sup>3</sup>。[2011年真题]	47<br>51<br>56<br>70	D	施工机械台班产量定额=机械净工作生产率（即机械纯工作1h的正常生产率）×工作班延续时间×机械利用系数，故机械净工作生产率（即机械纯工作1h的正常生产率）=476÷8÷0.85=70m<sup>3</sup>。
