1. 根据《建设工程工程量清单计价规范》（GB 50500—2013），关于工程项目合同类型选择的说法，正确的是{{c1::（）}}。[2015年真题]	施工成本预测<br>施工成本分析<br>施工成本考核<br>施工成本计划	D	施工成本计划是以货币形式编制施工项目在计划期内的生产费用、成本水平、成本降低率以及为降低成本所采取的主要措施和规划的书面方案，它是建立施工项目成本管理责任制、开展成本控制和核算的基础，它是该项目降低成本的指导文件，是设立目标成本的依据。
2. 根据《建设工程工程量清单计价规范》（GB 50500—2013），单价合同和总价合同两种合同形式均可采用工程量清单计价，其主要区别在于{{c1::（）}}。［2014年真题］	设计预算成本计划降低率<br>单位工程成本计划额<br>设计预算成本计划降低额<br>材料计划成本额	A	施工成本计划一般情况下有三类指标：①成本计划的数量指标。如按子项汇总的工程项目计划总成本指标；按分部汇总的各单位工程（或子项目）计划成本指标；按人工、材料、机械等各主要生产要素计划成本指标。②成本计划的质量指标。如施工项目总成本降低率，可采用设计预算成本计划降低率=设计预算总成本计划降低额/设计预算总成本；责任目标成本计划降低率=责任目标总成本计划降低额/责任目标总成本。③成本计划的效益指标。如工程项目成本降低额，可采用设计预算成本计划降低额=设计预算总成本-计划总成本；责任目标成本计划降低额=责任目标总成本-计划总成本。
3. 关于总价合同计量的说法，正确的是{{c1::（）}}。［2014年真题］	施工形象进度与产值统计所依据的工程量是相同的，但与实际成本计算依据的工程量不同<br>施工形象进度、产值统计、实际成本所依据的工程量应是相同的数值<br>施工形象进度、产值统计、实际成本所依据的工程量都是互不相同的<br>产值统计与实际成本所依据的工程量是相同的，但不同于形象进度计算所依据的工程量	B	定期的成本核算是竣工工程全面成本核算的基础。形象进度、产值统计、实际成本归集三同步，即三者的取值范围应是一致的。形象进度表达的工程量、统计施工产值的工程量和实际成本归集所依据的工程量均应是相同的数值。
4. 根据《建设工程施工合同（示范文本）》（GF—1999—0201），合同中有适用于变更工程的价格，则变更合同价款的确定方法是{{c1::（）}}。［2012年真题］	成本分析<br>纠正偏差<br>成本考核<br>调整成本计划	B	施工成本分析是在施工成本核算的基础上，对成本的形成过程和影响成本升降的因素进行分析，以寻求进一步降低成本的途径，包括有利偏差的挖掘和不利偏差的纠正。成本偏差的控制，分析是关键，纠偏是核心，要针对分析得出的偏差发生原因，采取切实措施，加以纠正。
5. 根据《建设工程工程量清单计价规范》（GB 50500—2013），某工程签订了单价合同，在执行过程中，某分项工程原清单工程量为1000m<sup>3</sup>，综合单价为25元/m<sup>3</sup>，后因业主方原因实际工程量变更为1500m<sup>3</sup>，合同中约定：若实际工程量超过计划工程量15%以上，超过部分综合单价调整为原来的0.9，不考虑其他因素，则该分项工程的结算款应为{{c1::（）}}元。[2015年真题]	指导性成本计划是项目施工准备阶段的施工预算成本计划，比较详细<br>实施性成本计划是选派项目经理阶段的预算成本计划<br>指导性成本计划是以项目实施方案为依据编制的<br>竞争性成本计划是项目投标和签订合同极端的估算成本计划，比较粗略	D	竞争性成本计划、指导性成本计划和实施性成本计划互相衔接和不断深化，构成了整个工程施工成本的计划过程。其中，竞争性计划成本带有成本战略的性质，是项目投标阶段商务标书的基础，而有竞争力的商务标书又是以其先进合理的技术标书为支撑的。因此，它奠定了施工成本的基本框架和水平。指导性计划成本和实施性计划成本，都是战略性成本计划的进一步展开和深化，是对战略性成本计划的战术安排。此外，根据项目管理的需要，实施性成本计划又可按施工成本组成、按子项目组成、按工程进度分别编制施工成本计划。
6. 根据《建设工程工程量清单计价规范》，对工程施工过程中因修改设计而新增的工程量清单项目，在合同中没有适用或类似的综合单价时，其综合单价应{{c1::（）}}。［2010年真题］	竞争性成本计划<br>指导性成本计划<br>实施性成本计划<br>战略性成本计划	B	指导性成本计划即选派项目经理阶段的预算成本计划，是项目经理的责任成本目标。它是以合同标书为依据，按照企业的预算定额标准制定的设计预算成本计划，且一般情况下只是确定责任总成本指标。
7. 根据《建设工程工程量清单计价规范》，因分部分项工程量清单漏项或非承包人原因的工程变更，需要增加新的分部分项工程量清单项目，引起措施项目发生变化，原措施费中没有的措施项目，其费用的确定方法是{{c1::（）}}。［2013年真题］	技术措施<br>组织措施<br>经济措施<br>合同措施	B	施工成本管理的措施包括组织措施、技术措施、经济措施、合同措施。其中，组织措施的一个方面是编制施工成本控制工作计划，确定合理详细的工作流程。即要做好施工采购规划，通过生产要素的优化配置、合理使用、动态管理，有效控制实际成本；加强施工定额管理和施工任务单管理，控制活劳动和物化劳动的消耗；加强施工调度，避免因施工计划不周和盲目调度造成窝工损失、机械利用率降低、物料积压等而使施工成本增加。
8. 根据《建设工程工程量清单计价规范》（GB 50500—2013），发包人支付安全文明施工费预付款的时间和金额分别为{{c1::（）}}。[2015年真题]	人工定额<br>概算定额<br>预算定额<br>施工定额	D	实施性计划成本即项目施工准备阶段的施工预算成本计划，它是以项目实施方案为依据，落实项目经理责任目标为出发点，采用企业的施工定额，通过施工预算的编制而形成的实施性施工成本计划。
9. 发包人对工程质量有异议，拒绝办理竣工结算，但该工程已实际投入使用，其质量争议的解决方法是{{c1::（）}}。[2015年真题]	预算定额<br>施工定额<br>概算定额<br>估算指标	B	实施性计划成本即项目施工准备阶段的施工预算成本计划，它是以项目实施方案为依据，落实项目经理责任目标为出发点，采用企业的施工定额，通过施工预算的编制而形成的实施性施工成本计划。
11. 根据国际惯例，承包商自有设备的窝工费一般按{{c1::（）}}计算。［2011年真题］	单项工程→单位工程→分部工程→分项工程<br>单项工程→分部工程→单位工程→分项工程<br>单位工程→单项工程→分部工程→分项工程<br>单位工程→单项工程→分项工程→分部工程	A	大中型工程项目通常是由若干单项工程构成的，而每个单项工程包括了多个单位工程，每个单位工程又是由若干个分部分项工程所构成。因此，首先要把项目总施工成本分解到单项工程和单位工程中，再进一步分解为分部工程和分项工程。
12. 施工现场主导机械一台，台班单价1000元/台班，折旧费500元/台班，人工日工资单价100元/工日，窝工补贴50元/工日，由于电网停电，导致停工2天，人工窝工10工日，则施工企业可索赔{{c1::（）}}元。［2012年真题］	施工成本分析报告<br>施工成本计划<br>施工成本核算资料<br>施工成本预测报告	B	施工成本计划是施工项目成本控制的一个重要环节，是实现降低施工成本任务的指导性文件。编制施工成本计划，需要广泛收集相关资料并进行整理，以作为施工成本计划编制的依据。
13. 某工程包含两个子项工程：甲子项工程估计工程量为5000m<sup>3</sup>，合同单价240元/m<sup>3</sup>；乙子项估计工程量2500m<sup>3</sup>，合同单价580元/m<sup>3</sup>。工程预付款为合同价的12%，主要材料和构配件所占比重为60%。则该工程预付款的起扣点为{{c1::（）}}万元。［2013年真题］	施工成本考核<br>施工成本预测<br>施工成本核算<br>目标成本确定	B	施工成本计划的编制以成本预测为基础，关键是确定目标成本。计划的制定，需结合施工组织设计的编制过程，通过不断地优化施工技术方案和合理配置生产要素，进行工料机消耗的分析，制定一系列节约成本和挖潜措施，确定施工成本计划。
14. 某建设工程施工合同约定：“工程预付款从未施工工程尚需的主要材料及构件的价值相当于工程预付款数额时扣起……”。已知合同总价200万元，工程预付款24万元，主材费的比重为60%，则该工程预付款起扣点为{{c1::（）}}万元。［2011年真题］	<br><br><br>	A	时间—成本累积曲线的绘制步骤如下：①确定工程项目进度计划，编制进度计划的横道图；②根据每单位时间内完成的实物工程量或投入的人力、物力和财力，计算单位时间（月或旬）的成本，在时标网络图上按时间编制成本支出计划；③计算规定时间t计划累计支出的成本额，其计算方法为：各单位时间计划完成的成本额累加求和；④按各规定时间的Qt值，绘制S形曲线。
15. 某建设工程施工合同约定：工程无预付款，进度款按月结算，保留金按进度款的3%逐月扣留，监理工程师每月签发付款凭证的最低限额为25万元。经计量确认，施工单位第一个月完成工程款25万元，第二个月完成工程款30万元，则第二个月监理工程师应签发的付款金额为{{c1::（）}}万元。［2011年真题］	所有工作都按最迟开始时间，对节约资金不利<br>所有工作都按最早开始时间，对节约资金有利<br>项目经理通过调整关键工作的最早开始时间，将成本控制在计划范围内<br>所有工作都按最迟开始时间，降低了项目按期竣工的保证率	D	ABD三项，一般而言，所有工作都按最迟开始时间开始，对节约资金贷款利息是有利的，但同时，也降低了项目按期竣工的保证率，因此项目经理必须合理地确定成本支出计划，达到既节约成本支出，又能控制项目工期的目的；C项，项目经理可根据编制的成本支出计划来合理安排资金，同时项目经理也可以根据筹措的资金来调整时间—成本累积曲线（S形曲线），即通过调整非关键路线上的工序项目的最早或最迟开工时间，力争将实际的成本支出控制在计划的范围内。
16. 对使用工程量清单计价的工程，宜采用{{c1::（）}}合同。	只针对整个项目考虑总的预备费，以便灵活调用<br>在分析各分项工程风险基础上，只针对部分分项工程考虑预备费<br>既要针对项目考虑总的预备费，也要在分项工程中安排适当的不可预见费<br>不考虑整个项目预备费，由施工企业统一考虑	C	在编制施工成本支出计划时，要在项目总的方面考虑总的预备费，也要在主要的分项工程中安排适当的不可预见费，避免在具体编制成本计划时，可能发现个别单位工程或工程量表中某项内容的工程量计算有较大出入，使原来的成本预算失实，并在项目实施过程中对其尽可能地采取一些措施。
17. 下列关于总价合同与单价合同的表述，错误的是{{c1::（）}}。	75<br>155<br>80<br>125	B	施工成本计划是以货币形式编制施工项目在计划期内的生产费用、成本水平、成本降低率以及为降低成本所采取的主要措施和规划的书面方案，它是建立施工项目成本管理责任制、开展成本控制和核算的基础，是该项目降低成本的指导文件，是设立目标成本的依据。第五周发生的费用包括土方开挖、基础垫层以及混凝土基础，因此第五周的成本计划值为：30+45+80=155（万元）。
18. 某工程项目采用单价合同，在施工过程中进行某分项工程计量时发现因工程变更，承包人实际完成的工程量超过了工程量清单中的工程量，则进行该分项工程计量时{{c1::（）}}。	施工措施费<br>办公费<br>材料费<br>施工机械使用费	B	施工项目直接成本是指施工过程中耗费的构成工程实体或有助于工程实体形成的各项费用支出，其是可以直接计入工程对象的费用，包括人工费、材料费、施工机具使用费和施工措施费等。B项属于间接成本中的企业管理费。
19. 在实践中，最常用的是{{c1::（）}}。	管理人员工资<br>差旅交通费<br>施工措施费<br>办公费	C	施工项目间接成本是指为施工准备、组织和管理施工生产的全部费用的支出，是非直接用于也无法直接计入工程对象，但为进行工程施工所必须发生的费用，包括管理人员工资、办公费、差旅交通费等。C项属于施工直接成本。
20. 实行招标的工程合同价款应在中标通知书发出之日起{{c1::（）}}天内，由承发包双方依据招标文件和中标人的投标文件在书面合同中约定。	成本预测<br>成本措施<br>成本分析<br>成本核算	B	施工成本管理的任务主要包括：①施工成本预测；②施工成本计划；③施工成本控制；④施工成本核算；⑤施工成本分析；⑥施工成本考核。
21. 某工程基础底板的设计厚度为1m，承包商根据以往的施工经验，认为设计有问题，未报工程师，即按1.1m施工。多完成的工程量在计量时，工程师{{c1::（）}}。	技术设计时<br>施工图设计时<br>施工以后<br>施工以前	D	施工成本预测是根据成本信息和施工项目的具体情况，运用一定的专门方法，对未来的成本水平及其可能发展趋势做出科学的估计，其是在工程施工以前对成本进行的估算。
22. 按照规定，发包人接到承包人已完工程量报告后7天内未进行计量核对的，{{c1::（）}}。	成本控制<br>成本核算<br>成本分析<br>成本考核	A	建设工程项目施工成本控制应贯穿于项目从投标阶段开始直至竣工验收的全过程，它是企业全面成本管理的重要环节。
23. 发包人认为需要进行现场计量核实时，应在计量前{{c1::（）}}通知承包人。	衡量成本降低的实际成果，对成本指标完成情况进行总结和评价<br>计算出施工费用的实际发生额<br>计算出该施工项目的总成本和单位成本<br>按照规定的成本开支范围对施工费用进行归集和分配	A	施工成本核算包括两个基本环节：①按照规定的成本开支范围对施工费用进行归集和分配，计算出施工费用的实际发生额；②根据成本核算对象，采用适当的方法，计算出该施工项目的总成本和单位成本。
24. 在单价合同计量中，对每个项目的历次计量报表进行汇总的是{{c1::（）}}。	施工项目成本预测<br>施工项目成本核算<br>施工项目成本计划<br>施工项目成本分析	B	施工项目成本核算所提供的各种成本信息，是成本预测、成本计划、成本控制、成本分析和成本考核等各个环节的依据。
25. 某工程项目采用工程量清单方式招标并签订总价合同，在施工过程中进行某分项工程计量时发现承包人实际完成的工程量超过了工程量清单中的工程量，则进行该分项工程计量时应{{c1::（）}}。	单项工程<br>单位工程<br>分部工程<br>分项工程	B	施工成本一般以单位工程为成本核算对象，但也可以按照承包工程项目的规模、工期、结构类型、施工组织和施工现场等情况，结合成本管理要求，灵活划分成本核算对象。
26. 下列关于总价合同计量的表述，错误的是{{c1::（）}}。	施工成本预测<br>施工成本计划<br>施工成本核算<br>施工成本分析	D	施工成本分析是在施工成本核算的基础上，对成本的形成过程和影响成本升降的因素进行分析，以寻求进一步降低成本的途径，包括有利偏差的挖掘和不利偏差的纠正。施工成本分析贯穿于施工成本管理的全过程，它是在成本的形成过程中，了解成本的变动情况，分析主要技术经济指标对成本的影响，系统地研究成本变动的因素，检查成本计划的合理性，并通过成本分析，深入揭示成本变动的规律，寻找降低施工项目成本的途径，以便有效地进行成本控制。
27. 下列关于工程价款主要结算方式的说法，正确的是{{c1::（）}}。	月度核算成本偏差<br>分部分项作业成本偏差<br>已完工程在某一时间点上实际总成本与相应的计划总成本的差异<br>专业核算成本偏差	C	累计成本偏差是指已完工程在某一时间点上实际总成本与相应的计划总成本的差异。ABD三项均属于局部成本偏差。
28. 在施工期间发生合同价款调增事项，承包人应在该事项发生后的{{c1::（）}}天内，向发包人提交合同价款调增报告及相关资料，否则视为承包人对该事项不存在调整价款要求。	成本预测<br>成本计划<br>成本核算<br>成本考核	A	施工成本管理的每一个环节都是相互联系和相互作用的。成本预测是成本决策的前提，成本计划是成本决策所确定目标的具体化。成本计划控制则是对成本计划的实施进行控制和监督，保证决策的成本目标的实现，而成本核算又是对成本计划是否实现的最后检验，其所提供的成本信息又对下一个施工项目成本预测和决策提供基础资料。
29. 某工程施工期间，因承包人原因导致工期延误，且在延误期内国家相关政策发生变化，由此引起的合同价款调整，应该{{c1::（）}}。	组织措施<br>技术措施<br>经济措施<br>合同措施	A	成本控制工作只有建立在科学管理的基础之上，具备合理的管理体制，完善的规章制度，稳定的作业秩序，完整准确的信息传递，才能取得成效。组织措施是其他各类措施的前提和保障，而且一般不需要增加什么费用，运用得当可以收到良好的效果。
30. 合同工程实施期间，如果出现设计图纸（含设计变更）与招标工程量清单任一项目的特征描述不符，且由此导致工程造价增减变化的，应按{{c1::（）}}的规定重新确定相应工程量清单项目的综合单价，调整合同价款。	组织措施<br>技术措施<br>经济措施<br>合同措施	C	经济措施是最易为人们所接受和采用的措施。管理人员应编制资金使用计划，确定、分解施工成本管理目标。对施工成本管理目标进行风险分析，并制定防范性对策。对各种支出，应认真做好资金的使用计划，并在施工中严格控制各项开支。
31. 合同工程实施期间，如果出现招标工程量清单中措施项目缺项，承包人应将新增措施项目实施方案提交发包人批准后，按照{{c1::（）}}的规定调整合同价款。	竞争性成本计划<br>指导性成本计划<br>施工总成本计划<br>实施性成本计划	C	对于一个施工项目而言，其成本计划的编制是一个不断深化的过程，成本计划按其作用可分为三类：①竞争性成本计划；②指导性成本计划；③实施性成本计划。
32. 下列关于工程量偏差导致合同价款调整的表述，错误的是{{c1::（）}}。	施工预算的编制以预算定额为主要依据<br>施工预算是投标报价的主要依据<br>施工图预算既适用于建设单位，也适用于施工单位<br>施工图预算是施工企业内部管理用的一种文件	C	A项，施工预算的编制以施工定额为主要依据，施工图预算的编制以预算定额为主要依据；B项，施工图预算是投标报价的主要依据；D项，施工预算是施工企业内部管理用的一种文件，与建设单位无直接关系。
33. 任一计日工项目持续进行时，承包人应在该项工作实施结束后的{{c1::（）}}内，向发包人提交有计日工记录汇总的现场签证报告一式三份。	按施工成本组成<br>按子项目组成<br>按工程进度<br>按合同结构	B	按项目组成编制施工成本计划的方法，首先要把项目总施工成本分解到单项工程和单位工程中，再进一步分解为分部工程和分项工程；其次在完成施工项目成本目标分解后，要具体地分配成本，编制分项工程的成本支出计划，从而得到详细的成本计划表。
34. 如果合同中没有约定主要材料、工程设备价格变化的范围或幅度，则材料、工程设备单价变化超过{{c1::（）}}应调价。	每个工程只有一条“时间—成本累积曲线”<br>每一条“时间—成本累积曲线”都对应某一特定的工程进度计划<br>“时间—成本累积曲线”是按最早开始时间编制所形成的曲线<br>“时间—成本累积曲线”必然包络在由关键工作都按最早开始时间开始和关键工作都按最迟必须开始时间开始的曲线所组成的“香蕉图”内	B	由于在进度计划的非关键路线中存在许多有时差的工序或工作，因而S形曲线（成本计划值曲线）必然包络在由全部工作（而不是“关键工作”）都按最早开始时间开始和全部工作（而不是“关键工作”）都按最迟必须开始时间开始的曲线所组成的“香蕉图”内，也因此得知每个工程都可以有若干条“时间—成本累积曲线”；每一条S形曲线都对应某一特定的工程进度计划。
