1. 建设工程项目总进度目标的控制是{{c1::（）}}项目管理的任务。[2013年真题]	业主方<br>设计方<br>施工方<br>供货方	A	建设工程项目的总进度目标是指整个项目的进度目标，它是在项目决策阶段项目定义时确定的，项目管理的主要任务是在项目的实施阶段对项目的目标进行控制。建设工程项目总进度目标的控制是业主方项目管理的任务(若采用建设项目总承包的模式，协助业主进行项目总进度目标的控制也是建设项目总承包方项目管理的任务)。
2. 在进行建设工程项目总进度目标控制前，首先应{{c1::（）}}。［2014年真题］	进行项目结构分析<br>确定项目的工作编码<br>编制各层进度计划<br>分析和论证目标实现的可能性	D	在进行建设工程项目总进度目标控制前，首先应分析和论证目标实现的可能性。若项目总进度目标不可能实现，则项目管理者应提出调整项目总进度目标的建议，提请项目决策者审议。
4. 某市拟新建一大型会展中心，项目建设单位组织有关专家对该项目的总进度目标进行论证，在调查研究和收集资料后，紧接着应进行的工作是{{c1::（）}}。[2011年真题]	进行进度计划系统的结构分析<br>进行项目结构分析<br>编制各级进度计划<br>确定工作编码	B	建设工程项目总进度目标论证的工作步骤包括：①调查研究和收集资料；②进行项目结构分析；③进行进度计划系统的结构分析；④确定项目的工作编码；⑤编制各层（各级）进度计划；⑥协调各层进度计划的关系和编制总进度计划；⑦若所编制的总进度计划不符合项目的进度目标，则设法调整；⑧若经过多次调整，进度目标无法实现，则报告项目决策者。
5. 建设工程项目总进度目标论证的工作包括：（1）项目结构分析；（2）编制各层进度计划；（3）进度计划系统的结构分析；（4）项目的工作编码。其正确的工作顺序是{{c1::（）}}。[2013年真题]	（1）—（3）—（2）—（4）<br>（1）—（3）—（4）—（2）<br>（3）—（2）—（1）—（4）<br>（4）—（1）—（3）—（2）	B	建设工程项目总进度目标论证的工作步骤包括：①调查研究和收集资料；②进行项目结构分析；③进行进度计划系统的结构分析；④确定项目的工作编码；⑤编制各层（各级）进度计划；⑥协调各层进度计划的关系和编制总进度计划；⑦若所编制的总进度计划不符合项目的进度目标，则设法调整；⑧若经过多次调整，进度目标无法实现，则报告项目决策者。
6. 施工企业进度控制的任务是依据{{c1::（）}}对施工进度的要求控制施工进度。[2011年真题]	建设项目总进度目标<br>施工总进度计划<br>建安工程工期定额<br>施工承包合同	D	施工方进度控制的任务是依据施工任务委托合同对施工进度的要求控制施工工作进度，这是施工方履行合同的义务。
7. 下列建设工程项目进度控制工作中，属于施工方进度控制任务的是{{c1::（）}}。[2012年真题]	部署项目动用准备工作进度<br>协调设计、招标的工作进度<br>编制项目施工的工作计划<br>编制供货进度计划	C	施工方进度控制的任务是依据施工任务委托合同对施工进度的要求控制施工工作进度，这是施工方履行合同的义务。在进度计划编制方面，施工方应视项目的特点和施工进度控制的需要，编制深度不同的控制性和直接指导项目施工的进度计划，以及按不同计划周期编制的计划，如年度、季度、月度和旬计划等。
8. 设计进度计划主要是确定各设计阶段的{{c1::（）}}。[2015年真题]	专业协调计划<br>设计工作量计划<br>设计人员配置计划<br>出图计划	D	设计方进度控制的任务是依据设计任务委托合同对设计工作进度的要求控制设计工作进度，这是设计方履行合同的义务。另外，设计方应尽可能使设计工作的进度与招标、施工和物资采购等工作进度相协调。在国际上，设计进度计划主要是确定各设计阶段的设计图纸（包括有关的说明）的出图计划，在出图计划中标明每张图纸的出图日期。
9. 施工方编制施工进度计划的依据之一是{{c1::（）}}。[2010年真题]	施工劳动力需求计划<br>施工物资需要计划<br>施工任务委托合同<br>项目监理规划	C	施工方进度控制的任务是依据施工任务委托合同对施工进度的要求控制施工工作进度，这是施工方履行合同的义务。
10. 对建设工程项目总进度目标论证时，应分析和论证各项工作的进度，以及各项工作{{c1::（）}}。	逐项工作的进度<br>分别进行的关系<br>交叉进行的关系<br>各自完成的情况	C	建设工程项目总进度目标论证时，应分析和论证施工进度、设计前准备阶段的工作进度、设计工作进度、招标工作进度、施工前准备工作进度、工程施工和设备安装工作进度、工程物资采购工作进度、项目动用前的准备工作进度等，以及各项工作交叉进行的关系。
11. 建设工程项目进度计划系统是由多个相互关联的进度计划组成的系统，它在{{c1::（）}}。	项目立项时建立<br>项目设计前准备阶段建立<br>项目施工前准备阶段建立<br>项目进展过程中逐步完善	D	建设工程项目进度计划系统是由多个相互关联的进度计划组成的系统，它是项目进度控制的依据。由于各种进度计划编制所需要的必要资料是在项目进展过程中逐步形成的，因此，项目进度计划系统的建立和完善也有一个过程，它也是逐步完善的。
12. 项目进度控制的程序是{{c1::（）}}。<br/>①编制进度计划；②进度目标的分析和论证；③检查进度计划的执行；④必要时调整进度计划；⑤有偏差采取纠偏措施。	②①③④⑤<br>①②③④⑤<br>②①③⑤④<br>①②③⑤④	C	项目进度控制是一个动态的管理过程，它由下列环节组成：①进度目标的分析和论证，以论证进度目标是否合理，目标有否可能实现。如果经过科学的论证，目标不可能实现，则必须调整目标。②在收集资料和调查研究的基础上编制进度计划。③定期跟踪检查所编制的进度计划执行情况，若其执行有偏差，则采取纠偏措施，并视必要调整进度计划。
13. 下列不属于业主方进度控制内容的是{{c1::（）}}。	设计工作进度<br>控制设计准备前的工作进度<br>项目动用前准备阶段的工作进度<br>物资采购工作进度	B	业主方进度控制的任务是控制整个项目实施阶段的进度，包括控制设计准备阶段的工作进度、设计工作进度、施工进度、物资采购工作进度以及项目动用前准备阶段的工作进度。
