1. 工程项目施工质量保证体系的质量目标要以{{c1::（）}}为基本依据。[2012年真题]	质量记录<br>质量计划<br>招投标文件<br>工程承包合同	D	项目施工质量保证体系须有明确的质量目标，并符合项目质量总目标的要求；要以工程承包合同为基本依据，逐级分解目标以形成在合同环境下的各级质量目标。
2. 关于项目施工质量目标的说法，正确的是{{c1::（）}}。[2015年真题]	项目施工质量总目标应符合行业质量最高目标要求<br>项目施工质量总目标应逐级分解以形成在合同环境下的各级质量目标<br>项目施工质量总目标要以相关标准规范为基本依据<br>项目施工质量总目标的分解仅需从空间角度立体展开	B	项目施工质量保证体系须有明确的质量目标，并符合项目质量总目标的要求。要以工程承包合同为基本依据，逐级分解目标以形成在合同环境下的各级质量目标。项目施工质量目标的分解主要从两个角度展开，即从时间角度展开，实施全过程的控制；从空间角度展开，实现全方位和全员的质量目标管理。
3. 项目施工方编制施工质量计划的依据是项目质量目标和{{c1::（）}}。[2010年真题]	施工企业的质量手册<br>施工质量成本计划<br>项目施工质量控制方法<br>项目施工质量记录	A	项目施工质量保证体系应有可行的质量计划。质量计划应根据企业的质量手册和项目质量目标来编制。工程项目施工质量计划可以按内容分为施工质量工作计划和施工质量成本计划。
4. 下列与项目质量管理有关的费用中，属于外部质量保证成本的是{{c1::（）}}。[2015年真题]	一般材料进场检验<br>拆模前对混凝土试块进行强度检测<br>聘请第三方检测机构对玻璃幕墙进行强度检测<br>拆除不合格砖墙重新砌筑	C	质量成本可分为运行质量成本和外部质量保证成本。运行质量成本是指为运行质量体系达到和保持规定的质量水平所支付的费用，包括预防成本、鉴定成本、内部损失成本和外部损失成本。外部质量保证成本，是指依据合同要求向顾客提供所需要的客观证据所支付的费用，包括特殊的和附加的质量保证措施、程序、数据、检测试验和评定的费用。ABD三项属于运行质量成本。
5. 下列施工质量保证体系的内容中，属于工作保证体系的是{{c1::（）}}。[2015年真题]	建立质量检査制度<br>明确施工质量目标<br>树立“质量第一”的观点<br>建立质量管理组织	A	工作保证体系主要是明确工作任务和建立工作制度，落实在以下三个阶段：①施工准备阶段；②施工阶段；③竣工验收阶段。其中，施工阶段，施工过程是建筑产品形成的过程，这个阶段的质量控制是确保施工质量的关键。必须加强工序管理，建立质量检查制度，严格实行自检、互检和专检，开展群众性的QC活动，强化过程控制，以确保施工阶段的工作质量。
6. 施工质量保证体系的运行，应以{{c1::（）}}为重心。[2013年真题]	过程管理<br>计划管理<br>结果管理<br>成品保护	A	施工质量保证体系的运行，应以质量计划为主线，以过程管理为重心，同时按照PDCA循环的原理，即计划、实施、检查和处理的步骤展开控制。质量保证体系运行状态和结果的信息应及时反馈，以便进行质量保证体系的能力评价。
7. 建设工程项目质量管理的PDCA循环工作原理中，“C”是指{{c1::（）}}。[2011年真题]	计划<br>实施<br>检查<br>处理	C	PDCA循环工作原理中，P是指计划，D是指实施，C是指检查，A是指处理。
8. 工程项目质量管理中，应当在数据和信息分析的基础上作出决策，这是质量管理原则中{{c1::（）}}的要求。[2012年真题]	持续改进<br>过程方法<br>基于事实的决策方法<br>管理的系统方法	C	我国GB/T 19001质量管理体系标准中，质量管理体系原则分为八个方面：①以顾客为关注焦点。组织（从事一定范围生产经营活动的企业）依存于顾客。②领导作用。领导者负责建立组织统一的宗旨及方向，并应当创造并保持使员工能充分参与实现组织目标的内部环境。③全员参与原则。各级人员是组织之本，只有全员的充分参与，才能使他们的才干为组织带来收益。④过程方法。将活动和相关资源作为过程进行管理，可以更高效地得到期望的结果。⑤管理的系统方法。将相互关联的过程作为系统加以识别、理解和管理，有助于组织提高实现目标的有效性和效率。⑥持续改进。持续改进整体业绩是组织的一个永恒的目标。⑦基于事实的决策方法。有效的决策应建立在数据和信息分析的基础上。⑧与供方互利的关系。组织与供方建立相互依存的、互利的关系可增强双方创造价值的能力。
9. 根据《质量管理体系》，施工企业开展质量管理和质量保证的基础是{{c1::（）}}。[2011年真题]	质量体系文件<br>质量手册<br>程序文件<br>质量计划	A	质量管理体系标准明确要求，企业应有完整的和科学的质量体系文件，这是企业开展质量管理基础，也是企业为达到所要求的产品质量，实施质量体系审核、认证,进行质量改进的重要依据。质量管理体系的文件主要由质量手册、程序文件、质量计划和质量记录等构成。
10. 施工企业质量管理体系文件由质量手册、程序文件、质量计划和{{c1::（）}}等构成。[2013年真题]	质量方针<br>质量目标<br>质量记录<br>质量评审	C	质量管理体系标准明确要求，企业应有完整的和科学的质量体系文件，这是企业开展质量管理基础，也是企业为达到所要求的产品质量，实施质量体系审核、认证,进行质量改进的重要依据。质量管理体系的文件主要由质量手册、程序文件、质量计划和质量记录等构成。
11. 根据施工企业质量管理体系文件的构成，“质量审查、修改和控制管理办法”属于{{c1::（）}}的内容。[2014年真题]	程序文件<br>质量计划<br>质量手册<br>质量记录	C	质量手册是阐明一个企业的质量政策、质量体系和质量实践的文件，是实施和保持质量体系过程中长期遵循的纲领性文件。其主要内容包括：①企业的质量方针、质量目标；②组织机构和质量职责；③各项质量活动的基本控制程序或体系要素；④质量评审、修改和控制管理办法。
12. 在质量管理体系的系列文件中，属于质量手册的支持性文件的是{{c1::（）}}。[2010年真题]	程序文件<br>质量计划<br>质量记录<br>质量方针	A	程序文件是质量手册的支持性文件，是企业落实质量管理工作而建立的各项管理标准、规章制度，是企业各职能部门为贯彻落实质量手册要求而规定的实施细则。程序文件一般至少应包括文件控制程序、质量记录管理程序、不合格品控制程序、内部审核程序、预防措施控制程序、纠正措施控制程序等。
13. 在施工质量计划中反映最佳质量成本水平的费用计划是{{c1::（）}}计划。	运行质量成本<br>外部质量保证成本<br>质量成本<br>质量工作	C	工程项目施工质量计划按内容分为施工质量工作计划和施工质量成本计划。施工质量成本计划是规定最佳质量成本水平的费用计划，是开展质量成本管理的基准。
14. 对施工阶段的质量控制进行的各种检查，指的是{{c1::（）}}。	仅是作业者自检<br>仅是作业者互检<br>仅是专职管理者专检<br>包括作业者自检、互检和专职管理者专检	D	施工过程是建筑产品形成的过程，这个阶段的质量控制是确保施工质量的关键。必须加强工序管理，建立质量检查制度，严格实行自检、互检和专检，开展群众性的QC活动，强化过程控制，以确保施工阶段的工作质量。
15. 下列关于质量保证体系的说法中，错误的是{{c1::（）}}。	工程质量保证体系就是以控制和保证施工产品质量为目标<br>工程质量保证体系的运行是以质量计划为主线<br>质量保证体系是企业内部的一种管理手段<br>质量保证体系的内容包括项目的质量目标和项目施工质量两部分	D	D项，质量保证体系的内容包括项目施工质量目标、项目施工质量计划、思想保证体系、组织保证体系和工作保证体系。
16. 下列关于质量保证体系运行的说法，不正确的是{{c1::（）}}。	施工质量保证体系运行的重心是过程管理<br>施工质量保证体系运行的龙头是项目管理规划<br>施工质量保证体系的运行，按照PDCA循环原理展开<br>施工质量保证体系的运行，应按照事前、事中和事后控制相结合的模式依次展开	B	B项，施工质量保证体系的运行，应以质量计划为主线，以过程管理为重心，按照PDCA循环的原理，通过计划、实施、检查和处理的步骤展开控制。
17. 在施工质量计划阶段，明确目标并制订实现目标行动方案的活动是{{c1::（）}}。	计划（Plan）<br>实施（Do）<br>检查（Check）<br>处理（Action）	A	计划（Plan）是质量管理的首要环节，通过计划，确定质量管理的方针、目标，以及实现方针、目标的措施和行动方案。计划包括质量管理目标和质量保证工作计划。其中质量管理目标的确定，就是根据项目自身特点，针对可能发生的质量问题、质量通病，以及与国家规范规定的质量标准的差距，或者用户提出的更新、更高的质量要求，确定项目施工应达到的质量标准。
18. 组织依存于其顾客，组织应理解顾客当前的和未来的需求，满足顾客要求并争取超越顾客的期望，这体现了{{c1::（）}}的原则。	以顾客为关注对象<br>以顾客为关注焦点<br>以组织为关注对象<br>以组织为关注焦点	B	以顾客为关注焦点的原则要求：组织（从事一定范围生产经营活动的企业）依存于顾客。因此，组织应当理解顾客当前和未来的需求，满足顾客要求并争取超越顾客期望。
