1. 下列施工质量控制措施中，属于事前控制的是{{c1::（）}}。[2012年真题]	设计交底<br>重要结构实体检测<br>隐蔽工程验收<br>施工质量检查验收	A	施工质量控制应贯彻全面、全过程质量管理的思想，运用动态控制原理，进行质量的控制，主要有：①事前质量控制，即在正式施工前进行的事前主动质量控制；②事中质量控制，指在施工质量形成过程中，对影响施工质量的各种因素进行全面的动态控制；③事后质量控制，又称事后质量把关,以使不合格的工序或最终产品（包括单位工程或整个工程项目）不流入下道工序、不进入市场。
2. 下列施工质量控制的工作中，属于事前质量控制的是{{c1::（）}}。[2015年真题]	分析可能导致质量问题的因素并制定预防措施<br>隐蔽工程的检查<br>工程质量事故的处理<br>进场材料抽样检验或试验	A	事前质量控制即在正式施工前进行的主动质量控制，通过编制施工质量计划，明确质量目标，制定施工方案，设置质量管理点，落实质量责任，分析可能导致质量目标偏离的各种影响因素，针对这些影响因素制定有效的预防措施，防患于未然。
3. 下列现场质量检査的方法中，属于目测法的是{{c1::（）}}。[2015年真题]	利用全站仪复査轴线偏差<br>利用酚酞液观察混凝土表面碳化<br>利用磁场磁粉探査焊缝缺陷<br>利用小锤检査面砖铺贴质量	D	现场质量检查的方法主要包括：①目测法，即凭借感官进行检查，又称观感质量检验。其手段可概括为“看、摸、敲、照”四个字。其中，敲是指运用敲击工具进行音感检查。如对地面工程、装饰工程中的水磨石、面砖、石材饰面等，均应进行敲击检查。②实测法，指通过实测，将实测数据与施工规范、质量标准的要求及允许偏差值进行对照，以此判断质量是否符合要求。③试验法，指通过必要的试验手段对质量进行判断的检查方法。A项属于实测法；BC两项属于试验法。
4. 施工现场对墙面平整度进行检查时，适合采用的检查手段是{{c1::（）}}。[2014年真题]	量<br>靠<br>吊<br>套	B	实测法是通过实测，将实测数据与施工规范、质量标准的要求及允许偏差值进行对照，以此判断质量是否符合要求。其手段可概括为“靠、量、吊、套”四个字。其中，“靠”是用直尺、塞尺检查诸如墙面、地面、路面等的平整度。
5. 施工现场混凝土坍落度试验属于现场质量检查方法中的{{c1::（）}}。[2010年真题]	目测法<br>实测法<br>理化试验法<br>无损检测法	B	实测法的手段可概括为“靠、量、吊、套”四个字。其中，“量”是指用测量工具和计量仪表等检查断面尺寸、轴线、标高、湿度、温度等的偏差。例如，大理石板拼缝尺寸与超差数量、摊铺沥青拌合料的温度、混凝土坍落度的检测等。
6. 对进入施工现场的钢筋取样后进行力学性能检测，属于施工质量控制方法中的{{c1::（）}}。[2009年真题]	目测法<br>实测法<br>试验法<br>无损检验法	C	抗拉强度、抗压强度、抗弯强度、抗折强度、冲击韧性、硬度、承载力等各种力学指标的测定都属于试验法中的力学性能的检验。
7. 下列施工质量控制工作中，属于技术准备工作质量控制的是{{c1::（）}}。[2014年真题]	建立施工测量控制网<br>设置质量控制点<br>制定施工场地质量管理制度<br>实行工序交接检查制度	B	技术准备是指在正式开展施工作业活动前进行的技术准备工作。这类工作内容繁多，主要在室内进行，技术准备的质量控制包括：对技术准备工作成果的复核审查，检查这些成果有无错漏，是否符合相关技术规范、规程的要求和对施工质量的保证程度；制订施工质量控制计划，设置质量控制点，明确关键部位的质量管理点等。
8. 从建设工程施工质量验收的角度来说，最小的工程施工质量验收单位是{{c1::（）}}。[2010年真题]	检验批<br>工序<br>分部工程<br>分项工程	A	为了便于控制、检查、评定和监督每个工序和工种的工作质量，就要把整个工程逐级划分为单位工程、分部工程、分项工程和检验批，并分级进行编号，据此来进行质量控制和检查验收。最小的工程施工质量验收单位是检验批。
9. 施工单位对同一批水泥进行物理力学性质的抽样检验，取样的最少总重量应为{{c1::（）}}kg。[2014年真题]	9<br>12<br>15<br>25	B	施工单位必须对水泥进行进场抽样检验或试验，合格后才能使用。水泥物理力学性能检验的要求为：同一生产厂、同一等级、同一品种、同一批号且连续进场的水泥，袋装不超过200t为一检验批，散装不超过500t为一检验批，每批抽样不少于一次。取样应在同一批水泥的不同部位等量采集，取样点不少于20个点，并应具有代表性，且总重量不少于12kg。
10. 某基础工程一次连续浇筑同配合比的混凝土1100 m<sup>3</sup>，按规定该基础工程的混凝土每{{c1::（）}}取样不得少于一次。[2009年真题]	100m3<br>200m3<br>300m3<br>400m3	B	每拌制100盘且不超过100 m<sup>3</sup>的同配合比的混凝土取样不得少于一次。当一次连续浇筑超过1000 m<sup>3</sup>时，同配合比的混凝土每200 m<sup>3</sup>取样不得少于一次。同条件养护试件的留置组数，应根据实际需要确定。同一强度等级的同条件养护试件，其留置数量应根据混凝土工程量和重要性确定，为3～10组。
11. 凡涉及工程安全及使用功能的有关材料，应按各专业工程质量验收规范规定进行复验，并应经{{c1::（）}}检查认可。[2013年真题]	施工项目经理<br>监理工程师<br>项目设计负责人<br>施工项目技术负责人	B	建筑工程采用的主要材料、半成品、成品、建筑构配件等(统称“材料”)均应进行现场验收。凡涉及工程安全及使用功能的有关材料，应按各专业工程质量验收规范规定进行复验，并应经监理工程师(建设单位技术负责人)检查认可。
