1. 《职业健康安全管理体系》的构成要素有{{c1::（）}}。［2011年真题］	策划<br>持续改进<br>实施与运行<br>检查和纠正措施<br>管理评审	A|C|D|E	职业健康安全管理体系是各类组织总体管理体系的一部分。目前，《职业健康安全管理体系》GB／T 28000系列标准作为推荐性标准被各类组织普遍采用。标准的结构系统采用PDCA循环管理模式，即标准由“职业健康安全方针—策划—实施与运行—检查和纠正措施—管理评审”五大要素构成，采用了PDCA动态循环、不断上升的螺旋式运行模式，体现了持续改进的动态管理思想。
2. 根据现行法律法规，建设工程对施工环境管理的基本要求有{{c1::（）}}。[2014年真题]	应采取生态保护措施<br>建筑材料和装修材料必须符合国家标准<br>经行政部门批准后可以引进低于我国环保规定的特定技术<br>建设工程项目中的防治污染设施必须与主体工程同时设计、同时施工、同时投产使用<br>尽量减少建设工程施工所产生的噪声对周围生活环境的影响	A|B|D|E	建设工程对施工环境管理的基本要求如下：①涉及依法划定的自然保护区、风景名胜区、生活饮用水水源保护区及其他需要特别保护的区域时，工程施工应符合国家有关法律法规及该区域内建设工程项目环境管理的规定。②建设工程应当采用节能、节水等有利于环境与资源保护的建筑设计方案、建筑材料、建筑构配件及设备。建筑材料和装修材料必须符合国家标准。禁止生产、销售和使用有毒、有害物质超过国家标准的建筑材料和装修材料。③建设工程项目中防治污染的设施，必须与主体工程同时设计、同时施工、同时投产使用。④尽量减少建设工程施工所产生的噪声对周围生活环境的影响。⑤拟采取的污染防治措施应确保污染物排放达到国家和地方规定的排放标准，满足污染物总量控制要求。⑥应采取生态保护措施，有效预防和控制生态破坏。⑦禁止引进不符合我国环境保护规定要求的技术和设备。⑧任何单位不得将产生严重污染的生产设备转移给没有污染防治能力的单位使用。
3. 施工企业环境管理体系文件中，属于作业文件的有{{c1::（）}}。[2015年真题]	监测活动准则<br>管理手册<br>程序文件<br>操作规程<br>管理规定	A|D|E	作业文件是指管理手册、程序文件之外的文件，一般包括作业指导书（操作规程）、管理规定、监测活动准则及程序文件引用的表格。其编写的内容和格式与程序文件的要求基本相同。在编写之前应对原有的作业文件进行清理，摘其有用，删除无关。
4. 《职业健康安全管理体系要求》GB/T 28001—2011的总体结构组成部分包括{{c1::（）}}。	总说明<br>范围<br>规范性引用条件<br>术语和定义<br>职业健康安全管理体系要求	B|C|D|E	《职业健康安全管理体系要求》的总体结构包括：①范围；②规范性引用文件；③术语和定义；④职业健康安全管理体系要求，包括总要求、职业健康安全方针、策划、实施和运行、检查、管理评审。
5. 《职业健康安全管理体系要求》中，检查的内容有{{c1::（）}}。	文件控制<br>绩效测量和监视<br>合规性评价<br>内部审核<br>应急准备和响应	B|C|D	《职业健康安全管理体系要求》中，检查的内容包括：①绩效测量和监视；②合规性评价；③事件调查、不符合、纠正措施和预防措施；④记录控制；⑤内部审核。
6. 企业通过职业健康安全管理体系的运行，实行事故控制开端的有{{c1::（）}}。	目标<br>法规和其他要求<br>危险源识别<br>风险评价<br>风险控制策划	C|D|E	管理体系中的职业健康安全方针体现了企业实现风险控制的总体职业健康安全目标。危险源识别、风险评价和风险控制策划，是企业通过职业健康安全管理体系的运行，实行事故控制的开端。
7. 关于《环境管理体系要求及使用指南》的总体结构及内容，下列说法正确的有{{c1::（）}}。	标准适用于任何有愿望建立环境管理体系的组织<br>有规范性引用文件<br>组织应根据本标准的要求建立、实施、保持和持续改进环境管理体系<br>最高管理者应确定本组织的环境方针<br>最高管理者应按计划的时间间隔，对组织的环境管理体系进行评审	A|C|D|E	B项，《环境管理体系要求及使用指南》的内容无规范性引用文件。
8. 下列属于环境管理体系GB/T 24000标准特点的有{{c1::（）}}。	具有与其他管理体系的兼容性<br>注重体系的科学性、完整性和灵活性<br>是实现环境管理现代化的途径<br>是实现经济可持续发展的需要<br>着重强调与环境污染预防、环境保护等法律法规的符合性	A|B|E	环境管理体系GB/T 24000标准的特点包括：①标准作为推荐性标准被各类组织普遍采用，适用于各行各业、任何类型和规模的组织，用于建立组织的环境管理体系，并作为其认证的依据；②标准在市场经济驱动的前提下，促进各类组织提高环境管理水平、达到实现环境目标的目的；③环境管理体系的结构系统，采用的是PDCA动态循环、不断上升的螺旋式管理运行模式，其形式与职业健康安全管理体系的运行模式相同，即由“环境方针—策划—实施与运行—检查与纠正措施—管理评审”五大要素构成的动态循环过程组成，体现了持续改进的动态管理思想；④标准着重强调与环境污染预防、环境保护等法律法规的符合性；⑤标准注重体系的科学性、完整性和灵活性；⑥标准具有与其他管理体系的兼容性。
9. 环境管理体系标准的应用原则有{{c1::（）}}。	强调自愿性原则，并不改变组织的法律责任<br>需建立并实施结构化的管理体系<br>标准着眼于采用分散的管理措施<br>必须有组织全员的承诺、责任和参与<br>管理体系不必成为独立的管理系统	A|B|E	环境管理体系标准的应用原则包括：①标准的实施强调自愿性原则，并不改变组织的法律责任；②有效的环境管理需建立并实施结构化的管理体系；③标准着眼于采用系统的管理措施；④环境管理体系不必成为独立的管理系统，而应纳入组织整个管理体系中；⑤实施环境管理体系标准的关键是坚持持续改进和环境污染预防；⑥有效地实施环境管理体系标准，必须有组织最高管理者的承诺和责任以及全员的参与。
10. 施工职业健康安全与环境管理的特点包括{{c1::（）}}。	复杂性<br>综合性<br>多变性<br>协调性<br>持续性	A|C|D|E	建设工程产品及其生产与工业产品不同，有其自身的特殊性。而正是由于其特殊性，对建设工程职业健康安全和环境管理显得尤为重要。建设工程职业健康安全与环境管理应考虑以下特点：复杂性、多变性、协调性、持续性、经济性、环境性。
11. 按照对施工环境管理的基本要求，工程施工中的污染防治，要求做到“三同时”，即防治污染的设施必须与主体工程{{c1::（）}}。	同时报批<br>同时设计<br>同时施工<br>同时验收<br>同时投产使用	B|C|E	根据《环境保护法》和《环境影响评价法》的相关规定，建设工程项目中防治污染的设施，必须与主体工程同时设计、同时施工、同时投产使用。
12. 施工职业健康安全管理体系中，一般从{{c1::（）}}层次进行合规性评价。	施工人员级<br>作业班组级<br>项目组级<br>部门级<br>公司级	C|E	施工职业健康安全管理体系中，为了履行对合规性承诺，合规性评价分公司级和项目组级评价两个层次进行。
