1. 生产规模小、危险因素少的施工单位，其生产安全事故应急预案体系可以（　　）。[2014年真题]
2. 某工人在施工作业过程中脚部被落物砸伤，休养了21周。根据《企业职工伤亡事故分类标准》（GB 6441—86），该工人的伤害程度为（　　）。［2009年真题］
3. 根据国务院《生产安全事故报告和调查处理条例》，致使120名操作工人急性工业中毒的生产安全事故属于（　　）。［2012年真题］
4. 根据《生产安全事故报告和调查处理条例》（国务院令第493号），生产安全事故发生后，受伤者或最先发现事故的人员应立即用最快的传递手段，向（　　）报告。［2013年真题］
5. 施工单位负责人接到施工现场发生安全事故的报告后，应当在（　　）小时内向事故发生地有关部门报告。［2010年真题］
6. 某分包工程发生安全事故，应由（　　）负责上报事故。［2012年真题］
7. 根据《生产安全事故报告和调査处理条例》，符合施工生产安全事故报告要求的做法是（　　）。[2015年真题]
8. 施工现场发生安全事故后，首先应该做的工作是（　　）。［2009年真题］
9. 根据《生产安全事故报告和调査处理条例》，生产安全事故报告和调査处理过程中，由监察机关对有关责任人员依法给予处分的违法行为是（　　）。[2015年真题]
10. 某施工企业瞒报生产安全事故，建设行政主管部门应依法对其处以（　　）万元的罚款。［2011年真题］
11. 针对基坑开挖而制定的安全事故应急计划属于（　　）。
12. 生产安全事故应急预案体系的构成不包括（　　）。
13. 关于生产安全事故应急预案的评审，下列说法错误的是（　　）。
14. 施工单位应当制定本单位的应急预案演练计划，根据本单位的事故预防重点，每年至少组织次综合应急预案演练或者专项应急预案演练，每至少组织一次现场处置方案演练。（　　）
15. 按照施工生产安全事故应急预案的管理规定，下列各项中,除（　　）以外都将受到一定的行政处罚。
16. 损失工作日超过6000工日，这个伤害程度属于（　　）。
17. 建设主管部门应按规定逐级上报事故情况，每级上报的时间不得超过（　　）小时。
18. 关于事故调查，下列说法错误的是（　　）。
19. （　　）是处理现场事故的核心环节。
20. 处罚权限不属本级建设主管部门的，应当在收到事故调查报告批复后（　　）个工作日内，将事故调查报告等转送有权限的建设主管部门。
21. 对因降低安全生产条件导致事故发生的施工单位，建设主管部门应当依照有关法律法规的规定，给予其（　　）的处罚。
