1. 施工项目信息管理工作中，在项目施工过程中形成的安全检查记录属于（　　）信息。[2012年真题]
2. 能够全面反映建设工程施工全过程质量控制和保证的依据性证明资料是（　　）。[2012年真题]
3. 项目专业技术负责人组织相关人员对桩基础工程进行验收后，应由（　　）签署验收意见和验收结论，并签字盖章。[2011年真题]
5. 下列关于施工文件立卷的说法，正确的是（　　）。[2010年真题]
6. 下列关于归档施工文件的说法，不符合归档文件质量要求的是（　　）。[2010年真题]
7. 关于施工文件档案管理的说法，正确的是（　　）。[2011年真题]
8. （　　）是反映工程质量和工作质量状况的重要依据，是评定工程质量等级的重要依据。
9. 在工程建设活动中直接形成的具有归档保存价值的文字、图表、声像等各种形式的历史记录，也可简称为（　　）。
10. 施工文档资料是城建档案的重要组成部分，是全面反映建设工程（　　）的重要文档资料。
11. 下列各项不属于建设单位对于建设工程档案管理的职责是（　　）。
12. 建设工程的施工文件档案管理的内容，不包括工程（　　）。
13. （　　）是建设工程施工全过程中的真实记录，是施工各阶段客观产生的施工技术文件。
14. 图纸会审记录是对已正式签署的（　　）进行交底、审查和会审，并对提出的问题予以记录的文件。
15. 某建设工程施工单位负责人把设计要求的施工措施、安全生产贯彻到基层乃至每个工人的一项技术管理方法，称为（　　）。
16. 某建筑公司在开工前为工程所做的施工组织、施工工艺、施工计划等方面的设计，用来指导拟建工程全过程中各项活动的技术、经济和组织的综合性文件称为（　　）。
17. 施工过程中，施工公司与业主洽商行为的记录称为（　　），通常情况下由施工单位提出。
18. 某建筑工程定位测量完成后，应由（　　）报请规划管理部门下属具有相应资质的测绘部门进行验线。
19. 工程项目具备竣工条件后，施工单位向建设单位报告，提请建设单位组织竣工验收，此时提交的文件称为（　　）。
20. 工程项目按设计和施工合同规定的内容全部完工，达到验收规范及合同要求，满足生产、使用并通过竣工验收的证明文件统称为（　　）。
21. 在项目开工前应由施工单位现场负责人填写“施工现场质量管理检查记录”，报（　　）检查，并做出检查结论。
22. 竣工图一般应由（　　）编制。
23. 利用施工图改绘竣工图涉及结构形式、工艺、平面布置、项目等重大改变及图面变更面积超过了（　　），应重新绘制竣工图。
24. 工程项目施工文件立卷时，应遵循依据卷内的资料构成而定卷内资料排列顺序的原则，因此立卷顺序应为（　　）。
25. 工程项目施工文件的案卷中既有文字材料又有图纸，则其组卷顺序是（　　）。
26. 对某扩建施工工程的施工文件进行立卷时，卷内目录式样宜符合《建设工程文件归档规范》附录B的要求。责任者应填写文件的（　　）单位和个人。
27. 某工程项目的案卷封面标注的保管期限是长期。长期是指工程档案需保存（　　）。
28. 工程项目竣工图章的基本内容不应包括（　　）。
