1. 施工单位在建设工程档案管理中的职责包括（　　）。[2013年真题]
2. 下列施工文档资料中，应归档为工程施工技术管理资料的有（　　）。[2010年真题]
3. 下列施工文件档案资料中，属于工程质量控制资料的有（　　）。[2014年真题]
4. 下列建设工程施工资料中，属于工程质量控制资料的有（　　）。[2015年真题]
5. 下列关于施工文件立卷的表述，正确的有（　　）。[2009年真题]
6. 建设工程文件指的是在工程建设过程中形成的各种形式的信息记录，下列属于工程文件的有（　　）。
7. 建设单位在与勘察、设计单位、监理单位、施工单位签订勘察、设计、监理、施工合同时，应对监理文件、施工文件和工程档案的（　　）做出明确规定。
8. 下列各项属于工程测量记录文件的有（　　）。
9. 工程质量事故处理记录的主要内容有（　　）。
10. 某建设项目施工前，建筑公司的项目经理部应建立质量责任制度、现场管理制度及检验制度，健全质量管理体系，配备施工技术标准，审查（　　）等资料，填写“施工现场质量管理检查记录”。
11. 施工文件可按（　　）等组卷，竣工验收文件按单位工程、专业组卷。
12. 同一事项的请示与批复、同一文件的印本与定稿、主件与附件不能分开，排列顺序有（　　）。
13. 施工文件档案的档号由（　　）组成。
14. 工程档案一般不少于两套，分别由（　　）保管。
