1. 已知向量α=（-3，-2，1），β=（1，-4，-5），则|α×β|等于{{c1::（）}}。[2013年真题]	"0<br>6<br><img height=""19"" id=""图片 1"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f409f0f6-3545-4175-889a-170ead006ae7.jpg"" width=""42""/><br>14i+16j-10k"	C	"<img height=""75"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d1a6516b-7516-4e76-a50d-b2ba39658bf7.jpg"" width=""309""/>，所以<img height=""28"" id=""图片 2"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/341ca007-94e8-4b7f-a06d-1daf7d946740.jpg"" width=""336""/>"	
"2. 设直线方程为<img height=""78"" id=""图片 3"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fb4f43e5-1a1c-4d40-9b88-bf27c9ad9650.jpg"" width=""104""/>，则该直线{{c1::（）}}。[2010年真题]"	过点（-1，2，-3），方向向量为i+2j-3k<br>过点（-1，2，-3），方向向量为-i-2j+3k<br>过点（1，2，-3），方向向量为i-2j+3k<br>过点（1，-2，3），方向向量为-i-2j+3k	D	"把直线方程的参数形式改写成标准形式<img height=""45"" id=""图片 4"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/620b98fb-7f7a-48e7-9a8c-65549582e1fa.jpg"" width=""148""/>则直线的方向向量为±（1，2，-3），过点（1，-2，3）。"	
"3. 已知直线L：<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/174f0fae-acec-4452-a295-fe83f2632bbc.jpg"" title=""1.jpg""/>，平面<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>：<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/42040345-553f-419c-b7b9-51ae400305a3.jpg"" title=""3.jpg""/>，则{{c1::（）}}。"	"L与<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>垂直相交<br>L平行于<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>但L不在<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>上<br>L与<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>非垂直相交<br>L在<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>上"	C	"直线L的方向向量为<img src=""http://admintk.100xuexi.com/UpLoadImage/2016-08-23/2a9f9221-0be7-419a-90ab-92f96140567e.png"" title=""1.png""/>（3，-1，2），平面<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>的法向量为（－2，2，1），<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/d6069a17-5260-41a8-8122-814804e4f8ba.jpg"" title=""1.jpg""/>，故直线与平面不垂直；又<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/4bdfb914-e2f0-4b24-89b4-9942f820b5be.jpg"" title=""2.jpg""/>，所以直线与平面不平行。所以直线与平面非垂直相交。直线L与<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/8b9ccf49-745b-416a-8159-dfbeca8e41c9.jpg"" title=""2.jpg""/>平面的交点为（0，-1，3）"	
"4. 设直线L为<img height=""46"" id=""图片 6"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6362bd82-550e-4a1e-931c-6f29cead1104.jpg"" width=""162""/>平面π为4x-2y+z-2=0，则直线和平面的关系是{{c1::（）}}。[2012年真题]"	L平行于π<br>L在π上<br>L垂直于π<br>L与π斜交	C	"直线L的方向向量为：<img height=""83"" id=""图片 9"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/076751b7-0448-48c0-8b66-252769ee7092.jpg"" width=""299""/>即<img height=""22"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b8664dae-69dd-4e3a-a366-431f06a95612.png"" width=""104""/>。平面π的法线向量为：<img height=""18"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/52acf946-a004-4435-8ada-2deb6bf1c348.png"" width=""83""/>。由上可得，s、n坐标成比例，即<img height=""35"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/06d7b663-c155-4c82-9a59-77442bc8e722.jpg"" width=""120""/>故s//n，直线L垂直于平面π。"	
5. 设直线方程为x=y-1=z，平面方程为x-2y+z=0，则直线与平面{{c1::（）}}。[2011年真题]	重合<br>平行不重合<br>垂直相交<br>相交不垂直	B	直线的方向向量s=（1，1，1），平面的法向向量n=（1，-2，1），s·n=1-2+1＝0，则这两个向量垂直，即直线与平面平行。又该直线上的点（0，1，0）不在平面上，故直线与平面不重合。	
6. 在空间直角坐标系中，方程x<sup>2</sup>+y<sup>2</sup>－z=0表示的图形是{{c1::（）}}。[2014年真题]	圆锥面<br>圆柱面<br>球面<br>旋转抛物面	D	在平面直角坐标系中，z=x<sup>2</sup>为关于z轴对称的抛物线。方程x<sup>2</sup>+y<sup>2</sup>－z=0表示的图形为在面xOz内的抛物线z=x<sup>2</sup>绕z轴旋转得到的图形，即旋转抛物面。	
"7. 方程<img height=""53"" id=""图片 11"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6147e20c-1198-46e9-bd9c-aeaeccb750ee.jpg"" width=""127""/>表示{{c1::（）}}。[2012年真题]"	旋转双曲面<br>双叶双曲面<br>双曲柱面<br>锥面	A	"方程<img height=""54"" id=""图片 12"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/91ae26ee-e8c1-4b1a-9973-20b714e7530f.jpg"" width=""129""/>，即<img height=""44"" id=""图片 13"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6835cca3-ecde-4266-8374-ee5a52a0bf2b.jpg"" width=""124""/>，可由xOy平面上双曲线<img height=""63"" id=""图片 14"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/979fa1ec-c875-4fee-8c2e-f7a09af4cc94.jpg"" width=""88""/>绕y轴旋转得到，或可由yOz平面上双曲线<img height=""70"" id=""图片 15"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d5329ceb-08f5-4a32-b5fb-517ab90dea72.jpg"" width=""81""/>绕y轴旋转得到。即该方程表示旋转双曲面。"	
8. 在三维空间中方程y<sup>2</sup>-z<sup>2</sup>=1所代表的图形是{{c1::（）}}。[2011年真题]	母线平行x轴的双曲柱面<br>母线平行y轴的双曲柱面<br>母线平行z轴的双曲柱面<br>双曲线	A	"由于<img height=""56"" id=""图片 16"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/105efcac-f48d-4754-8b5c-209ab4703cf4.jpg"" width=""89""/>表示在x＝0的平面上的双曲线，故三维空间中方程y<sup>2</sup>-z<sup>2</sup>=1表示双曲柱面，x取值为﹙-∞，﹢∞﹚，即为母线平行x轴的双曲柱面。"	
"9. 设有直线<img height=""41"" id=""图片 17"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8c5f42cb-d328-46ff-8690-df9042fd7df3.jpg"" width=""192""/>与<img height=""62"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/92e37909-c1ac-4803-a626-b6a73081313d.jpg"" width=""94""/>，则L<sub>1</sub>与L<sub>2</sub>的夹角θ等于{{c1::（）}}。[2014年真题]"	"<img height=""33"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/88512ec9-50ae-4f1f-a9d3-f0205fe57a32.png"" width=""24""/><br><img height=""33"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/befc393a-0fcf-42c0-acba-78b049630312.png"" width=""24""/><br><img height=""35"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/49add332-e3d9-417b-9405-3625aef2a390.png"" width=""21""/><br><img height=""36"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e4aa37c4-5a99-4215-b8e2-ace2957402ff.png"" width=""23""/>"	B	"由题意可知，两直线的方向向量分别为：<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-03-12/dce7ed33-60bc-4aa5-bc89-01bd3850326a.jpg"" title=""1.jpg""/>，故<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-03-12/e2ce912d-32a4-4eda-ba44-f2019e7ebd98.jpg"" title=""2.jpg""/>，所以L1与L2的夹角<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-03-12/d74d6db3-4589-485e-99c8-560cfc5392f7.jpg"" title=""3.jpg""/>。"	
10. 曲线x<sup>2</sup>+4y<sup>2</sup>+z<sup>2</sup>=4与平面x+z=a的交线在yOz平面上的投影方程是{{c1::（）}}。[2012年真题]	"<img height=""51"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fef9b7a3-71fa-4f66-86b5-8dcfd510fc66.png"" width=""186""/><br><img height=""53"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a813eb2f-7830-44c9-9cee-de3787cd9d35.png"" width=""193""/><br><img height=""51"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c15a4a30-729a-4005-bf52-ac7adaacb83c.png"" width=""192""/><br><img height=""31"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4c1a5597-b081-4a0f-921b-dc4ea4144008.png"" width=""175""/>"	A	"在yOz平面上投影方程必有x=0，排除B项。令方程组为：<img height=""54"" id=""图片 22"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/21f118ae-8990-4461-b7b6-6af59f60bde2.jpg"" width=""173""/>由式②得：x=a-z。将上式代入式①得：（a-z）2+4y<sup>2</sup>+z<sup>2</sup>=4。则曲线在yOz平面上投影方程为:<img height=""56"" id=""图片 23"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e11a648a-7534-4c20-9c32-bb7a16863556.jpg"" width=""192""/>"	
11. 设α、β、γ都是非零向量，若α×β=α×γ，则{{c1::（）}}。	β=γ<br>α∥β且α∥γ<br>α∥（β-γ）<br>α⊥（β-γ）	C	方法一：根据题意可得，α×β-α×γ=α×（β-γ）=0，故α∥（β-γ）。	
