1. 运动粘度<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4015e2d-6c34-45d8-a130-ef0e549b8fe4.png" width="92"/>的油在圆管中流动的平均速度为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4eccb32a-7d86-45fd-8fa7-f90ed0634963.png" width="76"/>，每100m长度上的沿程损失为40cm油柱，则<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/59e66619-ea4d-46ee-b8f2-b5cb7d6208f2.png" width="25"/>为{{c1::（）}}。[2010年真题]	<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4d72f688-76fa-4b08-8247-084c594481a9.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/96820c18-f06d-459b-b088-3f91255e3561.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f3436a6a-1665-4ae9-b5ef-c37a263b4a2d.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/96820c18-f06d-459b-b088-3f91255e3561.png" width="69"/>	A	圆管中液流的雷诺数Re计算公式：<img height="41" id="图片 23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/67290f61-72d3-4183-a2ae-be5ca29a241a.png" width="57"/>，圆管沿程水头损失计算公式：<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7cbf55b0-bfb1-4032-8735-1d714f347019.png" width="95"/>。代入数据得：<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6e11e858-1d72-4a02-b5de-2847c4c2d46c.png" width="361"/>。
2. 圆管层流运动中，当直径和通过的流量同时增大一倍时，管内最大流速{{c1::（）}}。	等于原值的一半<br>保持不变<br>等于原值的2倍<br>等于原值的4倍	A	恒定流连续性方程的公式为：Q=Av，可得v=Q/A=4Q/πd<sup>2</sup>，故当直径和通过的流量同时增大一倍时，管内最大流速等于原值的一半。
3. 非均匀流就是{{c1::（）}}。	断面流速分布不均匀的液流<br>断面压强分布不均匀的液流<br>流速沿程变化的液流<br>压强沿程变化的液流	C	过水断面形状、尺寸以及过水断面上的流速分布沿程不变且流线为平行直线的流动称为明渠均匀流动，否则为非均匀流动。即流线不是相互平行直线的流动称为非均匀流。在明渠非均匀流中，根据水流过水断面的面积和流速沿程变化的程度，又分为渐变流动和急变流动。
4. 如图1-3-1所示，水流通过渐缩管流出，若容积水位保持不变，水管内水流属{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3450" height="130" id="图片 22" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/629d0401-7d3c-4366-9c7b-867e0202f067.jpg" width="247"/></span><span style="display:block;text-align:center;">图1-3-1</span>	恒定均匀流<br>非恒定均匀流<br>恒定非均匀流<br>非恒定非均匀流	C	如果在流场中任何空间点上所有的运动要素都不随时间而改变，这种流动称为恒定流。此题目中，由于容积水位保持不变，渐缩管流体在流场中任何空间点上所有的运动要素都不随时间而改变，所以水管内水流属恒定流。过水断面形状、尺寸以及过水断面上的流速分布沿程不变且流线为平行直线的流动称为明渠均匀流动，否则为非均匀流动，由于渐缩管流体流线不是相互平行直线的流动，所以水管内水流属非均匀流。故可知水管内水流属恒定非均匀流。
5. 尺寸为6cm×12cm的矩形断面有压管流的水力半径为{{c1::（）}}cm。	2<br>2.4<br>3<br>4	A	水力学中是用水力半径来综合反映过水断面面积和湿周对沿程水头损失的影响的。过水断面面积与湿周之比定义为水力半径R，即<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b6354ac8-4cc7-4869-93d0-dd79f6cd604f.png" width="45"/>。该矩形断面断面面积A=6cm×12cm=72cm<sup>2</sup>，湿周<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4fdf316d-3a52-4dd8-bec7-3fe49065188e.png" width="16"/>=6×2+12×2=36cm，水力半径<img height="41" id="图片 21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/398c7581-10b4-46a3-a0d5-d5bc01ef2c60.png" width="99"/>
6. 突扩前后有压管道的直径之比d<sub>1</sub>：d<sub>2</sub>=1：2，则突扩前后断面的雷诺数之比为{{c1::（）}}。	1：4<br>1：2<br>1：1<br>2：1	D	雷诺数是指判别液流的型态的无量纲数。由实验可得，圆管中液流的型态与液体的密度ρ、运动黏滞系数<img border="0" height="30" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2018-03-11/6e4f8962-4e69-46ca-94db-ce1239ed32c6.jpg" style="width:32px;height:30px;float:none;" title="1.jpg" vspace="0" width="32"/>、管径d和流速v有关，雷诺数的表达公式为：<img border="0" height="70" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2018-03-11/ff00d8c5-a8db-4df0-9e85-3fab20fc9b48.jpg" style="width:98px;height:70px;float:none;" title="2.jpg" vspace="0" width="98"/>。对该式进行变换得<img src="http://admintk.100xuexi.com/UpLoadImage/2018-03-11/83d2babf-464b-4c61-a919-cc670602b7c7.jpg" title="3.jpg"/> 。由此可知，雷诺数与直径成反比。
7. A、B两根圆形输水管，管径相同，雷诺数相同，A管为冷水，B管为热水，则两管流量{{c1::（）}}。	A＞B<br>A＜B<br>A=B<br>不确定	A	管中液流的型态与液体的密度ρ、动力粘滞系数μ、管径d和流速v有关，并且它们的综合作用可以用下面的无量纲数表示：<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9b2fcca1-a6e3-4ced-bb8d-244379b0fe6f.png" width="104"/>。式中<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ad9fe566-8b5e-49c1-9ffa-0b2131c15d8e.png" width="43"/>为运动粘度，Re称为雷诺数。冷水的运动黏度大，而管径相同、雷诺数相同，故冷水流速较大。
8. 雷诺数是判别下列哪种流态的重要的无量纲数{{c1::（）}}。	急流和缓流<br>均匀流和非均匀流<br>层流和紊流<br>恒定流和非恒定流	C	雷诺数表示作用在液流上的惯性力与粘滞力的比值。当雷诺数较小时，表明作用在液流上的粘滞力起主导作用，粘滞力约束液流质点的运动，故成层流型态。当雷诺数较大时，表明作用在液流上的惯性力起主导作用，粘滞力再也约束不住液流的质点，液流质点在惯性力作用下可以互相混掺而呈紊流型态。
9. 从力学角度看，雷诺数所表示的两种力的对比关系是{{c1::（）}}。	惯性力与粘滞力<br>重力与粘滞力<br>惯性力与重力<br>压力与粘滞力	A	雷诺数表示作用在液流上的惯性力与粘滞力的比值。当雷诺数较小时，表明作用在液流上的粘滞力起主导作用，粘滞力约束液流质点的运动，故成层流型态。当雷诺数较大时，表明作用在液流上的惯性力起主导作用，粘滞力再也约束不住液流的质点，液流质点在惯性力作用下可以互相混掺而呈紊流型态。
10. 两根直径不等的管道，一根输油，一根输水，两管中流速也不同，油和水的下界雷诺数分别为Re<sub>cr1</sub>和Re<sub>cr2</sub>，则它们的关系是{{c1::（）}}。	Re<sub>cr1</sub>＜Re<sub>cr2</sub><br>Re<sub>cr1</sub>=Re<sub>cr2</sub><br>Re<sub>cr1</sub>＞Re<sub>cr2</sub><br>无法确定	B	一般都用下临界雷诺数作为判别流态的标准，也称它为临界雷诺数。对于圆管中的流动，临界雷诺数为<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0779c6f5-b35b-4670-82ac-8477cce923d9.png" width="125"/>；对于明渠及天然河道中的流动，临界雷诺数为<img src="http://admintk.100xuexi.com/UpLoadImage/2016-08-04/1e34b8c2-be72-4018-bdbd-026d548adb6c.png" title="1.png"/>，式中R是明渠及天然河道过水断面的水力半径。由此可知，临界雷诺数仅与断面形状等有关，而与断面大小、流速、介质无关。
11. 圆管流的临界雷诺数{{c1::（）}}。	随管径变化<br>随流体的密度变化<br>随流体的速度变化<br>不随以上各量变化	D	相应于流态转变时的雷诺数称为临界雷诺数。圆管流的临界雷诺数为<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7bb9060d-5ed0-4e48-b8f3-a56bd752c87d.png" width="125"/>，为定值，不随管径、流体的密度、流体的速度变化而变化。
