1. 运动粘度<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4015e2d-6c34-45d8-a130-ef0e549b8fe4.png" width="92"/>的油在圆管中流动的平均速度为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4eccb32a-7d86-45fd-8fa7-f90ed0634963.png" width="76"/>，每100m长度上的沿程损失为40cm油柱，则<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/59e66619-ea4d-46ee-b8f2-b5cb7d6208f2.png" width="25"/>为（　　）。[2010年真题]
2. 圆管层流运动中，当直径和通过的流量同时增大一倍时，管内最大流速（　　）。
3. 非均匀流就是（　　）。
4. 如图1-3-1所示，水流通过渐缩管流出，若容积水位保持不变，水管内水流属（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3450" height="130" id="图片 22" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/629d0401-7d3c-4366-9c7b-867e0202f067.jpg" width="247"/></span><span style="display:block;text-align:center;">图1-3-1</span>
5. 尺寸为6cm×12cm的矩形断面有压管流的水力半径为（　　）cm。
6. 突扩前后有压管道的直径之比d<sub>1</sub>：d<sub>2</sub>=1：2，则突扩前后断面的雷诺数之比为（　　）。
7. A、B两根圆形输水管，管径相同，雷诺数相同，A管为冷水，B管为热水，则两管流量（　　）。
8. 雷诺数是判别下列哪种流态的重要的无量纲数（　　）。
9. 从力学角度看，雷诺数所表示的两种力的对比关系是（　　）。
10. 两根直径不等的管道，一根输油，一根输水，两管中流速也不同，油和水的下界雷诺数分别为Re<sub>cr1</sub>和Re<sub>cr2</sub>，则它们的关系是（　　）。
11. 圆管流的临界雷诺数（　　）。
12. 在紊流中（　　）。
13. 根据尼古拉兹实验判断，当水流处于层流区时，沿程阻力系数与雷诺数、相对粗糙度的关系是（　　）。
14. 已知液流的沿程水头损失系数λ只与雷诺数Re的-1次方成比例，即可判断该液流属于（　　）。
15. 粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>小得多的壁面称为（　　）。
