1. 三根等长，等糙率的并联管道，沿程水头损失系数相同，半径比为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c19c8bc9-7286-4e34-b371-f9269f3ba7a2.png" width="113"/>则通过的流量比为（　　）。[2010年真题]
2. 作用水头相同时，孔口的过流量要比相同直径的管嘴过流量（　　）。
3. 如图1-4-1所示，直径为20mm，长5m的管道自水池取水并泄入大气中，出口比水池水面低2m，已知沿程水头损失系数λ=0.02，进口局部水头损失系数ξ=0.5，则泄流量Q为（　　）L／s。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC110" height="186" id="图片 102" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/650bd929-34cb-4bd8-be89-6ba4a03e56df.jpg" width="268"/></span><span style="display:block;text-align:center;">图1-4-1</span>
4. 开口面积、作用水头相同的孔口与管嘴比较，正确关系的流量、流速是（　　）。
5. 如图1-4-2所示，水箱B底部安装有直径为d的管嘴，水箱A水深H=1.2m，通过直径相同的孔口以淹没出流的方式向水箱B供水，<span style="font-family:calibri, sans-serif;font-size:16px;">A</span><span style="font-size:16px;">、</span><span style="font-family:calibri, sans-serif;font-size:16px;">B</span><span style="font-size:16px;">水箱中水流的流量系数</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>1</span></sub></span><span style="font-size:16px;">，</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>2</span></sub></span><span style="font-size:16px;">的关系为</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>2</span></sub></span><span style="font-size:16px;">＝</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>1.32μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>1</span></sub></span><span style="font-size:16px;">，</span>稳定工作时水箱B中的水位H<sub>2</sub>等于（　　）m。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC120" height="227" id="图片 100" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4f32ba5f-c36d-4a88-8a23-30fdc5f468cb.jpg" width="422"/></span><span style="display:block;text-align:center;">图1-4-2</span>
6. 长度相等，比阻分别为S<sub>01</sub>和S<sub>02</sub>=4S<sub>01</sub>的两条管段并联，如果用一条长度相同的管段替换并联管道，要保证总流量相等时水头损失相等，等效管段的比阻等于（　　）。
7. 如图1-4-3所示，已知管道总长度等于20m，直径等于0.1m，水箱水面高于管道出口2m，沿程阻力系数等于0.03，90°弯头的阻力系数等于0.25，管道中的流速等于（　　）m／s。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC120" height="155" id="图片 99" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2044e5db-dba7-42d1-b97f-3ff0bad3dc2a.jpg" width="380"/></span><span style="display:block;text-align:center;">图1-4-3</span>
8. 下面关于长管的描述正确的是（　　）。
9. 图1-4-4所示管路系统中，管道材料相同，所绘制的水头线中（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC90" height="158" id="图片 95" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/355c9938-84c7-4a6e-aea0-3dbfe66df2a3.jpg" width="473"/></span><span style="display:block;text-align:center;">图1-4-4</span>
10. 如图1-4-5所示管路系统中，从四分之一管长的1点到四分之三管长的2点并联一条长度等于原管总长度一半的相同管段，如果按长管计算，系统的总流量增加（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC130" height="153" id="图片 94" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/897983da-d4df-4c17-a10c-b2d60524c113.jpg" width="332"/></span><span style="display:block;text-align:center;">图1-4-5</span>
11. 一水塔供水系统，由三条管段串联组成。已知要求末端出水水头为10m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f59af78c-fda7-483a-b44d-2562ec87267d.png" width="17"/>=450mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/68d5bcc8-9697-40cc-9b9c-05f230ee1061.png" width="12"/>=1500m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e032616f-401b-43cb-be06-b37a1933ac3c.png" width="19"/>=0.23<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s；<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b6600523-00dc-476e-905f-5c5b456f532d.png" width="19"/>=350mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6ffe8ea2-a274-44c3-b542-58eab109ef8c.png" width="13"/>=1000m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d688c910-e673-4524-98a8-4b5cdfa168e5.png" width="20"/>=0.13<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s；<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/140a50f2-75ef-4f55-82b9-b4982e191db8.png" width="19"/>=250mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bae4ca00-212e-4aa4-8aea-e4f1171c2db4.png" width="13"/>=1000m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/40e766f5-bf26-4bd9-83a7-465e1796598a.png" width="20"/>=0.05<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s，管径改变处有出水。管道沿程阻力系数<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/796e4f43-1876-4c90-8099-751e4e2e3943.png" width="16"/>=0.012，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2864ef25-14e2-4dc2-aafa-4059eeee423c.png" width="19"/>=0.015，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/df6c4ffc-583b-497b-8529-0172274cfe71.png" width="17"/>=0.018，试求水塔高度（　　）。
