1. 计算地基中的附加应力时，应采用{{c1::（）}}。[2013年真题]	基底附加压力<br>基底压力<br>基底净反力<br>地基附加压力	A	建筑物建造前，土中早已存在自重应力，基底附加压力是基底压力与基底处建造前土中自重应力之差，是引起地基附加应力和变形的主要原因。
2. 引起土体变形的力是{{c1::（）}}。[2013年真题]	总应力<br>有效应力<br>孔隙水压力<br>自重应力	B	饱和土中任意点的总应力σ总是等于有效应力σ＇加上孔隙水压力u，由于有效应力σ＇作用在土骨架的颗粒之间。土体变形是由于有效应力变化引起土粒调整位置，重新排列，互相挤紧。
3. 某场地表层为4m厚的粉质粘土，天然重度<img height="24" id="图片 32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0a618ef5-3f0f-4a76-b6f0-30864a005b84.png" width="92"/>，其下为饱和重度<img height="24" id="图片 31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7bc86005-25a9-4ba7-aa39-1c72f64e955b.png" width="92"/>的很厚的粘土层，地下水位在地表下4m处，地表以下5m处土的竖向自重应力为：{{c1::（）}}。[2010年真题]	77kPa<br>85kPa<br>87kPa<br>95kPa	A	由于饱和土体中任意地点、任意时刻、任意方向截面上都满足有效应力原理，则根据有效应力原理，在地面下深度z处的土层竖向自重应力，等于该处单位面积上土柱的有效重量，计算公式为：<img height="45" id="图片 30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7ce74f16-b70d-4629-a188-03d3876bee49.png" width="221"/>。式中，<img height="17" id="图片 29" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/450ffefb-4d48-4de5-adcc-e95be8dc8aef.png" width="13"/><sub>i</sub>为第<em>i</em>层土的天然重度，单位为kN／m<sup>3</sup>，地下水位以下采用浮重度<img height="17" id="图片 28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/450ffefb-4d48-4de5-adcc-e95be8dc8aef.png" width="13"/>′；<em>h<sub>i</sub></em>为第<em>i</em>层土的厚度，单位为m；<em>n</em>为从地面到深度<em>z</em>处的土层数。处于水下的土，受到浮力作用，单位体积中土的有效重量称为有效重度或浮重度，计算公式为：<img height="36" id="图片 27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9247c405-0946-4eac-95bf-ff0631ba8884.jpg" width="211"/>。式中，<img height="24" id="图片 26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/36854ab6-16f3-40d9-996c-db91655e965d.png" width="24"/>为饱和重度。故5m处土的竖向自重应力为<img height="21" id="图片 25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5d007fdd-5c84-4a0f-8b41-448c924bab56.png" width="209"/>。
4. 在条形均布荷载作用下，关于地基中的附加应力，正确的说法是{{c1::（）}}。[2010年真题]	附加应力沿深度成直线分布<br>在同一深度的水平面上，不可能存在附加应力相同的两个点<br>在荷载分布范围内任意点沿铅垂线的竖向附加应力值，随深度越向下越小<br>荷载分布范围外任意点沿铅垂线的竖向附加应力值，随深度越向下越小	C	A项，附加应力沿深度不是呈直线分布的，是一条曲线；B项，条形均布荷载作用下，同一深度水平面上沿条形荷载对称位置上有附加应力相同的两个点；C项，在荷载分布范围外，地表处竖直附加应力值为0，在某一深度达到最大，之后再逐渐减小；D项，而在荷载分布范围内的点，其竖向附加应力是逐渐减小的。
5. 基底压力直线分布的假设适用于{{c1::（）}}。	深基础的结构计算<br>浅基础的结构计算<br>基底尺寸较小的基础结构计算<br>沉降计算	C	基底压力是指上部结构荷载和基础自重通过基础传递，在基础底面处施加于地基上的单位面积压力。一般情况下，基底压力是随着深度的增加而变化的，其变化的是呈曲线变化的，不是正比关系。其分布比较复杂，与基础和地基的相对刚度、基础埋深、荷载大小及分布、地基土的性质都有关系，在工程实用中常采用下列简化算法，按线性分布处理。基底尺寸较小的基础结构计算中为了计算方便，可以当基底压力是按直线分布的，不影响最终结果。
6. 单向偏心的矩形基础，当偏心距e＜L／6（L为偏心一侧基底边长）时，基底压力分布图简化为{{c1::（）}}。	三角形<br>梯形<br>平行四边形<br>双曲线	B	根据基底压应力的简化计算方法可知，当偏心距e＜L／6时，基底最大、最小压应力均大于零，所以其分布图可简化为梯形。
7. 关于土的自重应力，下列说法正确的是{{c1::（）}}。	土的自重应力只发生在竖直方向上，在水平方向上没有自重应力<br>均质饱和地基的自重应力为γsath，其中γsat为饱和重度，h为计算位置到地表的距离<br>表面水平的半无限空间弹性地基，土的自重应力计算与土的模量没有关系<br>表面水平的半无限空间弹性地基，自重应力过大也会导致地基土的破坏	C	土的自重应力包括竖向自重应力和水平向自重应力。在计算地下水位以下土层的自重应力时常用有效重度。表面水平的半无限空间弹性地基，土的自重应力只与土的重度和计算深度有关。A项，土的自重应力包括竖向自重应力和水平向自重应力；B项，在计算地下水位以下土层的自重应力时常用有效重度；D项，对于表面水平的半无限空间弹性地基，地基土的破坏与自重应力无关。
8. {{c1::（）}}是土体在自身重量作用下变形稳定后的有效应力。	总应力<br>自重应力<br>基底压力<br>有效应力	B	外加荷载与上部建筑和基础的全部重量，都是通过基础传递到地基，在基础与地基的接触面上的有效接触应力称为基底压力。自重应力是土体在自身重量作用下变形稳定以后的有效应力。AD两项与本题无关，它们之间的关系是：总应力=有效应力+孔隙水压力。
9. 通常自重应力{{c1::（）}}引起土层的变形。	会<br>有时会<br>不会<br>永远不会	C	自重应力是土体在自身重量作用下变形稳定以后的有效应力，在地面水平、土层均匀分布的情况下，土体在自重作用下无侧向变形和剪切变形，只有竖向变形，这种条件称为无侧向变形条件或侧限条件或K<sub>0</sub>条件。竖向自重应力沿深度呈线性分布，在土层的分界面处有转折，且土层越深自重应力越大。通常自重应力不会引起。土层的变形，但对于新填土或欠固结土，在自重作用下尚未固结稳定，需要考虑土的自重引起的变形。
10. 地下水位上升将使土中自重应力减小的土层位置是{{c1::（）}}。	原水位以下<br>变动后水位以下<br>不透水层以下<br>变动后水位以上	B	因为在地下水位以下透水层中，自重应力应采用有效重度计算，所以地下水位下降后，原水位以下自重应力增大，地下水位上升后，变动后水位以下自重应力减小。
11. 竖向自重应力沿深度呈{{c1::（）}}分布。	非线性<br>线性<br>双曲线<br>马鞍形	B	根据有效应力原理，自重应力是土体在自身重量作用下变形稳定以后的有效应力，在地面水平、土层均匀分布的情况下，土体在自重作用下无侧向变形和剪切变形，只有竖向变形。地面下深度为z处的土层竖向自重应力，等于该处单位面积上土柱的有效重量，按下式计算：<img height="45" id="图片 24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/82250136-2b72-4f60-968d-44db7072b676.png" width="233"/>，由上式可知，竖向自重应力沿深度呈线性分布，在土层的分界面处有转折，且土层越深自重应力越大。通常自重应力不会引起土层的变形，但对于新填土或欠固结土，在自重作用下尚未固结稳定，需要考虑土的自重引起的变形。
