1. 在土的压缩性指标中，{{c1::（）}}。[2010年真题]	压缩系数与压缩模量成正比<br>压缩系数越大，压缩模量越低<br>压缩系数越大，土的压缩性越低<br>压缩模量越小，土的压缩性越低	B	压缩模量是侧限应力条件下，竖向应力增量与竖向应变增量之比，可由侧限压缩试验确定；压缩系数是指压缩试验所得e-p曲线上某一压力段的割线的斜率。土的压缩模量<img border="0" height="24" id="图片 32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/25d68e01-608f-479d-9694-9e8032318453.png" width="20"/>与压缩系数<img border="0" height="15" id="图片 31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a63da689-6d75-4931-b3c3-76503c5f9e76.png" width="13"/>之间的关系为<img border="0" height="43" id="图片 30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cedc1e23-1f46-462d-a21c-c5f6c16ca7c9.jpg" width="147"/>。式中，E<sub>s</sub>为压缩模量，单位为MPa或kPa；<em>e<sub>0</sub></em>为试样初始孔隙比；α为压缩系数，单位位MPa<sup>-1</sup>。由此可知它们之间成反比的关系。土的压缩系数越大其压缩性越高；压缩模量越小则压缩系数越大，所以土的压缩性也越高。
2. 关于分层总和法计算沉降的基本假定，下列说法正确的是{{c1::（）}}。	假定土层只发生侧向变形，没有竖向变形<br>假定土层只发生竖向变形，没有侧向变形<br>假定土层只存在竖向附加应力，不存在水平附加应力<br>假定土层只存在附加应力，不存在竖向附加应力	B	分层总和法的原理是分别计算基础中心点下地基中各个分层土的压缩变形量S<sub>i</sub>，认为基础的平均沉降量S等于S<sub>i</sub>的总和，其计算公式为<img border="0" height="34" id="图片 29" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5d0b03b4-1a6c-4107-a2ee-bd7df1e46e64.jpg" width="64"/>，n为计算深度范围内的分层数。在计算S<sub>i</sub>时，其基本假设前提为土层只发生竖向压缩变形，没有侧向变形。
3. 某黏性土层厚为2m，室内压缩实验结果如表2-3-1所示。已知该土层的平均竖向自重力<img border="0" height="24" id="图片 28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/998cc291-f71b-40a2-9320-2ffb837210be.png" width="72"/>，平均竖向附加应力<img border="0" height="24" id="图片 27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/099f72b7-53ca-4e7b-9b82-2b13428cfbb4.png" width="79"/>，问该土层附加应力引起的沉降为多少？{{c1::（）}}<br/><span style="display:block;text-align:center;">表2-3-1</span><span style="display:block;text-align:center;"><img border="0" height="48" id="图片 26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/67bfc816-e2e4-41f6-94fa-2152c4e0c671.jpg" width="575"/></span>	65.1mm<br>84.4mm<br>96.3mm<br>116.1mm	D	根据各分层的厚度hi，自重应力及附加应力平均值，结合该土层土样压缩试验得到的e-p曲线，计算各分层的压缩量△s，其公式为：<img alt="HWOCRTEMP_ROC1000" border="0" height="38" id="图片 25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/758c0631-9f84-4642-9534-180a5146d9df.jpg" width="169"/>。式中，e<sub>1i</sub>为第i层土平均自重应力P<sub>1</sub>=σ<sub>c</sub>所对应的孔隙比，从曲线查得；e<sub>2i</sub>为第i层平均自重应力与平均附加应力之和P<sub>2</sub>=σ<sub>c</sub>+σ<sub>z</sub>对应的孔隙比。本题中，黏性土层为一层，带入公式可得：△s=2000×（0.861-0.753）/（1+0.861）=116.1mm。
4. 与软黏土地基某时刻的主固结沉降计算无关的土工参数是{{c1::（）}}。	土层厚度<br>土的渗透系数<br>土的压缩模量<br>土的变形模量	D	软黏土地基某时刻的主固结沉降计算是随着时间进行变化的。首先根据土层的渗透系数、压缩模量、初始孔隙比、土层厚度和给定的时间进行计算，其中压缩系数与土的压缩模量有关。变形模量相当于材料力学中的弹性模量，但由于土体不是弹性体，因而该变量在土力学中被称为变形模量。特别应该注意，这里的压缩模量E与变形模量E并不相同，压缩模量是侧限应力条件，即单向变形条件下压缩应力增量与应变增量之比；而变形模量是无侧限条件，即有侧向变形条件下压缩应力增量与应变增量之比，所以土的变形模量与软黏土地基某时刻的主固结沉降计算无关。
5. 某饱和黏土层厚5m，其上为砂层，底部为不透水岩层，在荷载作用下黏土层中的附加应力稳步呈倒梯形（见图2-3-1），<img border="0" height="20" id="图片 24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9fb8221f-5688-4221-a7c8-6829abd2f55d.png" width="79"/>，<img border="0" height="20" id="图片 23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d71f6d9a-3584-4da8-98e8-56265213b9eb.png" width="77"/>，已知荷载作用半年后土层中的孔隙水压力呈三角形分布（阴影部分），则此时黏土层平均固结度为{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="37T" border="0" height="204" id="图片 22" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5feb6d43-27b6-4417-9b4e-d3d8ce0ec781.jpg" width="343"/></span><span style="display:block;text-align:center;">图2-3-1</span>	10%<br>15%<br>33%<br>67%	D	地基的固结度是指地基的固结程度，它是地基在一定压力下，经某段时间产生的变形量S<sub>t</sub>与地基最终变形量s的比值，其表达式为：U<sub>t</sub>=有效应力图面积/起始超孔隙水压力图面积=1-t时刻超空隙水压力图面积/起始超空隙水压力面积。由题中图形可知，t时刻超空隙水压力图面积为200×5/2=500kPa，起始超孔隙水压力面积为（200+400）×5/2=1500kPa，所以U<sub>t</sub>=1-500/1500=1-1/3=0.6777。
6. 土体压缩变形的实质是{{c1::（）}}。	土中气的压缩<br>孔隙体积的减小<br>土中水的压缩<br>土粒体积的压缩	B	土的压缩主要是指土中孔隙体积的压缩和减少，在土体的压缩过程中，土粒、土中水和土中空气本身的压缩量微小，可以忽略不计。
7. 在无侧限应力条件下，竖向应力增量与竖向应变增量之比为变形模量。而在侧限应变条件下，竖向应力增量与竖向应变增量之比为压缩模量。在理论上，土体的压缩模量总是{{c1::（）}}变形模量。	大于<br>等于<br>小于<br>不确定	A	变形模量相当于材料力学中的弹性模量，但由于土体不是弹性体，因而该变量在土力学中被称为变形模量。压缩模量E<sub>s</sub>与变形模量E<sub>0</sub>并不相同，压缩模量是侧限应力条件，即单向变形条件下压缩应力增量与应变增量之比，而变形模量是无侧限条件，即有侧向变形条件下压缩应力增量与应变增量之比。压缩模量一般采用室内试验方法确定，变形模量可采用现场载荷试验确定。根据两者的关系<img border="0" height="24" id="图片 21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4e568c91-54fa-4a25-852a-42582314af43.png" width="65"/>，其中<img border="0" height="47" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/63c730a3-7875-4e35-94bc-eedc6d5b64e0.png" width="88"/>恒小于1，<img border="0" height="17" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e6bbe766-3e94-4da6-9f50-5f1bfa268144.png" width="16"/>为土的泊松比，则体的压缩模量恒大于变形模量。
8. 若土层中各点的自重应力小于各点的先期固结压力，则土层为{{c1::（）}}状态。	次固结<br>欠固结<br>正常固结<br>超固结	D	应力历史对土体的变形有影响，需要了解天然土层的固结状态，土层中各点的自重应力σ<sub>cz</sub>可通过计算确定，如能确定各点的先期固结压力p<sub>c</sub>，可将两者对比判断土层的同结状态。正常固结状态时，σ<sub>cz</sub>=p<sub>c</sub>，OCR=1；超固结状态时σ<sub>cz</sub><p<sub>c</sub>，OCR>1；欠固结状态时，σ<sub>cz</sub>>p<sub>c</sub>，OCR<1。OCR称为超固结比，是先期固结压力与土层竖向自重应力的比值：<img border="0" height="45" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b250ba37-a9f9-4a98-8a55-b54d3c8e3e42.png" width="76"/>。
9. 在荷载作用下，由于地基土的结构骨架受力压缩，使孔隙水排出，体积压缩引起的沉降是{{c1::（）}}。	瞬时沉降<br>主固结沉降<br>次固结沉降<br>总沉降	B	总沉降包括瞬时沉降、固结沉降和次固结沉降；瞬时沉降是紧随着加压之后即时发生的沉降，此时地基土在荷载作用下只发生剪切变形，其体积还来不及发生变化；主固结沉降是在荷载作用下随着土孔隙中水分的逐渐挤出，孔隙体积相应减少而发生的；次固结沉降是指孔隙水压力消散后仍在继续缓慢进行的，由土骨架蠕变而引起的沉降。
10. 在欠固结土上建造建筑物，引起建筑物基础沉降的根本原因{{c1::（）}}。	土体自重和地下水位的变化<br>基础自重<br>土体自重和建筑物荷载<br>建筑物荷载	C	土处于欠固结状态，即在自重作用下并没有达到完全固结（变形稳定），自重压缩变形在继续发展中。土体在没有建筑物荷载的情况下会在自重压力作用下发生固结沉降；有建筑物荷载之后，基底附加应力的作用使得土体发生固结沉降。因此，根本原因有两个方面：土体自重以及建筑物荷载。
11. 当采用分层总和法计算软土地基沉降量时，压缩层下限确定的根据是{{c1::（）}}。	<img border="0" height="21" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/84f0ec75-f58d-4886-b63f-89e5ef2256fe.png" width="44"/>≤0.2<br><img border="0" height="20" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/39a2ca3a-5300-4507-8867-ecd5bd1c1cf4.png" width="44"/>≤0.1<br><img border="0" height="21" id="图片 15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/84f0ec75-f58d-4886-b63f-89e5ef2256fe.png" width="44"/>≤0.1<br><img border="0" height="20" id="图片 14" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/21604eaa-ea98-49bd-ae2f-2b842f9e6053.png" width="43"/>≤0.2	B	天然土层大多由多层土构成，各层土的压缩性质不同；有限尺寸的建筑物荷载作用时，在地基中所产生的附加应力沿深度变化，这种条件与单向压缩试验条件荷载均匀分布有所不同，所以一般土的沉降量需要分层求和，当采用分层总和法计算地基最终沉降量时，其压缩层下限是根据附加应力<img border="0" height="20" id="图片 13" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0553ff11-53a5-40ac-af1a-f63db160a7aa.png" width="17"/>与自重应力<img border="0" height="20" id="图片 12" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0e0c0eb3-4e1b-4abe-8209-e261e988356b.png" width="20"/>的比值确定的，一般土层要求<img border="0" height="29" id="图片 11" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6345ad58-ade0-4121-9f46-746ddb8d2ede.png" width="62"/>≤0.2，软土要求<img border="0" height="27" id="图片 10" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9c742bb3-a3c4-4ed0-a2e5-5ee7ee3d5c33.png" width="58"/>≤0.1。
