1. 土越密实，则其内摩擦角{{c1::（）}}。[2013年真题]	越小<br>不变<br>越大<br>不能确定	C	土的原始密度越大，土料间的咬合（联锁）作用越强，受剪时首先需克服咬合作用，才能产生相对滑动。此外，土的密度大也意味着土粒间孔隙小、接触紧密、原始内聚力较大。则土越密实，则其内摩擦角越大。
2. 挡土墙后填土处于主动极限平衡状态，则挡土墙{{c1::（）}}。	在外荷载作用下推挤墙背后土体<br>在外荷载作用下偏离墙背后土体<br>被土压力推动而偏离墙背土体<br>被土体限制而处于原来位置	B	当墙向前有微小移动（离开土）或转动时，随着位移或转角增大，土压力E<sub>o</sub>逐渐减小，待土体濒于破裂，墙后土体处于主动极限平衡状态时，土压力达到最小值。此时由于土体主动推墙，墙后土体作用于墙背的土压力称为主动土压力。由挡土墙填土处于主动极限平衡状态时的平衡状态可以判定，挡土墙在外荷载作用下偏离墙背后土体。
3. 如果其他条件保持不变，墙后填土的下列哪项指标的变化，会引起挡土墙的主动土压力增大？{{c1::（）}}。	<img height="17" id="图片 49" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br>填土的重度γ减小<br>填土的压缩模量E增大<br>填土的粘聚力c增大	A	黏性土朗肯主动土压力<img height="36" id="图片 48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7a6f0fb6-5a52-4dfd-9e8f-a69143453cb1.png" width="369"/>由公式可知，内摩擦角<img height="17" id="图片 47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>减小会引起挡土墙的主动土压力增大。BD两项，填土的重度γ减小与粘聚力c增大都会引起挡土墙的主动土压力减小；C项，主动土压力与填土的压缩模量没有关系。
4. 对于图2-6-1所示挡土墙，墙背倾角为<img height="15" id="图片 46" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1f4e5974-f22a-4806-a969-191a58926676.png" width="16"/>，墙后填土与挡土墙的摩擦角为<img height="19" id="图片 45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c1306880-cc7c-4f80-bb77-63fd1aceb9ef.png" width="15"/>，墙后填土中水压力<img height="24" id="图片 44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/80432014-898e-4228-a95d-ce69307c6c95.png" width="24"/>的方向与水平面的夹角<img height="17" id="图片 43" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>为{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="40T" height="182" id="图片 42" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/432edfe4-bc9b-436c-98be-e600a495bb9d.jpg" width="361"/></span><span style="display:block;text-align:center;">图2-6-1</span>	<img height="15" id="图片 41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1f4e5974-f22a-4806-a969-191a58926676.png" width="16"/><br><img height="15" id="图片 39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1f4e5974-f22a-4806-a969-191a58926676.png" width="16"/><br><img height="15" id="图片 37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1f4e5974-f22a-4806-a969-191a58926676.png" width="16"/><br><img height="19" id="图片 36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c1306880-cc7c-4f80-bb77-63fd1aceb9ef.png" width="15"/>	A	设挡土墙高为h，墙背俯斜，与垂线的夹角为ε，墙后土体为无黏性土（c=0），土体表面与水平线夹角为β，墙背与土体的摩擦角为δ，如图2-6-2所示，由此可知水压力合力<img height="24" id="图片 35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/80432014-898e-4228-a95d-ce69307c6c95.png" width="24"/>的作用方向仍在墙背法线方向上方，并与法线成δ角或与水平面成<em>α</em>+δ角。<br/><span style="display:block;text-align:center;"><img alt="HWOCRTEMP_ROC2240" height="239" id="图片 34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/aff03975-7eee-4435-9799-cc589d878858.jpg" width="258"/></span><span style="display:block;text-align:center;">图2-6-2</span>
5. 朗肯土压力理论没有考虑墙背与填土之间摩擦作用，这会导致由朗肯土压力理论计算的主动土压力与实际相比{{c1::（）}}。	偏大<br>偏小<br>在墙背与填土之间的摩擦角较小时偏大，较大时偏小<br>在墙背与填土之间的摩擦角较小时偏小，较大时偏大	A	根据朗肯土压力理论中的基本假设可知，墙背是直立的，填土面是水平的并且忽略了墙背与填土之间摩擦的影响，因而与实际相比计算的主动土压力偏大，被动土压力则偏小。
6. 静止土压力的合力作用于三角形强度分布的{{c1::（）}}位置。	中心<br>形心<br>直角边1/2位置<br>底部	B	静止土压力是土体处于K。状态（侧限应力状态）时的土压力，当墙体不动时，墙后填土中一点的应力状态和土体自重应力状态相同，静止土压力的合力E作用于三角形强度分布的形心位置，方向垂直指向墙背。
7. 若墙高为H，则静止土压力的合力大小为{{c1::（）}}。	<img height="41" id="图片 33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/949ee3d6-72d1-425f-a5e0-ec27045b82cc.png" width="16"/><br><img height="41" id="图片 32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/10894d7f-f2f8-4aeb-a5da-c426470fb1ab.png" width="15"/><br><img height="41" id="图片 31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7eaa3492-baa2-4061-a7a0-b6fd079dcaa2.png" width="16"/><br><img height="41" id="图片 30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c6236270-195a-4c32-923b-1a82a52691b2.png" width="16"/>	A	静止土压力<img height="24" id="图片 29" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4f56280-3fb0-4be5-bee2-855985b352e9.png" width="69"/>，沿墙高呈三角形分布，因此三角形的面积<img height="41" id="图片 28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/949ee3d6-72d1-425f-a5e0-ec27045b82cc.png" width="16"/>γH<sup>2</sup>K<sub>0</sub>就是静止土压力的大小。
8. 静止侧向压力系数的大小K<sub>0</sub>为{{c1::（）}}。	<img height="17" id="图片 27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br><img height="17" id="图片 26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br><img height="41" id="图片 25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/949ee3d6-72d1-425f-a5e0-ec27045b82cc.png" width="16"/><br><img height="41" id="图片 23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/949ee3d6-72d1-425f-a5e0-ec27045b82cc.png" width="16"/>	A	正常固结土侧向压力系数的半经验公式为：K<sub>0</sub>=1-sin<img height="17" id="图片 21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>′。一般砂土可以取0.3～0.5，粘性土可以取0.5～0.7。
9. 相同条件下，若产生主动土压力为E<sub>a</sub>、被动土压力为E<sub>P</sub>，所需挡土墙的位移量分别为Δa、Δp，则下列结论正确的是{{c1::（）}}。	Ea>EP，Δa<Δp<br>Ea>EP，Δa>Δp<br>Ea<EP，Δa<Δp<br>Ea<EP，Δa>Δp	C	当墙体静止不动，墙后土体处于弹性平衡状态时，墙后土体作用于墙背的土压力，称为静止土压力，以E<sub>0</sub>表示；当墙向前（离开填土）产生微小位移或转动时，随着位移或转角的增大，土压力逐渐减小，当土体临近破坏，墙后土体处于主动极限平衡状态时，土压力达最小值。此时由于土体主动推墙，墙后土体作用于墙背的土压力称为主动土压力，以E<sub>α</sub>表示；当墙在外力作用下，产生向后（推向填土）的微小位移或转动时，随着位移或转角的增大，土压力逐渐增加，当土体临近破坏，墙后土体处于被动极限平衡状态时，土压力达最大值，墙后土体作用于墙背的土压力称为被动土压力，以E<sub>P</sub>表示。相同条件下，E<sub>P</sub>>E<sub>0</sub>>E<sub>α</sub>，Δa<Δp。
10. 朗肯土压力理论是根据{{c1::（）}}而得出的土压力计算方法。	墙后滑动楔体处于静力平衡状态<br>弹性理论<br>土的极限平衡理论<br>弹塑性理论	C	朗肯土压力理论是通过分析土体达到主动（或者被动）极限平衡状态时的应力状态而得出的土压力计算方法；库仑土压力理论是根据墙后滑动楔体的静力平衡求得作用于挡土墙上的土压力。朗肯设想由于某种原因使土体在水平方向上均匀伸展，单元体上的σ<sub>z</sub>不变而σ<sub>x</sub>，逐渐减小，直至达到破坏状态：σ<sub>x</sub>=σ<sub>3f</sub>=p<sub>α</sub>，应力圆与抗剪强度包线相切，土体达到主动极限平衡状态。由于土体不是弹性体，无法应用弹性理论。土体具有不连续性，各向异性，故无法使用适合金属材料的弹塑性理论。
11. 朗肯土压力理论中，当墙后填土达到被动土压力状态时填土破裂面与水平面夹角为{{c1::（）}}。	<img height="17" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br><img height="17" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br><img height="17" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/><br><img height="17" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>	B	由郎肯土压力理论的摩尔应力圆可知，当土体达到主动极限平衡状态，土体中的滑裂面与水平面（大主应力面）夹角即破坏面与大主应力面（<img height="24" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/876fd9ff-6890-42dd-b000-c4b1ab5b8852.png" width="19"/>是水平方向的，其作用面是垂直方向的）的夹角为45°+<img height="17" id="图片 15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>/2；当土体达到被动极限平衡状态，土体中的滑裂面与水平面（小主应力面）（<img height="24" id="图片 14" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/39e2613f-2cb0-4edf-a81b-3ef0488b72d3.png" width="20"/>是铅直向下的，其作用面是水平方向的）的夹角为45°-<img height="17" id="图片 13" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31cdd227-fdb7-495e-b7d7-6fee7aeac4b5.png" width="15"/>/2。
