1. 纵向受拉钢筋分别采用HPB235、HRB335、HRB400时，相对界限受压区高度<img height="23" id="图片 121" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/02596d84-3f0f-4c11-b931-03add05b4fe1.png" width="17"/>为{{c1::（）}}。[2010年真题]	0.624，0.550，0.518<br>0.614，0.540，0.518<br>0.614，0.550，0.518<br>0.614，0.550，0.528	C	矩形截面有效高度h<sub>0</sub>（自受拉钢筋合力点至截面受压区边缘的距离），钢筋的截面面积为A<sub>s</sub>，在界限破坏状态，截面界限受压区实际高度为x<sub>0b</sub>，相对界限受压区高度计算公式为<img alt="HWOCRTEMP_ROC740" height="63" id="图片 120" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/807a6be1-39c5-405d-95bf-f6cdd6ddca64.jpg" width="232"/>。式中，<img height="26" id="图片 119" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/eecca126-60c3-4725-abc0-e51b8abb708c.png" width="20"/>为钢筋抗拉强度设计值，HPB235、HRB335、HRB400分别为210MPa、300MPa、360MPa；<img height="23" id="图片 118" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5d4b7252-b7b8-4cc9-96f9-ac89ed57df2c.png" width="20"/>为钢筋弹性模量，HPB235、HRB335、HRB400分别为2.1×10<sup>5</sup>N/mm<sup>2</sup>、2.0×10<sup>5</sup>N/mm<sup>2</sup>、2.0×10<sup>5</sup>N/mm<sup>2</sup>；因此可计算得相对界限受压区高度分别为0.614、0.550、0.518。
2. 已知柱截面尺寸<img height="20" id="图片 117" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/58a579a2-cb76-42bf-894a-1186e185d1c0.png" width="139"/>，C30混凝土<img height="23" id="图片 116" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d1451211-2a89-4337-9f5d-d39b7ed79493.png" width="93"/>，主筋采用HRB335钢筋<img height="26" id="图片 115" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/70c44f2c-681b-442d-a110-41fc15a0fed7.png" width="89"/>，<img height="23" id="图片 114" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/09fed1bf-6c25-429c-82bc-e6d0116c3b78.png" width="103"/>，<img height="20" id="图片 113" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bda37229-b7e3-4a5c-bfd5-4558d43d765d.png" width="165"/>（正、反向弯矩），<img height="20" id="图片 112" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9e74d352-9aed-4478-8211-51277b5390b8.png" width="86"/>（压力），安全系数<img height="20" id="图片 111" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d0facbf1-cf08-4458-8aab-fc725b9f0bdc.png" width="50"/>，此柱的配筋与下列哪个值最接近？{{c1::（）}}[2010年真题]	<img height="26" id="图片 110" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1eb3a5c2-2e90-451a-8fab-a4f783b4f136.png" width="129"/><br><img height="26" id="图片 109" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/91b869e9-f2e7-4981-86b6-7b5850947bed.png" width="129"/><br><img height="26" id="图片 108" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/164cded4-4166-49b7-aa13-16b931ba3b7b.png" width="129"/><br><img height="26" id="图片 107" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0c1d8918-2a22-47f8-bd0f-84c120edb621.png" width="129"/>	D	根据《水工混凝土结构设计规范》（SL 191—2008）第6.3.3条的规定，对称配筋的矩形截面小偏心受压构件，也可按下列公式计算纵向钢筋截面面积：<img height="43" id="图片 106" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5155407f-2f9e-4313-b295-3d57ced7f937.png" width="275"/>，此处，相对受压区计算高度ξ可按下列近似公式计算：<img height="73" id="图片 105" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5a5e1222-d95c-40f9-be93-2700e1961ba0.png" width="317"/>，已知，该柱采用C30混凝土，主筋采用HRB335钢筋，则<img height="23" id="图片 104" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/02596d84-3f0f-4c11-b931-03add05b4fe1.png" width="17"/>=0.55，又<img height="17" id="图片 103" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cd7c1e40-c4b5-4d4d-aa53-aaeb99b7d33b.png" width="66"/>，<img height="23" id="图片 102" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/474b58c9-c99f-48bd-8f41-3b465da9e0cf.png" width="205"/>，<img height="20" id="图片 101" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/66dced9b-db22-4fce-9416-cc5a0e3557da.png" width="53"/>，<img height="36" id="图片 100" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/019fcd08-af92-4f5f-865d-507c8f165be3.png" width="182"/>，<img height="40" id="图片 99" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4436ed7a-deeb-4e75-9e9f-0735eab54f61.png" width="328"/>，则：<img height="86" id="图片 98" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/19486cad-3ea3-4503-8d8c-ccea041bbf5a.jpg" width="347"/>，<img height="53" id="图片 97" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/15d04de2-d073-45fd-87ff-969f1fb73813.jpg" width="314"/>。
3. 已知一矩形截面梁，仅配置箍筋如图4-3-1所示，箍筋采用HPB235<img height="26" id="图片 96" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ce3eb0e0-fc86-4684-9829-26985676a7b2.png" width="103"/>，混凝土C30<img height="23" id="图片 95" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/973d909a-dc85-4139-9cb0-3cad4b972287.png" width="195"/>，<img height="20" id="图片 94" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bde9d1eb-5a9e-442e-8d1b-d2266697d239.png" width="66"/>，试问当箍筋由Φ6@100改为Φ8@100时，受剪承载力提高多少？{{c1::（）}}[2010年真题]<br/><span style="display:block;text-align:center;"><img alt="34" height="146" id="图片 93" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/de7d6013-4621-481f-b556-4827317ecbba.jpg" width="189"/></span><span style="display:block;text-align:center;">图4-3-1</span>	27%<br>29%<br>31%<br>32%	B	根据《水工混凝土结构设计规范》（SL 191—2008）第6.5.3条的规定，<img height="40" id="图片 92" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bec814a9-37fd-478c-ad39-c8b2b61dbbc6.png" width="321"/>，由于安全系数<em>K</em>不变，故可计算<em>KM</em>的值。其中根据图中所示可知，<img height="20" id="图片 91" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c7365c79-51b9-40d7-997c-5b604055f2b8.png" width="76"/>，<img height="23" id="图片 90" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ee60b1be-3394-494a-8acc-93d4e0181c2a.png" width="228"/>，则<img height="23" id="图片 89" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2e03bad8-9b4e-4b3b-bb17-be48bd27c943.png" width="308"/>。故当箍筋采用Φ6@100时，<img height="23" id="图片 88" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7d65760a-0e5c-46a3-b49b-f3381926a0fb.png" width="281"/>；当箍筋采用Φ8@100时，<img height="40" id="图片 87" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/13fd5dd8-a347-4d93-b721-275e20826c13.png" width="381"/>，<img height="23" id="图片 86" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9d9ff952-9487-49c6-802d-b1043618f84b.png" width="278"/>，故受剪承载力提高值为：（164.58-127.62）/127.62=29.0%。
4. 剪力和扭矩共同作用时{{c1::（）}}。[2010年真题]	抗扭能力比纯扭低，抗剪能力降低不明显<br>要考虑剪扭相关性，剪扭构件引入了混凝土受剪承载力降低系数<img height="23" id="图片 85" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/115a3ec4-3f96-474b-a317-2aba8327326b.png" width="17"/>和混凝土受扭承载力降低系数<img height="23" id="图片 84" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2de3075-8161-442c-9928-a3997e791808.png" width="63"/><br>要考虑剪扭相关性，剪扭构件引入了混凝土受扭承载力降低系数<img height="23" id="图片 83" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/115a3ec4-3f96-474b-a317-2aba8327326b.png" width="17"/>和混凝土受剪承载力降低系数<img height="23" id="图片 82" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2de3075-8161-442c-9928-a3997e791808.png" width="63"/><br>要考虑剪扭相关性，剪扭构件引入了混凝土受扭承载力降低系数<img height="23" id="图片 81" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/115a3ec4-3f96-474b-a317-2aba8327326b.png" width="17"/>和混凝土受剪承载力降低系数<img height="23" id="图片 80" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/23d75cc7-e5c9-44a1-82a3-f2045230f685.png" width="50"/>	C	同时承受剪力V和扭矩T的构件称为剪扭构件。因为剪力和扭矩本质上都是在截面上产生剪应力。由于剪力V的存在，截面的抗扭能力就要降低；反之，由于扭矩T的存在，截面的抗剪能力就要降低。这种互相影响的关系称为剪、扭相关性。由于剪、扭存在相关性，剪力的存在，截面的抗扭能力要降低，因此规范在混凝土的抗扭承载力一项中乘以受扭承载力降低系数β<sub>t</sub>，0.5≤β<sub>t</sub>≤1.0；反之，由于扭矩的存在，截面的抗剪能力也要降低，因此规范在混凝土抗剪承载力一项中乘以受剪承载力降低系数（1.5-β<sub>t</sub>）。
5. 已知一矩形截面梁配筋如图4-3-2所示，采用HRB335钢筋（<img height="23" id="图片 79" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/98b7f762-26d1-44ec-89ec-25923f6e2f29.png" width="79"/>），<img height="20" id="图片 78" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bde9d1eb-5a9e-442e-8d1b-d2266697d239.png" width="66"/>，试问当混凝土强度由C20（<img height="23" id="图片 77" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/90d133f3-15f5-4b0c-85f2-ed2a51ae05e9.png" width="86"/>）提高至C60（<img height="23" id="图片 76" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/719ec6fd-ede3-4a23-8486-4e07f2a777a8.png" width="96"/>）时，受弯承载力提高多少？{{c1::（）}}[2010年真题]<br/><span style="display:block;text-align:center;"><img alt="33" height="119" id="图片 75" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f6c49b45-ada1-497f-93ff-bb58aab14135.jpg" width="182"/></span><span style="display:block;text-align:center;">图4-3-2</span>	9.2%<br>10.9%<br>11.50%<br>12.7%	D	根据《水工混凝土结构设计规范》（SL 191—2008）第6.2.1规定，<img height="46" id="图片 74" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8cabf274-55d2-4f70-bc54-7ab43a6ef507.png" width="235"/>，此题为双筋截面梁，其中根据图中所示可知，矩形截面梁无受压钢筋。<br/>已知，<img height="50" id="图片 73" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5b4b1dd5-d800-4f71-9a5a-3d609f4d6b87.png" width="477"/>。故当采用C20时，<img height="23" id="图片 72" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/90d133f3-15f5-4b0c-85f2-ed2a51ae05e9.png" width="86"/>，则受压区计算高度为：<img height="50" id="图片 71" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7159e0a4-bec9-4b5f-8763-6a6d4a70ef68.png" width="278"/>＜<img height="23" id="图片 70" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6d7c2714-246e-4b7b-874f-8d3161ff3794.png" width="252"/>，其中，<img height="66" id="图片 69" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/dcaa7488-bd3d-4590-85dc-7c33f9155804.png" width="159"/>。受压区计算高度满足规范要求。此时，受弯承载力<img height="86" id="图片 68" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e26bef3e-7bd2-4362-ba00-10505cc24eac.png" width="530"/>。<br/>当采用C60时，<img height="23" id="图片 67" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/719ec6fd-ede3-4a23-8486-4e07f2a777a8.png" width="96"/>，则受压区计算高度为：<img height="50" id="图片 66" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c492814e-dd76-4e00-b66c-f823050cde55.png" width="271"/>＜<img height="23" id="图片 65" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a665ce16-82d8-4ae7-a9e6-d688399d077b.png" width="129"/>，满足规范要求。<img height="86" id="图片 64" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/83e103e5-2ae3-48f6-907f-804e3acef992.png" width="523"/>。则受弯承载力提高值为：（71.06-63.04）/63.04=12.7%。
6. 受弯构件中，受拉钢筋达到屈服，同时受压区混凝土达到极限压应变的破坏，称为{{c1::（）}}。	少筋破坏<br>适筋破坏<br>界限破坏<br>超筋破坏	C	根据《混凝土结构设计规范》（GB 50010—2010）第7.4.1条的规定，当受拉钢筋达到屈服应变ε<sub>y</sub>时，受压边缘混凝土也刚好达到极限应变值ε<sub>cu</sub>=0.0033，这就是界限状态。在适筋破坏和超筋破坏之间必定存在着一种界限状态。这种状态的特征是在受拉钢筋的应力达到屈服强度的同时，受压区混凝土边缘的压应变恰好达到极限压应变而破坏，即为界限破坏。可用界限受压区高度x<sub>b</sub>或界限相对受压区高度ξ<sub>b</sub>来判别两种不同的破坏形态。
7. 受弯正截面承载力计算中，采用等效应力图形，其确定的原则是{{c1::（）}}。	矩形压应力图形面积与曲线形面积相等<br>保证压应力合力的大小与作用点位置不变<br>由平截面假定确定x=0.8x。<br>由试验结果确定	B	根据《混凝土结构设计规范》（GB 50010—2010）第7.1.3条的规定，在荷载准永久组合或标准组合下，钢筋混凝土构件、预应力混凝土构件开裂截面处受压边缘混凝土压应力、不同位置处钢筋的拉应力及预应力筋的等效应力宜按下列假定计算：①截面应变保持平面；②受压区混凝土的法向应力图取为三角形；③不考虑受拉区混凝土的抗拉强度；④采用换算截面。
8. 若钢筋混凝土双筋矩形截面受弯构件的正截面受压区高度低于受压钢筋混凝土保护层厚度，表明{{c1::（）}}。	仅受拉钢筋未达到屈服<br>仅受压钢筋未达到屈服<br>受拉钢筋和受压钢筋均达到屈服<br>受拉钢筋和受压钢筋均未达到屈服	B	若x＜2a′<sub>s</sub>，则表明受压钢筋不能达到其抗压设计强度，其应力很小，对截面承载力影响不大，根据《混凝土结构设计规范》（GB 50010—2010）的相关规定，若x<2a＇，则受压钢筋不能屈服，取x=2a′<sub>s</sub>，对受压钢筋中心取矩建立平衡方程。
9. 三根承受跨中集中荷载的简支梁a、b、c，其配筋率分别为ρ<sub>a</sub>=0.8%，ρ<sub>b</sub>=1.6%=ρ<sub>max</sub>，ρ<sub>c</sub>=2.0%，其他条件相同。在保证该梁不会发生斜截面破坏的情况下，各梁能够承受集中荷载设计值P的相互关系是{{c1::（）}}。	P<sub>a</sub>＜P<sub>b</sub>＜P<sub>c</sub><br>2P<sub>a</sub>＜P<sub>b</sub>＜P<sub>c</sub><br>2P<sub>a</sub>>P<sub>b</sub>=P<sub>c</sub><br>P<sub>b</sub>=2P<sub>a</sub>=P<sub>c</sub>	C	由于在ρ<sub>c</sub>=2.0%时，发生超筋破坏，钢筋并未完全屈服混凝土受压区纤维就被压碎。在超筋的情况下，受压承载力基本与配筋率无关，受弯承载力值与M<sub>max</sub>基本一致，即P<sub>c</sub>=P<sub>b</sub>。另外的两种配筋率属于适筋配筋，其正截面受弯承载力为：<br/><img height="182" id="图片 63" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/651fba08-1bd3-48c6-8aa3-46852d04f4be.jpg" width="556"/>。
10. 对适筋梁，受拉钢筋刚屈服时，则{{c1::（）}}。	承载力达到极限<br>受压边缘混凝土达到极限压应变<img height="20" id="图片 62" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/66362883-8201-4b1b-8a0a-19b9e48aba2e.png" width="20"/><br>受压边缘混凝土被压碎<br><img height="20" id="图片 61" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8bae0f5c-f0e9-4d15-8653-3fe39e85c242.png" width="40"/>，<img height="20" id="图片 60" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/dbef91a8-1e01-402d-b841-e59630386329.png" width="43"/>	D	钢筋混凝土梁可分为适筋梁，超筋梁和少筋梁三种。适筋梁是指含有正常配筋的梁。破坏的主要特点是受拉区混凝土先出现裂缝，然后受拉钢筋达到屈服强度，最后受压区混凝土被压碎，构件即告破坏。其具体特点为：①裂缝截面受拉钢筋首先达到屈服并发生很大的塑性变形，有一根或几根裂缝迅速发展并向上延伸，受压区面积大大减小，使得压区混凝土边缘应变达到ε<sub>cu</sub>，混凝土被压碎，构件宣告破坏；②适筋梁在达破坏前，构件有显著的塑性变形，即有明显的预兆，属塑性破坏。根据适筋梁的破坏特点，受拉钢筋刚屈服时，构件进入第三阶段，此时受压边缘的混凝土应小于其极限压应变<img height="20" id="图片 59" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/66362883-8201-4b1b-8a0a-19b9e48aba2e.png" width="20"/>，结构继续承重很短时间之内混凝土的压应变达到混凝土的极限压应变，钢筋混凝土构件此时破坏殆尽。
11. 提高受弯构件抗弯刚度（减小挠度）最有效的措施是{{c1::（）}}。	加大截面宽度<br>增加受拉钢筋截面面积<br>提高混凝土强度等级<br>加大截面的有效高度	D	抗弯刚度是指物体抵抗其弯曲变形的能力，以材料的弹性模量与被弯构件横截面绕其中性轴的惯性矩的乘积来表示。受弯构件抗弯刚度是指受弯构件弯矩和挠度的关系，一般采用最大弯矩处截面计算。对于钢筋混凝土梁的抗弯刚度B，不同国家的规范采用不同的方法，我国《水工混凝土结构没计规范》（DL／T 5057—1996）给出的钢筋混凝土梁的抗弯刚度采用了数理统计公式，由此可知，抗弯刚度与截面有效高度的平方成正比，因此对挠度的影响最大。
