1. 按弯矩调幅法进行内力计算和配筋时，下列提法哪个是不正确的？{{c1::（）}}。[2010年真题]	弯矩调幅法既适用于连续梁也适用于简支梁，和弹性法相比，安全储备较低<br>按调幅法计算时，调整后的截面相对受压区高度不应小于0.35，即<img height="21" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0bebd591-e628-496e-96cd-1e4cddc6a08b.png" width="57"/>，但需满足<img height="24" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8b750d26-2760-4f80-923c-8b67166cc730.png" width="43"/><br>按调幅法计算与弹性法相比，连续梁支座和跨中弯矩都大幅降低，经济效果显著<br>为保证塑性铰有较充分的转动能力，计算中要求调整后的截面相对受压区高<img height="21" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8874c38b-894c-48b9-9b9c-86dcbec1e357.png" width="57"/>	B	弯矩调幅法简称调幅法，它是在弹性弯矩的基础上，根据需要适当调整某些截面的弯矩值。需要服从以下规定：①钢材宜采用Ⅰ级、Ⅱ级和Ⅲ级热轧钢筋，也可采用I级和Ⅱ级冷拉钢筋，宜采用等级为C20~C45的混凝土；②截面的弯矩调幅系数d不宜超过25％；③调幅截面的相对受压区高度<img height="21" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2791421-c68a-49cd-aba1-6706fed51a5e.png" width="13"/>不应超过0.35，当采用I级和Ⅱ级冷拉钢筋时，<img height="21" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2791421-c68a-49cd-aba1-6706fed51a5e.png" width="13"/>值不宜大于0.3，调幅不宜超过15％；④连续梁、单向连续板各跨两支座弯矩的平均值加跨度中点弯矩，不得小于该跨简支梁的弯矩，任意计算截面的弯矩不宜小于简支弯矩的1／3；⑤考虑内力重分布后，结构构件必须有足够的抗剪能力，且经过弯矩调幅以后，结构在正常使用极限状态下不应出现塑性铰。
2. 按弹性理论，矩形简支双向板{{c1::（）}}。	角部支承反力最大<br>长跨向最大弯矩位于中点<br>角部扭矩最小<br>短跨向最大弯矩位于中点	D	四边简支双向板的均布加载试验表明：板的竖向位移呈碟形，板的四角有翘起的趋势，因此板传给四边支座的压力沿边长是不均匀的，中部大、两端小，大致按正弦曲线分布。板中作用有双向弯矩和扭矩，短跨方向弯矩较大，沿长跨方向的最大弯矩并不发生在跨中截面，而是在离板边约1/2短跨长度处。在裂缝出现前，双向板基本上处于弹性工作阶段，短跨方向的最大正弯矩出现在中点，而长跨方向的最大正弯矩偏离跨中截面。
3. 用塑性铰线法计算仅四周支承不同的简支板和固定板时，两种板的{{c1::（）}}。	外功不相等，内功相等<br>外功不相等，内功不相等<br>外功相等，内功相等<br>外功相等，内功不相等	B	在计算一种形式的支承板时，其内功等于外功。做功多少与四周支承条件有关，四周支承条件不同，做功也就不同。固定板在支承处有弯矩，而简支板弯矩为零，因此它们的外功、内功均不相等。
4. 双向受力矩形钢筋混凝土四边简支板，关于其板上承受竖向荷载的传递路径，说法准确的是{{c1::（）}}。	主要沿板的长边方向传递<br>主要沿板的短边方向传递<br>沿板的长边和短边方向同时传递<br>要根据板的长短边之比才能确定	C	根据四边简支双向板在均布荷载下的试验研究结果，可将其破坏方式与受力特点归纳为以下几点：①在四边简支的正方形板中，当均布荷载逐渐增加时，第一批裂缝出现在板底面的中间部分，随后沿着对角线的方向向四周扩展；②在接近破坏时，板顶面四角附近也出现了与对角线垂直且大致成一圆形的裂缝，这种裂缝的出现，促使板底面对角线方向的裂缝进一步扩展，形成了沿板对角线方向的“塑性铰线”，导致板破坏。所以双向板是荷载沿两个方向传递，且产生双向弯曲的板。
5. 若混凝土梁板按塑性理论方法计算，其基本假定与弹性理论的不同点是{{c1::（）}}。	假定钢筋混凝土是各向同性的匀质体<br>不考虑钢筋混凝土的弹性变形<br>考虑钢筋混凝土的塑性变形，假定构件中存在塑性铰和塑性铰线<br>考虑钢筋混凝土有裂缝出现	C	钢筋混凝土梁板到了裂缝阶段和破坏阶段，其截面上应力已不服从线弹性分布规律，即发生塑性内力重分布。钢筋混凝土梁板发生塑性变形，类似于存在一系列能单向转动的塑性铰，形成塑性铰线。
6. 图示四种梁格布置方案，主梁及次梁的跨度均为6m，优先选用{{c1::（）}}。	<img height="142" id="图片 15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ce0bd41e-4499-4b25-aab5-923eb58e16d2.png" width="131"/><br><img height="148" id="图片 14" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ee70c184-29d0-4912-a9e1-204b3ef01065.png" width="156"/><br><img height="161" id="图片 13" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5146a9e4-1b9e-497e-a27b-3f8dd45d0921.png" width="149"/><br><img height="160" id="图片 12" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a23b094c-76f6-45b0-942a-4b341b75ab74.png" width="150"/>	A	梁格是由许多梁排列而成的平面体系，例如楼盖和工作平台等。梁格上的荷载一般先由铺板传给次梁，再由次梁传给主梁，然后传到柱或墙，最后传给基础和地基。根据梁的排列方式，梁格可分成下列三种典型的形式：①简式梁格，只有主梁，适用于梁跨度较小的情况；②普通式梁格，有次梁和主梁，次梁支承于主梁上；③复式梁格，除主梁和纵向次梁外，还有支承于纵向次梁上的横向次梁。铺板可采用钢筋混凝土板或钢板，目前大多采用钢筋混凝土板。铺板宜与梁牢固连接使两者共同工作，分担梁的受力，节约钢材，并能增强梁的整体稳定性。A项，板、次梁和主梁的跨度均最为经济。
7. 设计采用钢桁架的屋盖结构时，必须{{c1::（）}}。	布置纵向支撑和刚性系杆<br>采用梯形桁架<br>布置横向支撑和垂直支撑<br>采用角钢杆件	A	屋盖是房屋最上部的围护结构，应满足相应的使用功能要求，为建筑提供适宜的内部空间环境。屋盖也是房屋顶部的承重结构，受到材料、结构、施工条件等因素的制约。由屋面和支撑结构组成。屋盖支撑布置有如下几个原则：①上弦横向水平支撑，上弦横向水平支撑在钢屋盖中，无论是有檩条的屋盖或采用大型钢筋混凝土屋面板的无檩屋盖，都应设置上弦横向水平支撑；②下弦横向水平支撑，下弦横向水平支撑与上弦横向水平支撑共同设置时，再加竖向支撑则使相邻两榀屋架组成六面盒式空间稳定体，对整个房屋结构的空间工作性能有利；③下弦纵向水平支撑，在有桥式吊车的单层工业厂房中，除上、下弦横向水平支撑外，还设置下弦纵向水平支撑，当有托架时，在托架处必须布置下弦纵向水平支撑；④竖向支撑，在梯形屋架两端必须设置竖向支撑，它是屋架上弦横向水平支撑的支承结构，它将承受上弦横向水平支撑桁架传来的水平力并将其传递给柱顶（或柱间支撑）。
8. 当屋架杆件在风吸力作用下由拉杆变为压杆时，其允许长细比为{{c1::（）}}。	100<br>150<br>250<br>350	C	规定构件的长细比是为了防止构件在受压状态时失稳破坏。根据《钢结构设计规范》（GB 50017—2003）第5.3.9条表5.3.9注5的规定，受拉构件在永久荷载与风荷载组合作用下受压时，其长细比不宜超过250。
9. 钢屋架跨中竖杆由双等肢角钢组成十字形截面杆件，计算该竖杆最大长细比<img height="20" id="图片 11" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51bef06a-f79a-4f55-b37b-7651a458969b.png" width="25"/>时，其计算长度<img height="20" id="图片 10" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2eea256d-b5ea-4c31-b58e-6daa1143253c.png" width="12"/>等于{{c1::（）}}。	0.8<em>l</em><br>0.9<em>l</em><br><em>l</em><br><img height="44" id="图片 9" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4072148c-3d49-4ce9-8517-1da1fff717b2.png" width="152"/>	B	根据《钢结构设计规范》（GB 50017—2003）第5.3.1条的规定，双等肢角钢组成的十字形截面杆件，因截面主轴不在桁架平面内，有可能在斜平面失稳，因此其计算长度略作折减。由双等肢角钢组成十字形截面杆件其折减系数为0.9。
10. 梯形屋架的端斜杆和受较大节间荷载作用的屋架上弦杆的合理截面形式是两个{{c1::（）}}。	等肢角钢十字相连<br>不等肢角钢相连<br>等肢角钢相连<br>不等肢角钢长肢相连	C	上、下弦杆由纵筋组成，腹杆由箍筋和斜裂缝之间的混凝土受压斜杆组成。根据空间桁架理论，对于上弦杆，宜采用两个不等边角钢短肢相连或两个等边角钢相连的T形截面，这样能基本符合等稳定性条件，便于连接支撑和放置屋面板或檩条。当上弦（或下弦）有节间荷载时，为了提高抗弯能力，宜采用两个等边角钢相连或两个不等边角钢长肢相连的T形截面。
11. 有重级工作制吊车的厂房，屋架间距和支撑节点间距均为6m，屋架的下弦交叉支撑的断面应选择{{c1::（）}}。	<img height="20" id="图片 8" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/95605efa-3c3a-48da-a9ba-c0a0a5a31870.png" width="108"/><br><img height="20" id="图片 7" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4620fbe3-99d3-42d7-8d31-5386cb775316.png" width="109"/><br><img height="20" id="图片 6" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3de31149-62b3-4747-8b52-67843d9f086b.png" width="109"/><br><img height="20" id="图片 5" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d15b8090-48b7-443a-a38d-000adcadab86.png" width="109"/>	C	根据《钢结构设计规范》（GB 50017—2003）第5.3.9条表5.3.9的规定，有重级工作制吊车的厂房，支撑拉杆的允许长细比<img height="23" id="图片 4" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ca03c3f6-a803-4e13-b9eb-53146fb3ef07.png" width="59"/>带入公式：<img height="20" id="图片 3" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bc8fda06-e099-4f49-8923-35befe09d652.png" width="51"/>，得回转半径为：<img height="20" id="图片 2" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ad8678ac-d954-4981-9111-ed0f45634953.png" width="165"/>。
