1. 利用高程为9.125m水准点，测设高程为8.586m的室内±0地坪标高，在水准点上立尺后，水准仪瞄准该尺的读数为1.462m，问室内立尺时，尺上读数是以下哪项时可测得正确的±0标高？{{c1::（）}}[2010年真题]	2.001m<br>0.923m<br>0.539m<br>1.743m	A	利用高差法原理，设<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/65352959-78fe-4927-85c2-25a7e2fef580.png" width="79"/>m，<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/32f01000-5d4e-46ee-812e-7a7d22af30f4.png" width="79"/>m。则<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/533a61ad-ae8e-4ef9-9ec5-cc004f1791de.png" width="161"/>8.586-9.125=-0.539m，又<em>a</em>=1.462m，则<em>b</em>=<em>a</em>-<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31fc99e4-316f-45bc-b95e-04ace6910171.png" width="25"/>=1.462-（-0.539）=2.001m。
2. 测量工作中视差产生的原因是{{c1::（）}}。[2010年真题]	气流影像<br>监测目标太远<br>仪器轴系误差<br>监测点影像与十字丝分划板不重合	D	水准仪在一个测站时的基本操作顺序为：安置仪器、粗略整平、瞄准水准尺、精确整平和读数五个步骤。需要注意的是，在瞄准目标时，当眼睛在目镜端上下移动，如发现十字丝和物像有相对的移动，说明仪器存在视差，它将影响读数的精确性，必须加以消除，瞄准是把望远镜对准水准尺，进行目镜和物镜调焦，使十字丝和水准尺成像十分清晰，消除视差，以便在尺上进行正确读数。方法是再仔细反复调节对光螺旋，直到物像与十字丝分划板平面重合为止。具体操作方法如下：转动目镜，进行调焦，使十字丝十分清晰。
3. 水准仪使用的操作步骤是{{c1::（）}}。	对中→整平→瞄准→读数<br>对中→精平→瞄准→读数<br>对中→粗平→瞄准→读数<br>粗平→瞄准→精平→读数	D	水准仪使用时主要包括4个步骤，依次为粗平、瞄准、精平和读数。粗平，即用脚螺旋使圆气泡居中，以达到竖轴铅直，视准轴粗略水平；瞄准，即用望远镜瞄准标尺，通过目镜对光和物镜对光，达到十字丝、标尺刻划和注记数字清晰，并消除视差；精平，即用微倾螺旋使水准管气泡居中，以达到视准轴精确水平；读数，即读取中央横丝所截标尺高度，依次读出米、分米、厘米和估读毫米，读数后检查水准管气泡是否仍居中。
4. DS<sub>3</sub>型微倾式水准仪的主要组成部分是{{c1::（）}}。	物镜、水准管、基座<br>望远镜、水准管、基座<br>望远镜、三角架、基座<br>仪器箱、照准器、三角架	B	水准仪有DS<sub>05</sub>、DS<sub>1</sub>、DS<sub>2</sub>、DS<sub>3</sub>、DS<sub>10</sub>等多种。下标05、1、2、3、10代表该仪器的精度，即每千米水准测量的中误差值（以mm计）。微倾式水准仪主要由望远镜、支架、水准管和基座四部分组成。
5. 水准测量中设M点为后视点，N为前视点，M点的高程是59.053m，当后视读数为1.026m，前视读数为1.156m，则N点的高程是{{c1::（）}}。	59.183m<br>58.923m<br>59.138m<br>58.329m	B	由水准测量原理高差法公式：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6a626bf6-bf4c-4955-9c20-f06444c7b50f.png" width="184"/>，a为高程点M的水准尺读数，称为后视读数；b为高程点N的水准尺读数，称为前视读数；<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0b7241f2-fc4c-4f5b-8ec1-34c0f86014d8.png" width="28"/>为N点对M点的高差；<em>H</em><sub>M</sub>为已知高程点。故N点高程：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/61740cee-5b27-4314-811d-4d3195e4c14c.png" width="265"/>。
6. 闭合导线（n段）角度（<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/04829964-22c3-4268-a9d5-5413ce79a9b5.png" width="19"/>）闭合差校核公式是{{c1::（）}}。	<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a2b4f86c-71b1-4fc2-b1c4-c883a5ddbcab.png" width="88"/>容许值<br><img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/aedbe7e4-bb6a-4540-b7f6-d75b90b7b2a4.png" width="159"/>容许值<br><img height="22" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/eeb15a5f-f221-43d6-aec9-02d778ada5a0.png" width="78"/>容许值<br><img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2737c22-0f5f-4b0d-9756-c129151b3ab7.png" width="166"/>容许值	D	角度闭合差的计算：n边形内角之和应为（n-2）×180°，因此，闭合导线内角和的理论值应为<img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/07cbfa9c-a693-4e82-a0e1-583f391ef6da.png" width="143"/>。由于导线水平角观测中不可避免地含有误差，使内角之和不等于理论值，而产生角度闭合差，即<img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2ada3777-1dcf-4436-af68-4447a417d558.png" width="125"/>，所以闭合差校核公式为<img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8a862c05-793c-4f27-b24b-827c1b806610.png" width="165"/>容许值。角度闭合差的调整：容许角度闭合差为<img height="28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2ace8d5d-40bc-4fa8-bd38-3c476df63a4f.png" width="97"/>当<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e132b0cd-f55e-415d-9b11-5d695a6818f6.png" width="52"/>，按“反号平均分配”的原则改正各观测角，应满足：<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/48c341e8-07d1-42e4-8fb0-ef1d1d35a9f7.png" width="158"/>。
7. 水准测量是测得前后两点高差，通过其中一点的高程，推算出未知点的高程。测量是通过水准仪提供的什么来测量的？{{c1::（）}}	视准轴<br>水准管轴线<br>水平视线<br>铅垂线	C	水准测量的原理是利用水准仪提供的水平视线，在竖立在两点上的水准尺上读数，以测定两点间的高差，从而由已知点的高程推算未知点的高程。读出竖立在两点上的水准尺上读数a、b，则该两点间高差为：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/89452f97-6caa-4a8d-8700-19ea86061c9d.png" width="25"/>=a-b=后视读数-前视读数。
8. 视准轴是指下列哪项的连线？{{c1::（）}}	目镜中心与物镜中心<br>目镜中心与十字丝中央交点<br>十字丝中央交点与物镜中心<br>十字丝中央交点与物镜光心	D	望远镜物镜光心与十字丝中心交点的连线，称为视准轴，用CC表示。同时在测量中要求视准轴与水平轴正交，与横轴垂直。在水准仪的精平中使水准管气泡居中，使望远镜的视准轴处于水平位置。
9. 水准管分划值的大小与水准管纵向圆弧半径的关系是{{c1::（）}}。	成正比<br>成反比<br>无关<br>成平方比	B	水准管分划值是指水准管上相邻两分划线间的圆弧（一般弧长为2mm）所对的圆心角的角度值，其计算公式为：<img border="0" height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/438949cf-a022-49da-b406-6517eeb6b703.png" width="61"/>，所以水准管分划值的大小与水准管纵向圆弧半径是成反比关系的。
10. 进行往返路线水准测量时，从理论上说<img border="0" height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bda83302-0813-4e0e-87dc-dc5e3e8eba3b.png" width="36"/>与<img border="0" height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a493ebb6-77be-43e6-8dce-aa5118cb2181.png" width="36"/>之间应具备的关系为{{c1::（）}}。	符号相反，绝对值不等<br>符号相反，绝对值相等<br>符号相同，绝对值相等<br>符号相同，绝对值不等	B	水准路线是指在水准点之间进行水准测量所经过的路线，其布设形式分为三种；①闭合水准路线；②附合水准路线；③支水准路线。支水准路线是指从某一已知高程的水准点出发，沿某一路线，测定若干个高程待定的水准点，其路线不闭合又不附合，一般需往返观测。支水准路线中一般需往返观测，由于往返观测的高差方向相反，因此，往测高差总和∑h<sub>往</sub>与返测高差总和∑h<sub>返</sub>两者的绝对值应相等而符号相反，即往、返测得高差的代数和在理论上应等于零。故其往测高差理论值应和其返测高差理论值绝对值相等，符号相反：<img border="0" height="28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2d228c99-1082-4cfb-a4bb-2d019d0f466a.png" width="104"/>，其高差闭合差为：<img border="0" height="28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/83d98f22-ff47-4b04-9315-ca1e4c92da47.png" width="125"/>。
11. 水准仪应满足的几何条件不包括{{c1::（）}}。	圆水准轴L<sup>′</sup>L<sup>′</sup><sub>1</sub>∥竖轴VV<sub>1</sub><br>十字丝横丝⊥竖轴VV<sub>1</sub><br>水准管轴LL<sub>1</sub>∥视准轴CC<sub>1</sub><br>视准轴CC<sub>1</sub>⊥横轴HH<sub>1</sub>	D	水准仪检验和校正时，进行水准测量时，水准仪必须提供一条水平视线，据此在水准尺上读数，才能正确测定两点间的高差；水准仪在构造上应满足水准管轴平行于视准轴这个主要条件。只有上述条件满足，当水准管气泡居中时，视准轴才处于水平位置；为了进行水准测量时工作上的方便，水准仪在构造上还应该满足圆水准轴平行于纵轴的条件。综上可知其几何条件，应满足：①圆水准轴平行于竖轴（L<sup>′</sup>L<sup>′</sup><sub>1</sub>∥VV<sub>1</sub>）；②十字丝横丝垂直于竖轴；③水准管轴平行于视准轴（LL<sub>1</sub>∥CC<sub>1</sub>）。
