1. 量测了边长为<em>a</em>的正方形每条边，一次量测精度是<em>m</em>，则周长中误差<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ba96c0f8-54d7-4442-91ed-e55ccba3310a.png" width="21"/>是{{c1::（）}}。[2010年真题]	<em>m</em><br><img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/baf63f2a-9812-4b1b-a544-0c0f18fe60b1.png" width="36"/><br>2<em>m</em><br>4<em>m</em>	C	根据误差的传播定律，函数关系式为<em>C=a+a+a+a</em>，属于和差函数，其中误差为<img height="31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/decfb579-54a7-45eb-8db6-b79b7300d10f.png" width="377"/>，即正方形周长中误差为<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ba96c0f8-54d7-4442-91ed-e55ccba3310a.png" width="21"/>=2<em>m</em>。
2. “从整体到局部、先控制后细部”是测量工作应遵循的原则，遵循这个原则的要求包括下列何项？{{c1::（）}}	防止测量误差的积累<br>提高观察值精度<br>防止观测误差积累<br>提高控制点精度	C	任何测量工作都存在着误差，如果从一点开始逐步测量，误差就会渐渐积累，最后会达到不可容忍的程度，故而为防止观测误差积累，在测绘上，讲究在测区内先选取一部分具有控制意义的点，采用较高精度的测量手段测取这部分点的坐标，然后以这些点为基础，对测区进行测量，这样使得精度有了保障，并且测区精度分布均匀。即从整体到局部，整体控制，局部测量，而控制测量的精度，也是先高精度，然后低精度，一级一级的来布设。
3. 测量误差按其对测量结果影响的性质，可分为{{c1::（）}}。	瞄准误差和读数误差<br>偶然误差和系统误差<br>对中误差和整平误差<br>读数误差和计算误差	B	观测值与客观存在的真值之差称为测量真误差。在相同的观测条件下，对某一量进行一系列的观测，如果出现的误差符号、大小均相同，或按一定规律变化，这种误差称为系统误差；如果其误差大小和符号没有一致的倾向性，表现为偶然性，但从整体上看，大量观测误差具有偶然事件的统计规律，这种误差称为偶然误差。有时某些量无法得到真值，常采用平均值作为该量的最可靠值，称为最或是值，又称似真值。观测值与平均值之差称为最或是误差，又称似真误差。测量误差按性质分为系统误差与偶然误差。
4. 在1:500地形图上，量得某直线AB的水平距离d=50.5mm，<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/56d08edc-87b4-49a2-81e5-780e798bc7eb.png" width="77"/>，AB的实地距离可按公式<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0aaca6ce-18c9-4ee5-a478-8514d7208349.png" width="53"/>进行计算，则s的误差m等于{{c1::（）}}。	±0.1mm<br>±0.2mm<br>±0.05mm<br>±0.1m	D	如果某线性函数只有一个自变量（<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5846c49a-b04f-43b0-947a-390dfb85dfeb.png" width="47"/>），则称为倍数函数。按照误差传播定律，则倍数函数的中误差为：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6677296b-6546-4c04-ba9e-1bbe1c25076c.png" width="64"/>。由于比例尺的关系，实际两点距离和图中两点距离成倍数关系。得:<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1ae8ff64-b5b1-43b8-958f-7183831955d8.png" width="23"/>=±0.2×0.5×100mm=±0.1m。
5. 某电磁波测距仪的标称精度为±(3+3ppm)mm，用该仪器测得500m距离，如不顾及其他因素影响，则产生的测距中误差为{{c1::（）}}。	±l8mm<br>士3mm<br>±4.5mm<br>±6mm	C	测程在5km以内的距离的仪器，称为短程红外测距仪。它包括主机、电池和反光镜等。光电测距仪的精度，通常用标称精度来表征，即<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/26cc0011-f2be-4b21-8061-6072f646d711.png" width="24"/>=±（A+B·D）。<br/>式中，A为与距离无关的固定误差；B为与距离D成正比的比例误差。因此，测距中误差为：<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/06c0e43f-8ff0-4046-8ee2-bca820c89aff.png" width="105"/>，即<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2c71f62c-7a83-4dcc-b67d-129e0e2d6a39.png" width="224"/>。
6. 测量误差按其性质可分为{{c1::（）}}。	平均误差、相对误差<br>允许误差、过失误差<br>中误差、极限误差<br>系统误差、偶然误差	D	观测值与客观存在的真值之差称为测量真误差。某些量无法得到真值，常采用平均值作为该量的最可靠值，称为最或是值，又称似真值。观测值与平均值之差称为最或是误差，又称似真误差。在相同的观测条件下，对某一量进行一系列的观测，如果出现的误差符号、大小均相同，或按一定规律变化，这种误差称为系统误差，例如尺长改正值、水准仪i角的影响等。如果出现的误差符号、大小成无规律变化，可知误差为偶然误差。
7. 水准测量时，水准尺倾斜引起的读数误差属于{{c1::（）}}。	偶然误差<br>系统误差<br>粗差<br>相对误差	B	在相同观测条件下对某量进行多次观测，其误差大小与符号保持不变或按一定规律变化，这种误差称为系统误差。在相同观测条件下对某量进行多次观测，其误差大小和符号没有一致的倾向性，表现为偶然性，但从整体上看，大量观测误差具有偶然事件的统计规律，这种误差称为偶然误差，亦称随机误差。
8. 偶然误差的特性是{{c1::（）}}。<br/>（1）累积性；（2）有界性；（3）小误差密集性；（4）符号一致性；（5）对称性；（6）抵偿性。	（1）（2）（4）（5）<br>（2）（3）（5）（6）<br>（2）（3）（4）（6）<br>（3）（4）（5）（6）	B	误差符号、大小成无规律变化等可知误差称为偶然误差。偶然误差的特性包括：①偶然误差的绝对值不超过一定的界限，即有界性；②绝对值小的误差比绝对值大的误差出现的或然率大，即小误差密集性；③绝对值相等的正、负误差出现的或然率相等，即对称性；④当观测次数趋于无穷大时，偶然误差的算术平均值的极限为零，即抵偿性。
9. 若水准尺上一次观测的中误差为±1.0mm，则采用两次仪器高法测得的每站高差中误差为{{c1::（）}}mm。	±4.0<br>±2.0<br>±1.0<br>±0.5	C	高差h=a-b，m<sub>a</sub>=m<sub>b</sub>=±1.0mm，故<img height="32" id="图片 10" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f4897ae4-da8c-4ab3-a482-4b896d10e5c2.jpg" width="226"/>，又因为属于高差测量的误差，求得高差中误差<img height="39" id="图片 9" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1948dd0d-0559-4cc9-96ec-61f206fe759b.jpg" width="166"/>。
10. 已知经纬仪一测回的方向中误差为±6<sup>″</sup>，用此经纬仪观测一三角形的所有内角，各角均采用一测回观测，则三角形的角度容许闭合差为{{c1::（）}}。	±10<sup>″</sup><br>±15<sup>″</sup><br>±21<sup>″</sup><br>±30<sup>″</sup>	D	三角形闭合f=180°-α-β-γ，α、β、γ均是一测回两方向平均读数之差，<img height="28" id="图片 8" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fd7f172c-fffd-47e7-87e7-820431824da0.png" width="344"/>则三角形的角度容许闭合差取2m<sub>f</sub>=±30。
11. 观测三角形内角3次，求得三角形闭合差分别为+8<sup>″</sup>、-10<sup>″</sup>和+2<sup>″</sup>，则三角形内角和的中误差为{{c1::（）}}。	±6.7<br>±7.5<br>±9.2<br>±20	B	中误差是指有限次观测的偶然误差求得的标准差，即三角形内角和的中误差为：<img height="42" id="图片 7" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4f70dd81-3ed9-4e7d-bad0-0538f96b179e.jpg" width="455"/>。
