1. 设A是m阶矩阵，B是n阶矩阵，行列式<img height="49" id="图片 586" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c5d50ec8-edcf-49af-82ec-138cd77f4611.jpg" width="49"/>等于（　　）。[2010年真题]
2. 设A、B为三阶方阵，且行列式<img height="29" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1966a933-6fd7-4ac4-8e3e-b35ecb73da10.png" width="60"/>，|B|=2，A*为A的伴随矩阵，则行列式|2A*B<sup>-1</sup>|等于（　　）。[2014年真题]
3. 设<img height="70" id="图片 594" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cd16f9d2-978e-4c40-873c-9cce440568df.jpg" width="128"/>，则A<sup>-1</sup>=（　　）。[2011年真题]
4. 设3阶矩阵<img border="0" height="110" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-22/aeb281a9-ed7c-4786-be22-d25844893e05.jpg" style="width:152px;height:110px;float:none;" title="1.jpg" vspace="0" width="152"/>，已知A的伴随矩阵的秩为1，则a=（　　）。[2011年真题]
5. 设α<sub>1</sub>，α<sub>2</sub>，α<sub>3</sub>，β是n维向量组，已知α<sub>1</sub>，α<sub>2</sub>，β线性相关，α<sub>2</sub>，α<sub>3</sub>，β线性无关，则下列结论中正确的是（　　）。[2012年真题]
6. 已知向量组α<sub>1</sub>=（3，2，-5）<sup>T</sup>，α<sub>2</sub>=（3，-1，3）<sup>T</sup>，<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/19c4a5a8-0603-4d8e-b772-ad611776ad96.jpg" width="126"/>，α<sub>4</sub>=（6，-2，6）<sup>T</sup>，则该向量组的一个极大线性无关组是（　　）。[2013年真题]
7. 已知n元非齐次线性方程组Ax=B，秩r（A）=n-2，α<sub>1</sub>，α<sub>2</sub>，α<sub>3</sub>为其线性无关的解向量，k<sub>1</sub>，k<sub>2</sub>为任意常数，则Ax=B的通解为（　　）。[2014年真题]
8. 若非齐次线性方程组Ax=b中，方程的个数少于未知量的个数，则下列结论中正确的是（　　）。[2013年真题]
9. 齐次线性方程组<img height="49" id="图片 604" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0abc1948-d789-4583-a0ab-a00908d85319.jpg" width="117"/>的基础解系为（　　）。[2011年真题]
10. <span style="font-size:14px">已知矩阵<img src="http://admintk.100xuexi.com/UpLoadImage/2016-08-16/e8fb3495-439b-4aa9-8980-65ea49a4d999.png" title="1.png"/></span><span style="font-size:14px">与<img src="http://admintk.100xuexi.com/UpLoadImage/2016-08-16/e1cfaad6-4e57-46f5-9227-495dba122041.png" title="2.png"/></span><span style="font-size:14px">相似，</span>则λ等于（　　）。[2013年真题]
11. 已知n阶可逆矩阵A的特征值为λ<sub>0</sub>，则矩阵（2A）<sup>-1</sup>的特征值是（　　）。[2012年真题]
12. 设A是3阶矩阵，P=（α<sub>1</sub>，α<sub>2</sub>，α<sub>3</sub>）是3阶可逆矩阵，且<img height="72" id="图片 610" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bfd482b1-281a-4ca6-8cb0-86f46cabe427.jpg" width="134"/>，若矩阵Q=（α<sub>2</sub>，α<sub>1</sub>，α<sub>3</sub>），则Q<sup>-1</sup>AQ=（　　）。[2011年真题]
13. 要使得二次型<img height="32" id="图片 615" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c474284e-c5df-48ff-9738-82bfad40b956.jpg" width="414"/>为正定的，则t的取值条件是（　　）。[2012年真题]
14. 已知<img height="74" id="图片 617" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8f025e14-5d26-4230-9fd8-9aae9a5284dd.jpg" width="275"/>的值为（　　）。
15. <img height="95" id="图片 622" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6820c097-b1ba-47ca-9f68-60f683b0a88b.jpg" width="276"/>是x的多项式，其可能的最高方次是（　　）。
16. 设A是3阶矩阵，矩阵A的第1行的2倍加到第2行，得矩阵B，则下列选项中成立的是（　　）。
