1. 理想气体的压强公式是{{c1::（）}}。[2010年真题]	<img height="36" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7488a42f-68c5-4a3c-bf5c-46470e17b9a6.png" width="75"/><br><img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8e2acc5d-ed83-4119-b879-4653855c4934.png" width="74"/><br><img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8272442c-0007-45b0-9214-d7b7c752666f.png" width="81"/><br><img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/90792ad2-eb62-4a93-a393-67e47f8a553e.png" width="72"/>	C	理想气体的压强公式为：<img height="38" id="图片 726" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fbb1bce7-48da-4142-abd9-dfabd16eda8d.jpg" width="173"/>，其中<img height="40" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/16e96be5-8f5e-4817-8154-813612aa3c5d.jpg" width="94"/>是分子平均平动动能，所以<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3b04e54f-911e-46a0-aaf3-294a4910dc0c.jpg" width="82"/>。
2. 在标准状态下，当氢气和氦气的压强与体积都相等时，氢气和氦气的内能之比为{{c1::（）}}。[2014年真题]	5/3<br>3/5<br>1/2<br>3/2	A	由<img height="40" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5605dd7a-4eca-4799-929c-6a627460b371.jpg" width="165"/>，注意到氢为双原子分子，氦为单原子分子，即i（H<sub>2</sub><sub>）</sub>=5，i（H<sub>e</sub>）=3；又p（H<sub>2</sub>）=p（H<sub>e</sub>），V（H<sub>2</sub>）=V（H<sub>e</sub>），故<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ce3211d2-06ea-49fc-960c-c7051ac5a900.jpg" width="148"/>。
3. 一瓶氦气和一瓶氮气它们每个分子的平均平动动能相同，而且都处于平衡态，则它们{{c1::（）}}。[2013年真题]	温度相同，氦分子和氮分子的平均动能相同<br>温度相同，氦分子和氮分子的平均动能不同<br>温度不同，氦分子和氮分子的平均动能相同<br>温度不同，氦分子和氮分子的平均动能不同	B	根据分子平动原理，分子平均平动动能<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/188d6c4a-0685-4f10-8020-0ef516155459.jpg" width="75"/>，若平均平动动能相同，则温度相同；分子平均动能=（平均平动动能+平均转动动能）=<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/72b69ddc-a18b-4394-b7d5-483e9e267a6b.jpg" width="37"/>。而氦分子为单原子分子，没有转动动能，i=3；氮分子为双原子分子，i=5，故氦分子和氮分子的平均动能不同。
4. 一定量的刚性双原子分子理想气体储于一容器中，容器的容积为V，气体压强为p，则气体的动能为{{c1::（）}}。[2010年真题]	<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fd4becc7-631d-46c5-bc1b-53b687852aeb.png" width="36"/><br><img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4c234a2-1e89-4b8e-8990-74c6114ebb25.png" width="35"/><br><img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/121f9f2e-1df3-4d69-9e27-d0af2dde7d12.png" width="38"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3aa8bad1-f278-4775-896b-6c053521ef9e.png" width="24"/>	B	单个分子的平均平动动能是<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/08c40095-8a02-413c-a8a6-3c5b99e34863.jpg" width="71"/>，刚性双原子分子的自由度i=5。根据理想气体的微观模型，理想气体是指分子间没有相互作用和分子可以看成没有大小的质点，因此分子间的势能不计，这样理想气体的内能就是所有分子的各种动能之和。设分子总数是N，则动能<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e2d639db-99b6-4aab-ba2c-85f816d536ff.jpg" width="194"/>，由理想气体状态方程<img height="33" id="图片 736" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e6e53286-5f8b-4a77-8816-d50ddc4b8280.jpg" width="66"/>可得，<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/42256035-b622-49e3-bc82-691d0327f418.jpg" width="103"/>。
5. 最概然速率v<sub>p</sub>的物理意义是{{c1::（）}}。[2013年真题]	vp是速率分布中最大速率<br>vp是大多数分子的速率<br>在一定的温度下，速率与vp相近的气体分子所占的百分率最大<br>vp是所有分子速率的平均值	C	概然速率是由麦克斯韦速率分布函数求导为零所得的速率，即<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c33290bc-ddc8-4c09-9b4f-542983fc8e89.jpg" width="63"/>，则最概然速率为：<img height="42" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/61205361-16bc-4a8a-8b6a-52f5563b0d24.jpg" width="134"/>。由分布函数含义可知，最概然速率是指在一定的温度下，速率与v<sub>p</sub>相近的气体分子所占的百分率最大。
6. 有1mol刚性双原子分子理想气体，在等压过程中对外做功为W，则其温度变化ΔT为{{c1::（）}}。[2014年真题]	R/W<br>W/R<br>2R/W<br>2W/R	B	等压过程中，p=恒量，W=PΔV，利用状态方程pV=RT，有：W=RΔT，<img height="31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/783fe2db-c1b5-4ca0-82a1-6b4c1b69d30a.png" width="45"/>。
7. 气体做等压膨胀，则{{c1::（）}}。[2013年真题]	温度升高，气体对外做正功<br>温度升高，气体对外做负功<br>温度降低，气体对外做正功<br>温度降低，气体对外做负功	A	根据pV=nRT，其他条件不变，等压膨胀时，温度升高，压强不变，体积增大，<img height="46" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cf9a0a29-8634-4a2d-9d6a-5d190d315275.jpg" width="230"/>，气体对外做正功。
8. 一定量的理想气体由a状态经过一过程到达b状态，吸热为335J，系统对外作功为126J；若系统经过另一过程由a状态到达b状态，系统对外作功为42J，则过程中传入系统的热量为{{c1::（）}}。[2012年真题]	530J<br>167J<br>251J<br>335J	C	题中两过程都是由a状态到达b状态，内能是状态量，又因一定量理想气体的内能增量只取决于系统的初、终态，而与联系初、终态的过程无关。故该系统内能增量ΔE相同，并由热力学第一定律Q=（E<sub>2</sub>-E<sub>1</sub>）+W=ΔE+W得：Q<sub>1</sub>-W<sub>1</sub>=Q<sub>2</sub>-W<sub>2</sub>，即335－126=Q<sub>2</sub>－42，可得Q<sub>2</sub>=251J。
9. 1mol理想气体从平衡态2P<sub>1</sub>、V<sub>1</sub>沿直线变化到另一平衡态P1、2V1，则此过程中系统的功和内能的变化是{{c1::（）}}。[2011年真题]	W＞0，VE＞0<br>W＜0，VE＜0<br>W＞0，VE=0<br>W＜0，VE＞0	C	由于PV=恒量，故该理想气体变化为等温过程变化。因T<sub>1</sub>=T<sub>2</sub>，故内能的变化为：<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f6286fef-a196-4f25-9154-97e91de29806.jpg" width="208"/>。<br/>又此过程中系统的功为：<img height="60" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3096d960-d06f-45a0-9e19-1bbb87c560c7.jpg" width="365"/>，即体积单向增大，W＞0。
10. 理想气体在等温膨胀过程中{{c1::（）}}。[2014年真题]	气体做负功，向外界释放热量<br>气体做负功，向外界吸收热量<br>气体做正功，向外界释放热量<br>气体做正功，向外界吸收热量	D	系统吸收或放出的热量等于系统内能增量与系统对外做功之和。理想气体的内能是温度的单值函数，等温膨胀过程中内能不变，理想气体膨胀对外界做功，因此从外界吸收热量Q。由热力学第一定律可知，等温过程系统吸热全部用来对外做功A（A>0）。
11. 一定量理想气体由初态（P<sub>1</sub>，V<sub>1</sub>，T<sub>1</sub>）经等温膨胀到达终态（P<sub>2</sub>，V<sub>2</sub>，T<sub>1</sub>），则气体吸收的热量Q为{{c1::（）}}。[2013年真题]	<img border="0" height="50" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2016-07-21/7cf15cf8-a791-4e11-aae3-f4e5a3e59f0e.jpg" style="float:none;width:124px;height:50px;" title="1.jpg" vspace="0" width="124"/><br><img border="0" height="50" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2016-07-21/9b1e2bc2-288c-435d-947b-b073e5b1764e.jpg" style="width:119px;height:50px;float:none;" title="2.jpg" vspace="0" width="119"/><br><img border="0" height="50" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2016-07-21/46d28144-b024-4f3c-89db-c40c6daba131.jpg" style="width:116px;height:50px;float:none;" title="3.jpg" vspace="0" width="116"/><br><img border="0" height="50" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2016-07-21/646bdd97-781d-473d-8b75-1015d06216e5.jpg" style="width:123px;height:50px;float:none;" title="4.jpg" vspace="0" width="123"/>	A	气体吸收的热量，一部分用来对外做功，一部分用来增加内能，即Q=ΔE+W，其中<img height="29" id="图片 745" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c2672cef-d934-44f0-b38e-f3d18a6338c6.jpg" width="77"/>，等温变化过程中，ΔE=0，<img height="43" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/72d7df7c-7c94-41fd-bf6a-961922d015f6.png" width="356"/>。
