1. 一横波的波动方程是<img height="32" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2ebf9130-3648-47eb-a4ec-582be5f6a996.png" width="275"/>距离原点（x=0）处最近的波峰位置为{{c1::（）}}。[2014年真题]	±2.5m<br>±7.5m<br>±4.5m<br>±5m	A	t=0.25s时，波形为：<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/80fa32ff-702f-4d67-b212-04dd79b8fde0.png" width="185"/>波峰位置即质点振幅最大的位置。波峰位置的条件为：<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/40e53891-ff42-4871-8637-4e476551bc40.png" width="124"/>（k=0，±1，±2……），则距离原点x=0处最近的波峰位置为±2.5m。
2. 一横波沿一根弦线传播，其方程y=-0.02cosπ（4x-50t）（SI），该波的振幅与波长分别为{{c1::（）}}。[2013年真题]	0.02cm，0.5cm<br>-0.02m，-0.5m<br>-0.02m，0.5m<br>0.02m，0.5m	D	沿x轴正向传播的波动方程表达式为：<img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fc4894af-17d1-4689-8172-4857fe560f45.jpg" width="184"/>因为<img height="31" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ac03f884-448b-4c36-ad3b-79696032dec6.jpg" width="47"/>，<br/>波动方程可写为：<img height="32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/62891b05-5767-4c83-b379-3f7ab7c22125.png" width="320"/><br/>故振幅为0.02m，波速为u=12.5m/s，周期为<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4f90063-d655-4cec-a668-5514be5c99f5.jpg" width="92"/>，波长为<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d1a4463c-40e4-41e7-ad00-9db7f0feb8f3.png" width="147"/>
3. 一平面简谐波的波动方程为<img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/80eae880-32ea-4196-adcd-92140370ece6.png" width="213"/>则在t=0.25s时处于平衡位置，且与坐标原点x=0最近的质元的位置是{{c1::（）}}。[2012年真题]	x=±5m<br>x=5m<br>x=±1.25m<br>x=1.25m	C	在t=0.25s时刻，处于平衡位置，y=0，由简谐波的波动方程<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9166ed04-6aad-4476-b7f0-14891c9848fb.png" width="234"/>可知，<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4bc414b3-293b-411f-968b-2cd322f28888.png" width="168"/>则<img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/61ecabd2-9e92-4684-b26a-e1a108b0b6f4.png" width="212"/>（k=0，±1，±2，Λ），由此可得<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/97afd783-5715-4826-964b-4fdcb659aa2c.png" width="91"/>当x=0时，<img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a77f7225-2172-483d-a7c9-9f39b2b092ca.png" width="37"/>所以k取4或5，x=±1.25时，与坐标原点x=0最近。
4. 一平面简谐波沿x轴正向传播，振幅A=0.02m，周期T=0.5s，波长λ=100m原点处质元初相位φ=0，则波动方程的表达式{{c1::（）}}。[2012年真题]	<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/889f0039-c996-4180-8d3f-d50fd84b5c87.jpg" width="84"/><br>y=0.02cos2π（2t-0.01x）（SI）<br><img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b8b55603-4915-4b61-a955-9bde9aa7637e.jpg" width="84"/><br>y=0.002cos2π（2t-100x）（SI）	B	沿x轴正向传播的波动方程表达式为：<br/><img height="42" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6e4d1d4d-f1ce-4ece-b694-c1275ad3a79e.png" width="344"/><br/>故波动方程写为：<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8ef4ed5d-abb7-473e-affe-71d609eec91b.jpg" width="205"/>，A=0.02m，T=0.5s，λ=100m且φ<sub>0</sub>=0，将上述条件带入，则得：y=0.02cos2π（2t-0.01x）（SI）。
5. 一平面简谐波的波动方程为y=0.01cos10π（25t-x）（SI），则在t=0.1s时刻，x=2m处质元的振动位移是{{c1::（）}}。[2011年真题]	0.01cm<br>0.01m<br>-0.01m<br>0.01mm	C	波动方程的意义有：①当x一定时，波动方程表示坐标为x的质点的振动方程；②当t一定时，波动方程表示t时刻各质点的位移。故在t=0.1s时刻，x=2m处质元的振动位移是：y=0.01cos10π（25t-x）=0.01cos10π（25×0.1-2）=-0.01m。
6. 在波的传播方向上，有相距为3m的两质元，两者的相位差为<img height="38" id="图片 878" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/68570ce0-d1a6-4d39-a6d4-1f331d1b9fb3.jpg" width="19"/>，若波的周期为4s，则此波的波长和波速分别为{{c1::（）}}。[2011年真题]	36m和6m/s<br>36m和9m/s<br>12m和6m/s<br>12m和9m/s	B	已知<img height="38" id="图片 879" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fcc4ce97-442f-4fe9-ac27-859e6976338e.jpg" width="58"/>，两质元Δx=3m，<img height="32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/defe453c-93e3-4977-b070-d69ca8fd9d7e.png" width="63"/>则λ=36m。波速<img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d11147ba-3146-4406-89bb-13a3141c0288.png" width="90"/>
7. 一列机械横波在t时刻的波形曲线如图2-2-1所示，则该时刻能量处于最大值的媒质质元的位置是{{c1::（）}}。[2013年真题]<br/><span style="display:block;text-align:center;"><img height="169" id="图片 882" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0862d02f-d574-4105-99d6-235a9bde1e96.jpg" width="359"/></span><span style="display:block;text-align:center;">图2-2-1</span>	a<br>b<br>c<br>d	A	能量是守恒的，根据机械波能量的公式，质元的总机械能为：<img src="http://admintk.100xuexi.com/UpLoadImage/2016-07-28/187522ea-14c4-475c-b4e3-f2b07c1b5ba3.png" title="1.png"/>。<img src="http://admintk.100xuexi.com/UpLoadImage/2016-07-28/309c4f14-ad26-4f77-8a86-1f873b636baa.jpg" title="2.jpg"/><img src="http://admintk.100xuexi.com/UpLoadImage/2016-07-28/0ff39917-dbdb-4651-b5df-f19f0a9dec3e.png" title="3.png"/>时，在a点，<img src="http://admintk.100xuexi.com/UpLoadImage/2016-07-28/faa3ab75-af99-47e5-af47-53eb1299c989.png" title="4.png"/>时，取得最大值。
8. 对于机械横波而言，下面说法正确的是{{c1::（）}}。[2011年真题]	质元处于平衡位置时，其动能最大，势能为零<br>质元处于平衡位置时，其动能为零，势能最大<br>质元处于波谷处时，动能为零，势能最大<br>质元处于波峰处时，动能与势能均为零	D	对于机械横波，处在平衡位置的质点速度最大，故其动能达到最大。同时，因速度最大，质点间的距离拉得最开，所以势能也达到最大。而在波峰处，速度为0，动能为0，而这时质点间的距离为0，所以势能也为0。
9. 在波长为λ的驻波中，两个相邻的波腹之间的距离为{{c1::（）}}。[2013年真题]	λ/2<br>λ/4<br>3λ/4<br>λ	A	驻波为两个振幅、波长、周期皆相同的正弦波相向行进干涉而成的合成波。此种波的波形无法前进，因此无法传播能量。驻波通过时，每一个质点皆作简谐运动。各质点振荡的幅度不相等，振幅为零的点称为节点或波节，振幅最大的点位于两节点之间，称为腹点或波腹。根据驻波的特点，相邻的两个波节（或波腹）之间的距离等于半个波长，即λ/2。
10. 两人轻声谈话的声强级为40dB，热闹市场上噪声的声强级为80dB，市场上声强与轻声谈话的声强之比为{{c1::（）}}。[2012年真题]	2<br>20<br>102<br>104	D	声强级为<img height="41" id="图片 887" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7a6f9a8c-afdb-45fb-8703-0d15e2cb7dd8.jpg" width="72"/>，其中I<sub>0</sub>=10<sup>-12</sup>W/m<sup>2</sup>为测定基准，IL的单位为B（贝尔）。轻声谈话的声强级为40dB（分贝），dB为B（贝尔）的十分之一，即为4B（贝），<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ce3919d2-9708-424a-861a-5facf270a206.png" width="57"/>得I<sub>1</sub>=I<sub>0</sub>×10<sup>4</sup>W/m<sup>2</sup>，同理可得热闹市场上声强I<sub>2</sub>=I<sub>0</sub>×10<sup>8</sup>W/m<sup>2</sup>，可知市场上声强声与轻声谈话的声强之比：<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d7117434-7831-40c3-8b04-6afccd229f3a.jpg" width="127"/>。
11. 一声波波源相对媒质不动，发出的声波频率是υ<sub>0</sub>，设一观察者的运动速度为波速的<img height="38" id="图片 890" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/eb1e8f24-95fe-41f9-af9e-6a30ac3cc0fa.jpg" width="19"/>，当观察者迎着波源运动时，他接收到的声波频率是{{c1::（）}}。[2010年真题]	<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e48d8e85-c191-4cca-90cc-ceec162b2fba.png" width="29"/><br><img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/01f3f235-7415-4fc1-81a5-a545aa25f3ac.png" width="37"/><br><img height="18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a4e537cb-dde4-4963-973f-281616a5e0ea.png" width="22"/><br><img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/07d061d0-e5aa-4778-8552-2fc9b6254d9c.png" width="32"/>	D	设波源为S，观察者为B，当观察者迎着波源运动时，<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/29557634-274f-45f8-b3e6-2e9fe7f19c45.jpg" width="106"/>，其中u为波速，已知v<sub>B</sub>=u/2，所以<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c7dd419a-507b-48b7-b4da-4bc060bcd504.png" width="65"/>
