1. 三根等长，等糙率的并联管道，沿程水头损失系数相同，半径比为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c19c8bc9-7286-4e34-b371-f9269f3ba7a2.png" width="113"/>则通过的流量比为{{c1::（）}}。[2010年真题]	<br> <br> <br>	B	由于并联管道分流点与汇流点之间各管段水头损失皆相等，即<p style="text-align:center;text-indent:28px;text-align:center;"><img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/ad690685-9825-4fff-b3f0-42e384eac1b2.jpg" title="0.jpg"/>。</p><span style="font-size:14px">式中，<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/21da9aca-00d7-444e-9754-d8b3a480eb2a.jpg" title="1.jpg"/></span><span style="font-size:14px">，称为比阻，三根管道具有相同的糙率，且等长，其摩擦阻力系数λ相等。由题意可得：<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/71b0179e-53be-4f15-902e-a51f2b65b6ed.jpg" title="2.jpg"/></span><span style="font-size:14px">，<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/c4d90fe6-218f-4265-a258-d8b0ba558b67.jpg" title="3.jpg"/></span><span style="font-size:14px">。</span>
2. 作用水头相同时，孔口的过流量要比相同直径的管嘴过流量{{c1::（）}}。	大<br>小<br>相同<br>无法确定	B	小孔口的流量公式为：<img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b4283d93-bc86-4858-9846-1528386f0971.png" width="96"/>。管嘴的流量公式为：<img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5e669cb8-0207-44f0-a921-1ec9c44818d8.png" width="120"/>，式中，μ是小孔口的流量系数，一般为0.60～0.62，取μ=0.62。现引入管嘴的流量系数μ<sub>n</sub>，则μ<sub>n</sub>=1.32μ=0.82。由此可知，管嘴的流量系数大于孔口的流量系数。因此在相同的条件下管嘴的出流量约为孔口的1.32倍。
3. 如图1-4-1所示，直径为20mm，长5m的管道自水池取水并泄入大气中，出口比水池水面低2m，已知沿程水头损失系数λ=0.02，进口局部水头损失系数ξ=0.5，则泄流量Q为{{c1::（）}}L／s。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC110" height="186" id="图片 102" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/650bd929-34cb-4bd8-be89-6ba4a03e56df.jpg" width="268"/></span><span style="display:block;text-align:center;">图1-4-1</span>	0.088<br>0.190<br>0.099<br>0.077	D	短管的流量公式为：<img height="65" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0dd6831d-1be9-463c-bf6f-f378f4eb8877.png" width="301"/>。式中，<img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31e75dfa-e381-4d82-b8ee-9d1bca4aac18.png" width="33"/>为局部损失系数和。则该短管泄流量为： <img height="73" id="图片 101" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1502ea27-0ce4-4d2c-b68e-899adf685b9b.png" width="900"/>
4. 开口面积、作用水头相同的孔口与管嘴比较，正确关系的流量、流速是{{c1::（）}}。	孔口的流速、流量都大于管嘴<br>孔口的流速、流量都小于管嘴<br>孔口的流速大于管嘴、流量小于管嘴<br>孔口的流速小于管嘴、流量大于管嘴	C	孔口的流量公式为：<img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b4283d93-bc86-4858-9846-1528386f0971.png" width="96"/>。管嘴的流量公式为：<img height="26" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5e669cb8-0207-44f0-a921-1ec9c44818d8.png" width="120"/>，式中，μ是小孔口的流量系数。由此可知，在相同水头作用下，同样面积管嘴的过流能力是孔口的1.32倍。孔口外接短管，增加了阻力，但流量不减，反而增加，这是因为管嘴收缩断面处有真空作用，相当于把孔口出流的作用水头增加了。管嘴流速系数为0.82，孔口流速系数为0.97，故孔口的流速大于管嘴。
5. 如图1-4-2所示，水箱B底部安装有直径为d的管嘴，水箱A水深H=1.2m，通过直径相同的孔口以淹没出流的方式向水箱B供水，<span style="font-family:calibri, sans-serif;font-size:16px;">A</span><span style="font-size:16px;">、</span><span style="font-family:calibri, sans-serif;font-size:16px;">B</span><span style="font-size:16px;">水箱中水流的流量系数</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>1</span></sub></span><span style="font-size:16px;">，</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>2</span></sub></span><span style="font-size:16px;">的关系为</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>2</span></sub></span><span style="font-size:16px;">＝</span><span style="font-size:14px;font-family:'times new roman','serif'"><span style='font-family:"times new roman", serif;font-size:16px;'>1.32μ</span><sub><span style='font-family:"times new roman", serif;font-size:16px;'>1</span></sub></span><span style="font-size:16px;">，</span>稳定工作时水箱B中的水位H<sub>2</sub>等于{{c1::（）}}m。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC120" height="227" id="图片 100" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4f32ba5f-c36d-4a88-8a23-30fdc5f468cb.jpg" width="422"/></span><span style="display:block;text-align:center;">图1-4-2</span>	0.44<br>0.52<br>0.5l<br>0.69	A	由图可知，水流从容器A中流入已经有一定水量的容器B中，为孔口淹没出流，水流从容器B中流出，为管嘴出流。稳定工作时通过管嘴和孔口的流量相等，即<img border="0" height="50" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2018-02-06/49449ca0-cde3-4737-9c8a-1d9a6c65f8c6.jpg" style="width:356px;height:50px;float:none;" title="1.jpg" vspace="0" width="356"/>，<br/>故水箱B中的水位<img border="0" height="70" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2018-02-06/41695147-61e0-44aa-aa6f-432a5df56238.jpg" style="float:none;width:440px;height:70px;" title="2.jpg" vspace="0" width="440"/>。
6. 长度相等，比阻分别为S<sub>01</sub>和S<sub>02</sub>=4S<sub>01</sub>的两条管段并联，如果用一条长度相同的管段替换并联管道，要保证总流量相等时水头损失相等，等效管段的比阻等于{{c1::（）}}。	2.5S01<br>0.8S01<br>0.44S01<br>0.4S0l	C	在两节点之间并接两根以上管段的管道就称为并联管道。总流量是分管段流量之和，各个分管段的首端和末端是相同的，那么这几个管段的水头损失都相等。即<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/546ef748-40b0-4c18-bbf8-fefb034e3d83.png" width="147"/>。以阻抗和流量表示<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5874abee-4af4-4d0f-a37e-45ef26cf4da6.png" width="156"/>。由此可得，等效管段与原管段比阻关系为：<img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d3174c0b-eda3-47da-85db-fc3eb4bf51bb.png" width="132"/>，计算得<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3e23511d-34d9-4dce-84d5-2ad788e22c1e.png" width="19"/>=0.44<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ad1037ea-eb58-41b8-a7e1-d6ed7b7611ff.png" width="23"/>。
7. 如图1-4-3所示，已知管道总长度等于20m，直径等于0.1m，水箱水面高于管道出口2m，沿程阻力系数等于0.03，90°弯头的阻力系数等于0.25，管道中的流速等于{{c1::（）}}m／s。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC120" height="155" id="图片 99" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2044e5db-dba7-42d1-b97f-3ff0bad3dc2a.jpg" width="380"/></span><span style="display:block;text-align:center;">图1-4-3</span>	2.09<br>2.21<br>2.29<br>2.33	C	短管是指管流的流速水头和局部水头损失的总和与沿程水头损失相比占相当比例，即<img height="24" id="图片 98" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/413711b6-4a36-4b4b-b188-095a44b8fa65.jpg" width="235"/>，计算时流速水头和局部水头损失均不能忽略，如泄洪隧洞、虹吸管、铁路涵管、离心水泵系统的吸水管等均应按短管计算。<br/>短管的流量公式为：<img height="65" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/285783ca-29f3-4d48-8a59-348192301406.png" width="297"/>，根据短管流量公式得流速为：<img height="65" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7f99fed2-f195-425a-a51b-cead1bed409e.png" width="173"/>。则该管道中的流速为：<img height="65" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b58d4a50-1e1e-425b-a1f2-7e4152989719.png" width="481"/>（m／s）。
8. 下面关于长管的描述正确的是{{c1::（）}}。	长管是指管道总长度比较长的管路系统<br>长管是指总水头损失比较大的管路系统．<br>长管是指忽略局部损失的管路系统<br>长管是指忽略沿程损失的管路系统	C	恒定有压管流计算主要根据能量方程、连续方程以及水头损失的计算公式。水头损失包括沿程水头损失和局部水头损失。为了便于工程上的计算，常按这两类水头损失在总水头损失中所占的比重而将管道分为长管和短管。①长管是指管流的流速水头和局部水头损失的总和与沿程水头损失比较起来很小，大约为<img height="28" id="图片 97" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/96de22cd-b2c6-43aa-a661-36831ad55498.jpg" width="249"/>，因而计算时流速水头和局部水头损失均可忽略。如供给居民生活用水的自来水管道、厂矿的给水管道及离心水泵管道系统的压水管均可按长管计算；②短管是指管流的流速水头和局部水头损失的总和与沿程水头损失相比占相当比例，即<img height="26" id="图片 96" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0b45e54a-89e7-462f-b137-0324ed8a31d9.jpg" width="248"/>，计算时流速水头和局部水头损失均不能忽略，如泄洪隧洞、虹吸管、铁路涵管、离心水泵系统的吸水管等均应按短管计算。将管流分为长管和短管，是为了简化水力计算而不是简单地按管道的长度来区分。
9. 图1-4-4所示管路系统中，管道材料相同，所绘制的水头线中{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC90" height="158" id="图片 95" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/355c9938-84c7-4a6e-aea0-3dbfe66df2a3.jpg" width="473"/></span><span style="display:block;text-align:center;">图1-4-4</span>	有一处错误<br>有两处错误<br>有三处错误<br>有四处错误	B	测压管水头线总是低于总水头线，它们相差一个速度水头。管道较细时，两水头线距离大，因为管道相连接，通过的水流量相等，管道细速度大，速度水头就大，反之两水头线距离小。沿程水头损失与流速成正比，故管道细的地方，沿程水头损失增加，总水头线斜率大。在管径扩大、缩小或有阀门存在时，会造成局部水头损失，总水头线下降，测压管水头线升降都有可能。对于管径突然扩大的情况，流量不变，水流速减小，则测压管水头应增大。
10. 如图1-4-5所示管路系统中，从四分之一管长的1点到四分之三管长的2点并联一条长度等于原管总长度一半的相同管段，如果按长管计算，系统的总流量增加{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC130" height="153" id="图片 94" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/897983da-d4df-4c17-a10c-b2d60524c113.jpg" width="332"/></span><span style="display:block;text-align:center;">图1-4-5</span>	15.4％<br>25．O％<br>26.5％<br>33.3％	C	设1／4管长的阻抗为s，则原总阻抗为4s，H=4S<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/89462ca5-9c55-4065-b703-fc570d62ac3a.png" width="17"/>；加管后1、2两点间的阻抗为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/448dedfb-413a-4957-abb6-a3d0c4b34e98.png" width="19"/>，<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b8682420-26c9-48f6-b897-49491d32a942.png" width="166"/>，<img height="37" id="图片 93" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e59a70ca-b104-44b6-9ccf-e5a000c80a74.png" width="68"/>总阻抗为<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3252500e-a563-4a90-9f41-b9e6fc24f87f.png" width="40"/>，<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cd1a02d0-35cd-4566-bc24-437c1f5e871d.png" width="65"/>，管路系统总水头损失不变，则<img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0b8b9bfa-fc15-492f-b1a2-69d9e84de0b4.png" width="132"/>。
11. 一水塔供水系统，由三条管段串联组成。已知要求末端出水水头为10m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f59af78c-fda7-483a-b44d-2562ec87267d.png" width="17"/>=450mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/68d5bcc8-9697-40cc-9b9c-05f230ee1061.png" width="12"/>=1500m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e032616f-401b-43cb-be06-b37a1933ac3c.png" width="19"/>=0.23<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s；<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b6600523-00dc-476e-905f-5c5b456f532d.png" width="19"/>=350mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6ffe8ea2-a274-44c3-b542-58eab109ef8c.png" width="13"/>=1000m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d688c910-e673-4524-98a8-4b5cdfa168e5.png" width="20"/>=0.13<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s；<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/140a50f2-75ef-4f55-82b9-b4982e191db8.png" width="19"/>=250mm，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bae4ca00-212e-4aa4-8aea-e4f1171c2db4.png" width="13"/>=1000m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/40e766f5-bf26-4bd9-83a7-465e1796598a.png" width="20"/>=0.05<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s，管径改变处有出水。管道沿程阻力系数<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/796e4f43-1876-4c90-8099-751e4e2e3943.png" width="16"/>=0.012，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2864ef25-14e2-4dc2-aafa-4059eeee423c.png" width="19"/>=0.015，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/df6c4ffc-583b-497b-8529-0172274cfe71.png" width="17"/>=0.018，试求水塔高度{{c1::（）}}。	25.2m<br>23.85m<br>30.52m<br>22.06m	D	管段很长，局部损失忽略不计。各管道串联连接，串联管路总水头损失计算公式为：<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/849d6e4c-23b1-44c1-ae79-0107c6e858e2.png" width="136"/>。由此可得，该供水系统总水头损失为：<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6ac039c1-b545-4b2d-b7d6-762eae2267cb.png" width="496"/>，水塔高度为：12.06+10=22.06（m）。
